"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0.34804367509656	5.00474710612313	0.292808979064768	0.588426068093361	0.887507122713393
"hsa-let-7a-5p"	-0.557131747886824	14.9724527398603	1.7700107746341	0.183380745597902	0.554891219169341
"hsa-let-7b-3p"	-0.316137038289759	4.74416017091548	0.515431711973931	0.472796916063117	0.827394603110455
"hsa-let-7b-5p"	-0.448831227529823	11.0228484403083	1.03639567145601	0.308661227525719	0.702680377419017
"hsa-let-7c-5p"	-0.813238058962561	4.35379706414884	2.44058587012461	0.118232059740719	0.466133293000768
"hsa-let-7d-3p"	0.163980938316081	6.79537759366039	0.183374069213174	0.668489510873156	0.90332704340502
"hsa-let-7d-5p"	-0.0649783576062361	10.1537027796483	0.0308670968613853	0.860537221932032	0.959637426266987
"hsa-let-7e-5p"	0.306819372199445	6.3054056674726	0.567644634551908	0.451196396792125	0.805821918834402
"hsa-let-7f-1-3p"	-0.0156137970121263	3.41906948487482	0.000998141375293193	0.974796326341958	0.99557953874347
"hsa-let-7f-2-3p"	-0.186372449579964	4.00717838107164	0.0440288351154274	0.833799974108544	0.951180157617898
"hsa-let-7f-5p"	-0.462144056578441	15.6213518619241	1.59929490467448	0.206003161638943	0.574865632413361
"hsa-let-7g-3p"	0.297699953003248	5.49055374461464	0.391162204743673	0.531689129461606	0.872947358555459
"hsa-let-7g-5p"	-0.0101945499027907	15.5868872186123	0.000473271448754531	0.982643547714294	0.99557953874347
"hsa-let-7i-3p"	0.74735284094274	7.09237507858757	4.00426010957257	0.0453854131357217	0.299369167414472
"hsa-let-7i-5p"	0.0518441886279835	13.1811082066677	0.0218371859728848	0.882521046518041	0.962360497124552
"hsa-miR-1-3p"	-5.86598624503159	2.43243090269948	15.9388610813224	6.54216275721237e-05	0.00143692246085449
"hsa-miR-100-5p"	0.150605808050273	6.77561770669352	0.0185424436594133	0.891686383490206	0.966590607884628
"hsa-miR-101-3p"	-0.214600435867861	14.7824842817937	0.133645546175103	0.71468175757282	0.932075448089267
"hsa-miR-101-5p"	0.259134478150872	6.01662752606322	0.42108223066144	0.516397525633898	0.864021225816716
"hsa-miR-103a-3p"	-0.484484556411661	12.7097424037672	1.63657091995771	0.200796601548644	0.574865632413361
"hsa-miR-106a-5p"	-1.98245746910494	5.0627106518699	8.88220055036024	0.00287964246835208	0.0395086946657906
"hsa-miR-106b-3p"	-0.157422866045931	8.95616525929573	0.203964881409366	0.651539363543614	0.90332704340502
"hsa-miR-106b-5p"	0.0971429774648762	8.75089313845678	0.0643638501093591	0.799727090259873	0.950857259421508
"hsa-miR-107"	-0.473091533029265	4.53432794030123	0.748370497633302	0.386992631743283	0.771993083184513
"hsa-miR-10a-5p"	-2.43171663031868	12.4236444739083	8.39920272038808	0.00375385614369822	0.04768787619587
"hsa-miR-10b-5p"	-0.450498545626108	5.98996384994159	0.219360733374703	0.639527439702931	0.90332704340502
"hsa-miR-1248"	-0.448145866125914	3.69371386571673	0.398318851082258	0.527958751700158	0.872947358555459
"hsa-miR-1249-3p"	0.135173265749331	3.7904261757082	0.0591890162410103	0.807782355035634	0.950857259421508
"hsa-miR-1255a"	-0.509052641462173	2.46271579880168	0.110719732350823	0.739326213994693	0.936449504335888
"hsa-miR-125a-5p"	0.165824016529325	12.3483833962672	0.215835565511526	0.642231494986911	0.90332704340502
"hsa-miR-125b-5p"	-0.824469140052651	6.8821719352091	1.60474179002294	0.205232522341217	0.574865632413361
"hsa-miR-126-3p"	0.535822306197242	4.1719851253225	0.744229061256174	0.388309517706493	0.771993083184513
"hsa-miR-126-5p"	1.50923719946037	5.65387888961658	4.2204595092851	0.0399393432833129	0.273983894923526
"hsa-miR-1260a"	-0.0537660004043553	5.4442645561389	0.021620219694606	0.883101902478341	0.962360497124552
"hsa-miR-1260b"	-0.723733313538184	3.95827495455681	1.63314792539665	0.201268198546646	0.574865632413361
"hsa-miR-127-3p"	0.823331249896856	3.27740659373817	2.02246254330413	0.154987616499527	0.516123810284831
"hsa-miR-1271-5p"	0.0722757139750787	7.40005678851034	0.0357225975125566	0.850089504481369	0.956002295203638
"hsa-miR-1273h-3p"	0.340950510670762	4.83280792633383	0.822730149016047	0.364383141815707	0.771502578041899
"hsa-miR-128-1-5p"	0.703713888808034	3.23079501052081	1.40541681925157	0.23581871984111	0.627021867484502
"hsa-miR-128-3p"	-0.263326335750387	9.78192368172575	0.638648129933085	0.424200753222513	0.805821918834402
"hsa-miR-1285-3p"	-0.792783274958868	4.15799744488821	0.327114069094629	0.567363390532344	0.887507122713393
"hsa-miR-1287-5p"	0.455987640835348	3.2327940458934	0.500485197220545	0.47928700829896	0.828545899125704
"hsa-miR-1291"	-0.27947560163672	3.17336093073489	0.198674929268878	0.655792537475617	0.90332704340502
"hsa-miR-1294"	-1.43260286424394	2.77506085625269	3.13596493805498	0.0765830556402396	0.406797547563802
"hsa-miR-1301-3p"	-0.153510458042368	4.99843145864043	0.188873214019571	0.663856090849665	0.90332704340502
"hsa-miR-1304-3p"	-0.510372112918338	3.96655073915902	1.04381055232416	0.306936891342628	0.702680377419017
"hsa-miR-1306-5p"	0.660174613749356	3.05244259880711	1.15191540899794	0.283148546155169	0.698076080748237
"hsa-miR-1307-3p"	0.00515766058955737	7.37270766605541	0.000194022792133097	0.988886460616007	0.99557953874347
"hsa-miR-1307-5p"	0.117210921573358	9.03677651378648	0.0676220262957088	0.794831102683876	0.950857259421508
"hsa-miR-130a-3p"	-1.60962478943184	4.99888665742224	15.2402134783812	9.4666017148176e-05	0.00180391354899024
