"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.75729957816385	3.86542584582709	35.3179047056094	2.80045663408037e-09	1.17714109364734e-08
"hsa-let-7a-3p"	2.69165986787427	6.55617125258256	11.5032322253535	0.000694752727180955	0.0015047919331081
"hsa-let-7a-5p"	0.396175364743895	15.212102231747	0.611610418013925	0.434182102855593	0.480653246021076
"hsa-let-7b-3p"	3.27327485801373	7.02178767667599	28.6663347687767	8.59856117719903e-08	2.94130092682118e-07
"hsa-let-7b-5p"	1.32945124560019	11.8180803647413	5.85729441872158	0.0155126217544134	0.0255623268777045
"hsa-let-7c-5p"	5.54903490775147	8.94510386819559	33.7118858950253	6.39090028054985e-09	2.51578296758153e-08
"hsa-let-7d-3p"	1.07587682658089	7.15487076196294	3.61742966199791	0.0571771464757465	0.0786659692398018
"hsa-let-7d-5p"	0.125321750658859	10.0421119777733	0.0505872290370384	0.822044583957563	0.840688894109178
"hsa-let-7e-3p"	4.83983705312489	3.88570142519198	38.4515837117724	5.6129014626264e-10	2.7839991254627e-09
"hsa-let-7e-5p"	5.82694911323827	10.7511705869783	77.6520288733473	1.22890007419402e-18	4.06356291200156e-17
"hsa-let-7f-1-3p"	2.10177802733809	4.50770199960417	9.91870325476042	0.00163607611138906	0.00331221939285296
"hsa-let-7f-2-3p"	1.2388747457251	4.64170202661745	2.93417844271117	0.0867227728965776	0.113196040412375
"hsa-let-7f-5p"	-0.704746305866372	15.3098295791041	2.03434504563938	0.153780413755958	0.188333543760383
"hsa-let-7g-3p"	-1.96654622777518	4.56921027394022	7.36099946609696	0.00666537310972768	0.0118616140080302
"hsa-let-7g-5p"	-3.5421321054654	14.4830892102291	37.1462757823117	1.09591850194513e-09	4.94159615422532e-09
"hsa-let-7i-3p"	-0.383306910403435	6.33560907443795	0.464296754198602	0.495622696043731	0.535574852369696
"hsa-let-7i-5p"	1.57952540798368	13.9400155810418	9.5164828289826	0.00203634492767396	0.00400804398462812
"hsa-miR-1-3p"	-5.62960438024085	2.2987257806755	12.2550015435634	0.000464012768716912	0.00105573547377793
"hsa-miR-100-3p"	11.6610045815997	7.60764764488141	64.4806746164722	9.74838164029613e-16	1.46521130108693e-14
"hsa-miR-100-5p"	11.5469663190382	16.9956422642944	66.6630482756807	3.22117000354338e-16	5.32566773919173e-15
"hsa-miR-101-3p"	-4.41904780940614	13.7096840849055	41.4680520206158	1.19813047798799e-10	6.39002921593596e-10
"hsa-miR-101-5p"	-5.09819381043866	4.79425205262983	38.1724510635411	6.47603075941942e-10	3.11855461812819e-09
"hsa-miR-103a-3p"	-0.775942364190105	12.3738511602528	2.24489414669804	0.134056081815368	0.168520368248235
"hsa-miR-106a-5p"	-6.71392610162379	4.60168191040848	39.403368823501	3.44701768827785e-10	1.74461303406716e-09
"hsa-miR-106b-3p"	-1.15951474980551	8.3595986923451	3.20755356358206	0.0732990043564541	0.097577187602763
"hsa-miR-106b-5p"	-0.788458797026561	8.20574412363976	1.3914228302719	0.238164964585106	0.278608071778803
"hsa-miR-107"	1.51101352879669	5.42480653058308	6.10898389211404	0.0134496430275623	0.0223367611405881
"hsa-miR-10a-3p"	3.3485703550848	3.4802333437129	19.2631889102611	1.13880948028308e-05	3.20937217170687e-05
"hsa-miR-10a-5p"	1.04218315319203	13.5219109953397	2.13679869658699	0.143801700687526	0.178761011380985
"hsa-miR-10b-5p"	6.06268238433486	10.995870520157	9.68633751331802	0.00185643203079845	0.00369795296094793
"hsa-miR-1180-3p"	5.78714531950204	4.2668701973018	39.4389325344542	3.38480708581821e-10	1.73078795316065e-09
"hsa-miR-1185-1-3p"	9.72051531547978	5.70060163541067	53.6125165634698	2.44198645013262e-13	2.12495663029084e-12
"hsa-miR-1185-2-3p"	6.74124273689459	3.01653091856135	33.9165170053615	5.75282381719173e-09	2.28272049066168e-08
"hsa-miR-1185-5p"	8.39484768126161	4.44258388235422	44.8966154402154	2.07716596435286e-11	1.32086451066541e-10
"hsa-miR-1197"	8.12515734114245	4.19499655122098	38.3474586842686	5.92051391338901e-10	2.87899500102054e-09
"hsa-miR-1226-3p"	1.46508105119386	2.90685800962448	3.02065979072245	0.0822100133230404	0.108159593125273
