"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	-0.470193748553235	4.74333450021467	0.651503221222331	0.419575750953057	0.50470521193935
"hsa-let-7a-5p"	-0.92820261523696	14.9564948184964	6.86819551993273	0.0087743205258309	0.0152868162050032
"hsa-let-7b-3p"	0.704282929479826	5.3809929181665	3.42098939705949	0.0643724223230552	0.0955235884530192
"hsa-let-7b-5p"	-0.631476529644917	11.0762225226727	2.92420818953425	0.0872600234881195	0.124839157691032
"hsa-let-7c-5p"	-1.80935494067738	4.1774382906576	13.352508129863	0.000258077233616529	0.000624483182578267
"hsa-let-7d-3p"	1.49700806025627	7.75365201123979	20.1568444363795	7.13444987524366e-06	2.15131103930424e-05
"hsa-let-7d-5p"	0.248824248246595	10.4389602368864	0.595193959621064	0.440417645904335	0.51793501315784
"hsa-let-7e-5p"	1.18292516395819	6.96424059649514	9.89925417336656	0.00165345769862473	0.00324077708930448
"hsa-let-7f-1-3p"	0.162461670747334	3.59838824123218	0.101912883567937	0.749546063730516	0.809427154221383
"hsa-let-7f-2-3p"	-1.27394334244943	3.73188152506587	4.09206189458762	0.0430850520083972	0.0667562861157775
"hsa-let-7f-5p"	-2.01258656696241	15.2750217028025	26.7349047372099	2.33367670620016e-07	8.79616604644674e-07
"hsa-let-7g-3p"	-2.73812089272709	4.69277239118894	28.4833569586639	9.45073897126247e-08	3.81926770797411e-07
"hsa-let-7g-5p"	-2.72270475759229	14.9133542457137	47.1767220625225	6.48662476397383e-12	4.54063733478168e-11
"hsa-let-7i-3p"	-1.53151022877556	6.23973771489516	13.6913317369951	0.000215446630859439	0.00053116402073522
"hsa-let-7i-5p"	-1.73098681517268	12.655358359641	25.9463099231816	3.51045819312193e-07	1.29820718085264e-06
"hsa-miR-1-3p"	-2.60303729753177	2.5989168352229	6.92443869164547	0.0085025674996062	0.0148794931243108
"hsa-miR-100-5p"	2.71923401733599	8.78033480816619	9.49924756677197	0.00205556174355032	0.00393063513888646
"hsa-miR-101-3p"	-1.01170382831135	14.5845951043351	5.80988468755345	0.015936339154052	0.0263588394446767
"hsa-miR-101-5p"	-0.0726371404717394	5.97097803634111	0.0453225578116576	0.831412019202881	0.866791254062578
"hsa-miR-103a-2-5p"	1.53066449912534	2.81218548667188	3.70123928919258	0.0543720694051095	0.0822928618023279
"hsa-miR-103a-3p"	0.391360265231817	13.2581463855964	1.35778599015657	0.243921557624676	0.316613412545938
"hsa-miR-106a-5p"	-3.54346285149229	4.9497772890097	41.9889294661668	9.17916223187765e-11	5.62223686702506e-10
"hsa-miR-106b-3p"	-0.425504541320587	8.95568882153269	1.63385840038723	0.201170207098997	0.264626581150359
"hsa-miR-106b-5p"	0.445022541460806	9.0678965170716	1.74319640636718	0.186734330053991	0.246934575613716
"hsa-miR-107"	-0.479776281177395	4.64202598546103	0.973311278847318	0.3238557416581	0.403020478507857
"hsa-miR-10a-5p"	-2.99313679683622	12.4381200101356	25.7474899695482	3.89132773467601e-07	1.42560791775046e-06
"hsa-miR-10b-5p"	-3.04716926287333	5.52726951522396	11.8447099626712	0.000578253811802799	0.00125930830125943
"hsa-miR-1226-3p"	1.69645378574563	3.2875660284488	7.54427680200648	0.00602009796318402	0.0107267200071279
"hsa-miR-1248"	-1.17943953396469	3.53956961380779	2.17193890247033	0.140548929724326	0.192640491090685
"hsa-miR-1249-3p"	1.59975142705337	4.77325706725432	12.2899470873331	0.000455404646979529	0.00101431035009077
"hsa-miR-1255a"	0.806946391499054	3.07328232415584	0.614669031705469	0.433035233666984	0.512839309962108
"hsa-miR-125a-3p"	2.2838548876387	3.85301966696519	17.1855208335937	3.39010429812126e-05	9.42497081463499e-05
"hsa-miR-125a-5p"	-0.734269964536402	12.0760886762231	4.19940574228846	0.0404381477666443	0.0631543981056755
"hsa-miR-125b-5p"	-0.705460546653306	7.04397945176386	3.98713420476545	0.045848982723032	0.070759059950506
"hsa-miR-126-3p"	4.30573638627623	7.24937692225723	62.0123331945373	3.41312937292704e-15	3.43063260048051e-14
"hsa-miR-126-5p"	4.98990076736289	8.82178414818591	89.4999127887277	3.06651988751603e-21	7.07103409356638e-20
"hsa-miR-1260a"	1.66824026402307	6.62862655709833	22.0431557819376	2.66588559566355e-06	9.00885477155267e-06
"hsa-miR-1260b"	1.63012413566382	5.32921102306758	11.450148102361	0.000714883017552304	0.0015066351767769
"hsa-miR-127-3p"	6.21786960542297	7.87963743530235	61.720365807	3.95864651041864e-15	3.87947358021027e-14
"hsa-miR-1271-5p"	-3.32967443557285	6.63629129531045	53.731913402791	2.29799997610878e-13	1.87669998048883e-12
"hsa-miR-1273h-3p"	0.807241024701381	5.2135991152378	3.31576167280904	0.0686185164665252	0.10036738229432
"hsa-miR-128-3p"	0.120024445463219	10.0909627598045	0.122538111186714	0.726297841630004	0.788666908362774
"hsa-miR-1285-3p"	-1.49854538249277	4.06368096601026	1.34939579438237	0.245383772613731	0.31746019427255
"hsa-miR-1291"	-2.37523674723933	2.74991653481987	9.75758760657492	0.00178584098704428	0.00348283416378786
"hsa-miR-1294"	0.252698442960764	3.38761504628556	0.158819870325266	0.690245365401232	0.7559981664416
"hsa-miR-1301-3p"	1.33079464924178	5.97715595501841	9.31536713121075	0.00227239841929444	0.00430328589547545
"hsa-miR-1304-3p"	1.71134547467184	5.31223285878614	14.5997404539962	0.000132932851422082	0.000345097203691762
"hsa-miR-1306-5p"	0.997748496795845	3.33851977354592	3.26549813944597	0.0707515314086538	0.103102603391049
"hsa-miR-1307-3p"	-0.121862160462477	7.42964145930813	0.119384601172921	0.72970289987784	0.790175515889815
"hsa-miR-1307-5p"	-0.959585347594991	8.68994646160908	5.87985088656011	0.0153151186876957	0.0256560962631484
"hsa-miR-130a-3p"	2.10729116366995	7.05489959669607	34.1080159362472	5.21360519597898e-09	2.58700409724527e-08
"hsa-miR-130b-3p"	0.0209955519488695	7.94981446180098	0.00339117275488832	0.953562416405239	0.958452480079112
"hsa-miR-130b-5p"	0.645335860229911	6.48198008763657	1.75272782093178	0.185534174464519	0.246540326746073
"hsa-miR-132-3p"	0.0571641699520711	5.85226593367814	0.0226553531021345	0.880356776643582	0.901160582427468
"hsa-miR-132-5p"	0.224388572554641	4.0799278094847	0.284458466207659	0.593793759315934	0.671845913033196
"hsa-miR-133a-3p"	-1.34968781859697	3.57130635025558	3.5347596599424	0.0600950429840381	0.0902576890794749
"hsa-miR-134-5p"	6.53630507678614	2.94409018353232	15.9337083475695	6.55999615546079e-05	0.000178577673120877
"hsa-miR-136-3p"	3.91964985375218	2.60848528526736	10.1361273236874	0.00145391297818166	0.00289306541851375
"hsa-miR-139-5p"	3.24919043828535	2.97922946466842	14.5065853048031	0.000139670436749797	0.000358017161806314
"hsa-miR-140-3p"	0.0720420762424668	13.2035324059421	0.0460982578278717	0.829997286282087	0.866791254062578
"hsa-miR-140-5p"	-0.0126036103439384	6.8924265960624	0.000688398623251985	0.979068023795228	0.979068023795228
"hsa-miR-141-3p"	-2.89839926834183	8.30655473137989	20.1398832243554	7.19799567961619e-06	2.15390405069431e-05
"hsa-miR-142-3p"	-0.926432364954511	12.870105324094	4.27871439256245	0.0385925278358855	0.0605130836466685
"hsa-miR-142-5p"	-1.91368125711326	15.763728183808	34.777465665537	3.69627099771150e-09	1.88173796247131e-08
"hsa-miR-143-3p"	10.8530078535306	15.2646180133828	215.734185364073	7.70738685884035e-49	3.02129564866542e-46
"hsa-miR-143-5p"	8.76516841833241	4.8309658378211	92.2911803956177	7.48169864958929e-22	2.05354870046964e-20
"hsa-miR-144-3p"	6.10472985247054	4.87825521028608	62.9003280316084	2.17436011494777e-15	2.4352833287415e-14
"hsa-miR-144-5p"	6.23776158949503	7.06355197837416	74.3713003679526	6.47231345358901e-18	1.01485874952276e-16
"hsa-miR-145-3p"	8.38884020699919	7.63203574211081	191.199009048548	1.7402734308442e-43	2.27395728296975e-41
"hsa-miR-145-5p"	9.21478244022409	7.86826874679279	208.419791597323	3.03828529325753e-47	5.95503917478475e-45
"hsa-miR-1468-5p"	-2.96797552721892	4.80795132487805	36.5744777855348	1.46943105444799e-09	8.11291511751564e-09
"hsa-miR-146a-3p"	-4.67789926304834	2.7254563107881	11.1810756473166	0.000826358514760946	0.00172304541375687
"hsa-miR-146a-5p"	-3.88405560343827	12.7363582262609	20.6893155994022	5.40165705439849e-06	1.66728312230252e-05
"hsa-miR-146b-3p"	-4.93252531682934	8.83064878894822	111.47870362136	4.64771144995228e-26	2.02433654264588e-24
"hsa-miR-146b-5p"	-4.49414455149927	14.621470291793	28.4098411964411	9.8165030984299e-08	3.92660123937196e-07
"hsa-miR-148a-3p"	3.22696162738327	14.8893062350945	37.4057046544021	9.59410921449126e-10	5.45056639431967e-09
"hsa-miR-148a-5p"	3.2261016431226	7.48819030602174	33.5043871316344	7.11034282095295e-09	3.3581378142332e-08
"hsa-miR-148b-3p"	0.988640443006563	11.2319596429745	8.18029410519227	0.00423478936383024	0.00768535847509932
"hsa-miR-148b-5p"	0.18824507477916	6.57099179691828	0.280406910635749	0.59643463708049	0.671845913033196
"hsa-miR-150-3p"	-4.97045309715924	7.02294225442854	90.9529941579846	1.47126033923173e-21	3.60458783111773e-20
"hsa-miR-150-5p"	-6.22601924698446	15.9542296557026	67.0528047308102	2.64331261596012e-16	3.70063766234417e-15
"hsa-miR-151a-3p"	-0.221114310179123	9.31061179054333	0.274939872518189	0.600037148737373	0.673967227235101
"hsa-miR-151a-5p"	0.313066987033416	9.83463401848335	0.634419393983421	0.425738869951374	0.508809868966276
"hsa-miR-151b"	-1.52657743673569	3.11689640108888	5.50612837437033	0.018949949710163	0.0309515845265995
"hsa-miR-152-3p"	-4.26942677236438	7.25822097298087	92.1940753139231	7.85796696608279e-22	2.05354870046964e-20
"hsa-miR-152-5p"	-3.28456602680829	2.55422453468312	9.60422894320927	0.00194129773664427	0.00374871287076135
"hsa-miR-153-3p"	-5.80548874579596	2.80050284648456	29.6751013277497	5.10867979626448e-08	2.10800261066913e-07
"hsa-miR-155-5p"	-3.93433146189167	9.23617206398721	130.803298408338	2.73398629759326e-30	1.3396532858207e-28
