"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	8.13604832993129	4.15083524603536	40.3601770108667	2.11202410252531e-10	2.32322651277784e-09
"hsa-let-7a-3p"	3.17455378142073	6.91846137808169	9.96094579239056	0.00159895891388465	0.00398558231736766
"hsa-let-7a-5p"	0.679279571538203	15.3434309059756	0.796890859512928	0.372024580161976	0.443972730098962
"hsa-let-7b-3p"	2.9278654981658	6.67275049119333	15.9986398797319	6.33880064114699e-05	0.0002096361519229
"hsa-let-7b-5p"	1.81287901036003	12.1367009600339	4.55154860354135	0.0328889873225327	0.055105389354972
"hsa-let-7c-3p"	7.65985261544647	3.68946954491986	7.00744620101229	0.00811713851408621	0.0161703625516836
"hsa-let-7c-5p"	6.49322448747056	9.84747133474055	17.1653853692704	3.42623009423781e-05	0.000117936899842472
"hsa-let-7d-3p"	0.152334774593956	6.57113652561969	0.049122550437934	0.824597195824856	0.855684673789758
"hsa-let-7d-5p"	-0.579243702725165	9.67818666668868	0.568948228239785	0.450677165384722	0.51827874019243
"hsa-let-7e-3p"	4.3900355345681	3.47619063384699	24.1338317196171	8.98675118257754e-07	3.98885622665284e-06
"hsa-let-7e-5p"	5.52305658182336	10.4174284520347	32.3951330037333	1.25801157640495e-08	7.9569232207613e-08
"hsa-let-7f-1-3p"	2.74267947185654	4.97165613872068	9.62503762517705	0.00191942517668135	0.00466937086250367
"hsa-let-7f-2-3p"	2.98678447294259	5.94875468360765	5.60089790939501	0.0179512749561426	0.0325567925727891
"hsa-let-7f-5p"	-0.923169186901844	15.194552498646	1.34428578978236	0.246279572397066	0.312324470257934
"hsa-let-7g-3p"	-0.900571395913841	4.7808573821552	0.987782627123143	0.320284924321107	0.390516076401157
"hsa-let-7g-5p"	-3.24906469121599	14.4793146505616	15.1933685757016	9.70436130405911e-05	0.000314769667939353
"hsa-let-7i-3p"	-0.148126373221048	6.38359060955111	0.0487542651203783	0.825245298042296	0.855684673789758
"hsa-let-7i-5p"	1.34163381656161	13.730359350985	3.06599579339934	0.0799461661134401	0.116201425639635
"hsa-miR-1-3p"	4.43538079553849	6.09103683094566	3.50956809692145	0.0610153599488522	0.0916135671635585
"hsa-miR-100-3p"	11.9075772342608	7.79883580630593	50.6116303992476	1.12575940167575e-12	3.56021410779955e-11
"hsa-miR-100-5p"	11.4134981079233	16.7546033239018	35.4051685911359	2.67775356976637e-09	1.88186570319692e-08
"hsa-miR-101-3p"	-2.99673510375012	13.7873144096087	7.01339060460623	0.00809023223852834	0.0161703625516836
"hsa-miR-101-5p"	-1.22788948460653	5.19158079328419	0.91482408963433	0.338837677477665	0.409192994758231
"hsa-miR-103a-3p"	-0.334002413270202	12.5229685573728	0.160752376920527	0.68846476438149	0.745959680464741
"hsa-miR-106a-5p"	3.0268358275893	7.6472291172064	1.30413918090602	0.253458536566953	0.320625048757195
"hsa-miR-106b-3p"	-2.79498799875052	7.98699934045501	12.3651581035688	0.000437420522346011	0.00125758400174478
"hsa-miR-106b-5p"	-1.55981195669272	7.91715690863769	3.59559911530405	0.0579327431588737	0.0872439524952086
"hsa-miR-107"	4.65056961030817	8.09460674915614	7.5120701202886	0.00612868933751215	0.0130848810328319
"hsa-miR-10a-3p"	4.5426015180045	4.44180975621424	4.81871232616338	0.0281523690933865	0.0484527168750122
"hsa-miR-10a-5p"	1.66959532698587	13.9863806102374	1.09326382937593	0.295749179603933	0.363225934173762
"hsa-miR-10b-5p"	8.51077818411211	13.3356496244872	8.03895962765938	0.00457818234867787	0.0101603520545219
"hsa-miR-1180-3p"	5.76401599725112	4.20697776562689	33.4621448052959	7.26646109452575e-09	4.71388373567953e-08
"hsa-miR-1185-1-3p"	8.78744568349618	4.75757844004446	50.4186591437225	1.24207632016999e-12	3.6970036353295e-11
"hsa-miR-1185-5p"	8.34739578530171	4.34807928592367	47.1668501952199	6.51937734018527e-12	1.30529309840275e-10
"hsa-miR-1197"	7.61148651213629	3.68848073118145	32.0988703444542	1.46522487817303e-08	9.04150961409209e-08
"hsa-miR-122-3p"	7.93176345557954	3.93115510719846	4.79214253011215	0.028589842749105	0.0490388489188038
"hsa-miR-122-5p"	11.2603896666839	7.15210941634577	5.54985877971198	0.0184821780775053	0.033399936097206
"hsa-miR-124-3p"	11.4566434802609	7.34707220864106	7.57033315723543	0.00593368152182342	0.0127222154662824
"hsa-miR-124-5p"	7.28238362417085	3.353515728394	4.55269280344985	0.0328670175961543	0.055105389354972
"hsa-miR-1248"	-1.65540733707215	3.18346693045635	2.57029577401891	0.10888737127882	0.151365411722755
"hsa-miR-1249-3p"	-0.265383045184121	3.42411379888564	0.156522433027277	0.692378621353253	0.748597398300739
"hsa-miR-1255a"	-1.52147083251488	2.16259290807992	0.928592425050399	0.335228949837104	0.406776615389867
"hsa-miR-125a-3p"	3.01752090687946	4.0455567832518	19.9859172159247	7.80146244424791e-06	2.99056060362837e-05
"hsa-miR-125a-5p"	0.615445663320136	12.3552640879962	0.614960802295968	0.432926071028556	0.507084703565855
"hsa-miR-125b-1-3p"	13.9086324620929	9.7918868773742	64.2788587320998	1.07998400606716e-15	1.8215730235666e-13
"hsa-miR-125b-2-3p"	7.90238518440195	8.84044951174128	13.5875748380544	0.000227687592740475	0.000685773344801669
"hsa-miR-125b-5p"	7.85829841771689	13.8614221512027	40.5038940561948	1.96224583289262e-10	2.20643642543037e-09
"hsa-miR-126-3p"	5.98708651529853	8.56255341121597	10.3360267734594	0.00130458532026197	0.00340268129924
"hsa-miR-126-5p"	6.61661673378918	10.1086954698827	12.6926439457618	0.000367096844674	0.00106143430517168
"hsa-miR-1260a"	-1.22859301655382	4.79877913809137	3.71254057013994	0.0540051311537415	0.0828078677690703
"hsa-miR-1260b"	-0.508681152545842	3.79541514347113	0.464507178779928	0.495525036225713	0.560929906778995
"hsa-miR-127-3p"	11.6973545783279	12.9753121510813	92.6750953490121	6.1624191529317e-22	3.11818409138344e-19
"hsa-miR-127-5p"	9.76780102090924	5.69372706075933	51.065365648723	8.93407997131368e-13	3.09766332996937e-11
"hsa-miR-1271-5p"	-0.460065117489284	6.91121983946492	0.120112477208863	0.728912530957942	0.776483664557302
"hsa-miR-1273h-3p"	-7.44929334609942	3.58360761425298	34.4731314221259	4.32176080835244e-09	2.99563146441964e-08
"hsa-miR-1277-5p"	4.04015202941558	2.28575010826572	8.93627907549023	0.00279561632405011	0.00654899009245072
"hsa-miR-128-1-5p"	3.0478993172996	4.58484122345123	5.66265998499995	0.0173298210737215	0.031656640661744
"hsa-miR-128-2-5p"	6.28253355130939	2.55244050190238	4.21211469001183	0.0401362712153401	0.0634654788592565
"hsa-miR-128-3p"	2.39170431321386	11.3050924643021	2.70008765479396	0.100342729585757	0.141430142535913
"hsa-miR-1285-3p"	0.204606309961492	4.47594414578556	0.0165425700918043	0.897659983679849	0.917607983317178
"hsa-miR-129-2-3p"	8.22443335789743	4.20635474855696	9.63017831747773	0.00191406024597587	0.00466937086250367
"hsa-miR-129-5p"	7.82964327018869	3.85113869992777	11.4610907013681	0.000710685758595631	0.00198395066857399
"hsa-miR-1291"	-1.69815416690506	2.60240836690081	2.05717842292232	0.15149045567723	0.203326712394372
"hsa-miR-1294"	-1.83676440648807	2.50137220966398	2.73726127866272	0.0980326492124396	0.138560113132666
"hsa-miR-1296-5p"	4.16901099499134	5.10607539634995	19.2643954217115	1.13809004570083e-05	4.23436443473986e-05
"hsa-miR-1301-3p"	-0.346446238896704	4.70102237030642	0.257555612840184	0.611804476738922	0.674451122505217
"hsa-miR-1304-3p"	1.58527272629773	4.84876354084699	5.81902088256108	0.0158537678461801	0.0290652410513302
"hsa-miR-1306-5p"	1.08474351591067	3.08309441197081	1.04792561263934	0.305985321037551	0.374887584612592
"hsa-miR-1307-3p"	0.140114413543382	7.20436939125701	0.0340766541728179	0.853543860630812	0.879619538654157
"hsa-miR-1307-5p"	0.487524617438957	9.00272431977514	0.377750309945782	0.538809698267979	0.604518198056757
"hsa-miR-130a-3p"	6.60323564030926	10.9011891878405	24.382279651136	7.89919614910245e-07	3.5371621694211e-06
"hsa-miR-130b-3p"	2.40574733010966	9.23796266025469	3.86523051959933	0.0492964214440585	0.0765153044499803
"hsa-miR-130b-5p"	2.47702039909582	7.47254265982545	4.5205266007637	0.0334905216735005	0.0557440919960239
"hsa-miR-132-3p"	1.49487420466351	6.41703303385543	2.91354576207345	0.0878385632677356	0.125200881728096
"hsa-miR-132-5p"	3.00508469762563	5.66299906326714	4.99668693033798	0.0253958867835342	0.0441591708332244
"hsa-miR-133a-3p"	7.83412961599223	10.3560523353313	8.56694536147849	0.00342321005469922	0.00783775695781813
"hsa-miR-133a-5p"	7.40160021310037	3.4569220772503	4.5985316396192	0.0319993517640225	0.053972239975318
"hsa-miR-134-5p"	10.2926461339532	6.20535112302263	44.6404036983633	2.36755156589163e-11	3.63024573436717e-10
"hsa-miR-135a-5p"	9.67223895327741	5.6011839471782	7.16576924032181	0.00743078187360512	0.0152844537725374
"hsa-miR-136-3p"	11.4838163457016	9.190128820036	56.546583857239	5.48826504355784e-14	2.77706211204027e-12
"hsa-miR-136-5p"	10.2632002635628	6.17628340360526	49.2682091050835	2.23251355942567e-12	5.94553611089153e-11
"hsa-miR-137"	10.7642144411185	6.666236620748	35.4562201990863	2.60848047175109e-09	1.88186570319692e-08
"hsa-miR-138-2-3p"	6.12697223435426	2.44104272434868	4.16541648035479	0.0412572687070327	0.0650348223232353
"hsa-miR-138-5p"	11.7313468909402	10.0468423549983	17.3046366729774	3.18408969965177e-05	0.000111113750898193
"hsa-miR-139-5p"	5.76509043016578	4.70535300532479	6.62385679451508	0.01006217060232	0.0192130502821658
"hsa-miR-140-3p"	0.391030361845898	13.001275111457	0.0878269350405247	0.766958151184425	0.805146938795268
"hsa-miR-140-5p"	1.82432332291239	7.75506411222272	1.96615444877004	0.16085663783047	0.213631125307659
"hsa-miR-141-3p"	-9.82797664242134	7.75306812487232	43.865459411484	3.51741844484593e-11	4.94392703636678e-10
"hsa-miR-142-3p"	-8.23260117119628	11.9474188854284	11.4534994008535	0.000713594904506851	0.00198395066857399
"hsa-miR-142-5p"	-8.86254568112485	15.0787897846575	9.5282343258893	0.002023346887501	0.00489862930658137
"hsa-miR-143-3p"	10.7506792113598	14.8454247240436	61.8905708142181	3.63084011693521e-15	4.59301274792305e-13
"hsa-miR-143-5p"	9.81806960833054	5.74201019268264	40.0387189147725	2.4897847121619e-10	2.42275204683446e-09
"hsa-miR-144-3p"	7.41393521252479	5.80897346033414	4.37975193593935	0.0363682899795576	0.0595545460506672
"hsa-miR-144-5p"	3.79050249535749	4.30318577992705	2.42531173029146	0.11938948959939	0.163715668664746
"hsa-miR-145-3p"	8.58954491345102	7.47889225200991	26.2345438771797	3.02365140134326e-07	1.4433656689431e-06
"hsa-miR-145-5p"	11.6782354357012	10.0211405268789	47.8798177276378	4.53162478295268e-12	1.04227370007912e-10
"hsa-miR-1468-5p"	-1.65918133430545	4.69333769485249	3.26361785558163	0.0708326894502969	0.103826610650409
"hsa-miR-146a-3p"	2.31275035238253	4.70662649025727	2.89505465348667	0.0888517620215365	0.125935550652374
"hsa-miR-146a-5p"	-1.08759281716807	12.7429283173908	0.823875573996702	0.364049470398751	0.436514293890445
"hsa-miR-146b-3p"	-8.67879649721743	8.43401870962557	41.8632996609903	9.78827158421982e-11	1.17925367181315e-09
"hsa-miR-146b-5p"	-8.68582010999464	14.1753081406009	26.9178730595983	2.122866375962e-07	1.07417038623677e-06
"hsa-miR-147b"	1.871175374431	2.90074786515002	3.40332157676607	0.0650652752987516	0.0968324391210832
"hsa-miR-148a-3p"	1.76704734091385	13.2448299680242	1.54496651772297	0.213880060221199	0.274678452974434
"hsa-miR-148a-5p"	3.39296042702455	7.23376352394214	5.14237484260291	0.0233486873213345	0.0410223464742891
"hsa-miR-148b-3p"	0.994376685738097	10.8674345354265	1.26520444142267	0.260668254997748	0.328923034984689
"hsa-miR-148b-5p"	0.661750302328788	6.50209790478244	0.884878090005974	0.346869081651247	0.41690203162834
"hsa-miR-149-5p"	6.13583258889098	6.46031490296271	18.0528548244502	2.14856228154922e-05	7.71044336499222e-05
"hsa-miR-150-3p"	-10.6938313774835	6.60393121172248	47.1112271325631	6.70703963606158e-12	1.30529309840275e-10
"hsa-miR-150-5p"	-11.1526589860104	15.6483576030314	17.0367821591576	3.66626877754461e-05	0.00012534675685389
"hsa-miR-151a-3p"	3.1538029030186	11.3690776732648	12.8967805381731	0.00032914781949864	0.000957176992335125
"hsa-miR-151a-5p"	3.20988369553381	11.6708174655326	13.6450194923443	0.000220826296406338	0.000673121120371125
"hsa-miR-151b"	0.309424771281952	3.44858983969208	0.139020126240607	0.709257088970019	0.761961968192844
"hsa-miR-152-3p"	1.00181108755088	8.41908540465093	1.56078303732083	0.211550605381397	0.272378133137371
"hsa-miR-152-5p"	3.79409813553597	5.46070603431708	14.750714584699	0.000122701014420417	0.00039295388162488
"hsa-miR-153-3p"	5.14978447078542	7.29602598176871	4.35405067384975	0.0369210314951198	0.0600708743939892
"hsa-miR-153-5p"	3.46954227884531	2.78440150580265	1.91330128042095	0.166597007761691	0.220675617611036
"hsa-miR-154-5p"	7.09838812055873	3.24981547037021	23.9941471552504	9.66289925684613e-07	4.2516756730123e-06
"hsa-miR-155-5p"	0.706056359609891	10.1850410095098	0.454969162963749	0.49998457547629	0.564714721408489
"hsa-miR-15a-5p"	-0.691888914445578	10.9157127748017	0.359037474630327	0.549041283948641	0.614634711677019
"hsa-miR-15b-3p"	-0.963673105320472	5.46817498295862	2.27343077440303	0.131608274663221	0.179015556396747
"hsa-miR-15b-5p"	0.374097789568856	9.07601975024198	0.114573394352697	0.734996283070131	0.78131957822161
"hsa-miR-16-2-3p"	-2.30490663095285	6.88813840873213	7.77409918090082	0.00530006396904541	0.0115596222773145
"hsa-miR-16-5p"	-1.24572282405879	12.6360777065968	2.08134413813154	0.149108823322371	0.200662405854042
"hsa-miR-17-3p"	-1.35652782223078	7.39532248301513	1.5885861698031	0.207528247050266	0.267880849508762
"hsa-miR-17-5p"	1.59590952335265	8.75073365543118	1.8703151026548	0.171438994777198	0.225831807615892
"hsa-miR-181a-2-3p"	-1.75196314099136	10.3173880155955	3.25983980485859	0.0709960618281453	0.103826610650409
"hsa-miR-181a-3p"	1.86575362548857	10.232312733542	3.06192164025452	0.0801468330992737	0.116201425639635
"hsa-miR-181a-5p"	-0.211820246062967	15.8571748064361	0.0432898746839783	0.835180409509205	0.864215311271283
"hsa-miR-181b-2-3p"	0.0356958602805364	3.71080847823161	0.00092175616106438	0.975779596655243	0.98159935568102
"hsa-miR-181b-3p"	3.90925401103124	4.67601452471344	16.390852330825	5.15333360786756e-05	0.000172687867919271
"hsa-miR-181b-5p"	1.51737197557427	12.5311258659787	1.77579866002094	0.182666074218985	0.23760677006377
"hsa-miR-181c-3p"	-0.411912208393514	6.50376704325309	0.295505836385031	0.586713672627645	0.649621703171966
"hsa-miR-181c-5p"	-2.49297522760291	10.0611095613635	7.46719658896289	0.00628333183147398	0.0133586802803606
"hsa-miR-181d-5p"	-0.331303569979532	5.90286445566887	0.0939940628217109	0.75915964413194	0.798617006093059
"hsa-miR-182-5p"	8.48520272231023	11.5760548747561	9.81143332158575	0.00173430288511019	0.00428076712129636
"hsa-miR-183-3p"	4.25206698932946	2.3786236183304	3.28398059424733	0.069959059910464	0.102904896263648
"hsa-miR-183-5p"	10.4562205229647	9.68499136999534	9.7878820967817	0.00175665674767014	0.00431489472971403
"hsa-miR-184"	9.46924561490137	5.38972786815462	7.12641394605674	0.00759564906783702	0.0153735937133021
"hsa-miR-185-3p"	-0.608978681999099	3.36493680980445	0.581886470737469	0.445573833203241	0.517110916515688
"hsa-miR-185-5p"	-0.422369192114941	7.33637457510869	0.163863153592215	0.685624425653258	0.74447630768358
"hsa-miR-186-5p"	-1.97167241654034	13.4141174459146	6.31261518651047	0.0119881881542804	0.0223838494688778
"hsa-miR-187-3p"	8.63945941412313	4.59295318690076	7.35589217602915	0.00668433324758177	0.0140343262376613
"hsa-miR-188-5p"	2.4203199609642	3.85005140348224	3.6490068620228	0.0561026558335659	0.085249080635989
"hsa-miR-18a-3p"	2.49452224808513	4.71157677778328	3.16892869826918	0.0750516603141124	0.109441325991184
"hsa-miR-18a-5p"	3.58731909391714	7.14502458303068	7.14940991063426	0.00749886554492229	0.0153008087591406
"hsa-miR-18b-5p"	6.27849174007177	6.729052811661	4.41961791890076	0.0355279909080515	0.058367413634656
"hsa-miR-190a-5p"	4.64309971566121	5.23685757762903	30.0943831755849	4.11521404749251e-08	2.39344633107035e-07
"hsa-miR-190b"	3.37078036632655	5.72119596018774	2.41007793283605	0.120556364227372	0.164868973781217
"hsa-miR-191-3p"	0.285991179135826	3.46952525885318	0.225966721984891	0.634530705455832	0.697983776001416
"hsa-miR-191-5p"	-0.576650123080384	13.7855461925583	0.60505791240449	0.436654684751919	0.509095093282192
"hsa-miR-192-5p"	-4.85814100285304	11.9404873435272	26.4988015212664	2.63701662186883e-07	1.28682586424508e-06
"hsa-miR-193a-3p"	8.54406554286451	10.1637508119497	27.0483295142933	1.98431631484966e-07	1.0258348084037e-06
"hsa-miR-193a-5p"	5.34333094276522	7.24555620755518	19.4565847632186	1.02912433240593e-05	3.91531512930378e-05
"hsa-miR-193b-3p"	5.17739806559475	7.7712422288273	23.0820614393857	1.55232230514176e-06	6.49152963968371e-06
"hsa-miR-193b-5p"	4.34169763775276	2.46789547589309	14.2925829469136	0.000156480239442571	0.000488759266407042
"hsa-miR-194-5p"	-2.63549326316241	5.91046211212243	13.3345437811003	0.000260561385233709	0.000780142372356548
"hsa-miR-195-5p"	0.300253607787261	4.08730484417148	0.260466605391598	0.609799771777892	0.673708918165095
"hsa-miR-196a-5p"	5.46673055663566	8.49449390718361	2.95555437184504	0.0855829514124343	0.122934576345044
"hsa-miR-196b-5p"	-6.76325694967508	4.3136663105073	39.7807332069906	2.84134203118779e-10	2.71267748637929e-09
"hsa-miR-197-3p"	-2.15766416714922	9.56544365905155	7.20665054455087	0.00726339194945174	0.0150321490703756
"hsa-miR-1976"	-6.76670264105178	3.02795707597598	25.7985968834245	3.78963863905052e-07	1.77551588088849e-06
"hsa-miR-199a-3p"	8.49883785752168	13.2558005997571	40.1268902563274	2.37990309863706e-10	2.41366656231523e-09
"hsa-miR-199a-5p"	10.6177790105783	11.82060619452	39.7133978657745	2.94101021876263e-10	2.75583550128498e-09
"hsa-miR-199b-3p"	8.39647453299238	11.9753619022589	38.0338096791845	6.95292786640955e-10	6.06583017310902e-09
"hsa-miR-199b-5p"	4.20440851091122	9.09226358991827	7.83596427284697	0.00512168243658837	0.0112189234325269
"hsa-miR-19a-3p"	0.787920052294784	8.61826637579676	0.510940499692929	0.474732004167687	0.540316766702801
