"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	1.09741592628403	4.98469262072927	5.21132742022799	0.022440195505617	0.0338752376598202
"hsa-let-7a-5p"	0.647358000874592	14.6471379245618	4.28345068945896	0.038485141978963	0.0559525680432156
"hsa-let-7b-3p"	-0.744132176205106	5.25323727217341	3.22618223839015	0.0724694508075423	0.0974503877753299
"hsa-let-7b-5p"	0.451196755040352	10.8396325646503	1.78653568604531	0.181348825474368	0.222590147155455
"hsa-let-7c-5p"	1.28338283502788	3.68885424722755	5.52351340898284	0.0187625392718079	0.0293350812424298
"hsa-let-7d-3p"	-1.04005215689469	7.75227134499739	10.4452308446974	0.00122966537798067	0.00242340870241498
"hsa-let-7d-5p"	-0.0304077840341424	10.4037575504944	0.00886619515316056	0.924981681184036	0.936870905877919
"hsa-let-7e-5p"	-0.589953412523841	7.04256034436904	2.64821142910519	0.103666475253956	0.133479056372741
"hsa-let-7f-1-3p"	0.0927108634346141	3.59432087077153	0.0380991322024768	0.845244215158381	0.86952015867468
"hsa-let-7f-2-3p"	1.39831176595503	3.65807622473254	2.78543848611083	0.0951246539283075	0.123693444382024
"hsa-let-7f-5p"	1.85099018111289	14.9970734972528	29.4892155690043	5.62287091904349e-08	2.15088460398363e-07
"hsa-let-7g-3p"	3.31101253694668	5.03107868872974	41.5423651614557	1.15344060895885e-10	6.31188333235816e-10
"hsa-let-7g-5p"	3.00001334049631	15.0141798272628	57.1239586474326	4.09190304989567e-14	3.50480391664977e-13
"hsa-let-7i-3p"	2.54068662000899	6.91587472704035	36.5352515306779	1.49930094799563e-09	6.9497008648268e-09
"hsa-let-7i-5p"	2.07789639269313	12.785923463471	45.691609228352	1.38414412060489e-11	8.39004282335887e-11
"hsa-miR-100-5p"	-2.35419213035748	8.73415529629922	6.87952469515397	0.00871887467600647	0.0150010332853561
"hsa-miR-101-3p"	1.06723416975245	14.4898402065245	5.55787006248011	0.018397784659329	0.0289949086231025
"hsa-miR-101-5p"	0.60553998436961	6.12771779977063	2.95373471778941	0.0856793461653358	0.112895921563404
"hsa-miR-103a-2-5p"	-1.40921993598205	2.77054683907524	2.98302539164038	0.084141857384935	0.111247959092833
"hsa-miR-103a-3p"	-0.587928002609483	13.0440486499066	4.19398363603653	0.0405676639232165	0.0584370137887663
"hsa-miR-106a-5p"	1.83744981595898	3.48267393782999	6.32227261617664	0.0119230724118132	0.0200756005566427
"hsa-miR-106b-3p"	0.564683244054246	8.89491614512616	3.47877455065753	0.0621607563422919	0.085335672469906
"hsa-miR-106b-5p"	-0.0693670335915342	9.11413002681906	0.0381174564151401	0.845207474196148	0.86952015867468
"hsa-miR-107"	0.289054508622136	4.40323283377886	0.279447971811764	0.597063263967473	0.664528039557018
"hsa-miR-10a-5p"	0.849818186519741	10.6317365652594	2.00648276864888	0.156628077858212	0.195289438848531
"hsa-miR-10b-5p"	2.82891944907014	5.21113483019582	14.7083107538036	0.00012549199802437	0.000296070941446717
"hsa-miR-1226-3p"	-1.60874671103818	3.2162858984168	7.91130098831604	0.00491269267428892	0.00887890327371483
"hsa-miR-1248"	1.0333727759359	3.31106023469436	1.23580355988375	0.266281345561038	0.316008584792316
"hsa-miR-1249-3p"	-1.18766810341685	4.76387038383575	7.49880734414451	0.00617398662545756	0.0108596014751352
"hsa-miR-1255a"	-1.0419605687995	2.91983737397088	1.13466215425577	0.286783073311692	0.339316909563984
"hsa-miR-125a-3p"	-2.45888106013054	3.74052945110202	19.0376081233146	1.28167359897961e-05	3.6329453093379e-05
"hsa-miR-125a-5p"	1.1787052789433	12.2325856141026	11.6098122021176	0.000656047766680018	0.00137490861740387
"hsa-miR-125b-5p"	0.148723489203229	6.59488595911234	0.0621933947481592	0.803062185968103	0.843750670057153
"hsa-miR-126-3p"	-3.4814927873089	7.17775029326911	40.4316915713975	2.03611491222687e-10	1.0840936154289e-09
"hsa-miR-126-5p"	-3.18199429105091	8.80158382371235	21.2972479885056	3.93295716572236e-06	1.19198855638047e-05
"hsa-miR-1260a"	-1.45186694826	6.56456677307213	16.5144036648119	4.82818993759974e-05	0.000123526417884045
"hsa-miR-1260b"	-2.07575931471699	5.13158788953703	26.3659287174749	2.8247965845851e-07	9.93723084220116e-07
