"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.43243377650815	3.62264866945105	29.224401118031	6.44622625480616e-08	2.53756208125703e-07
"hsa-let-7a-3p"	2.31758779889505	6.29678643811278	20.6462502639686	5.52452770984369e-06	1.48117067247701e-05
"hsa-let-7a-5p"	0.373738783498313	14.8954815780711	0.746196145673593	0.3876832323368	0.434065199185221
"hsa-let-7b-3p"	1.62797425245095	6.96079937269397	9.57886260420351	0.00196830306534679	0.00336647696693796
"hsa-let-7b-5p"	1.00036996996036	11.5934612583445	4.36872558768005	0.0366043582064439	0.0509851489190916
"hsa-let-7c-5p"	6.44540823260404	8.6214124427427	39.25885571221	3.71181047527215e-10	2.14076511131975e-09
"hsa-let-7d-3p"	-1.32527344968573	8.06817622289542	6.43709536657138	0.0111761243792815	0.0171620981180298
"hsa-let-7d-5p"	-1.04748984235365	10.3943448296161	3.86170969092453	0.0493999653164408	0.0664021214009611
"hsa-let-7e-3p"	3.52333473830868	3.69880140072901	26.1260389460038	3.19841533760703e-07	1.04369342595598e-06
"hsa-let-7e-5p"	3.6881535972955	10.5092160079464	38.6345024485346	5.11074470528758e-10	2.84823525148611e-09
"hsa-let-7f-1-3p"	1.02952497358389	4.463718520068	2.95316705986985	0.0857094414309983	0.110708028515039
"hsa-let-7f-2-3p"	1.67389503127254	4.24285473315052	9.51497963111816	0.00203801367415503	0.0034737277745048
"hsa-let-7f-5p"	0.386931942444548	14.4089810725824	0.659282335486751	0.416813420200507	0.458402342393462
"hsa-let-7g-3p"	-0.123236984961425	3.19839828838483	0.0340822720623839	0.853531925240376	0.867551730564608
"hsa-let-7g-5p"	-1.75974509586024	12.6280493445172	12.9602607077746	0.000318172870206404	0.000621313951269198
"hsa-let-7i-3p"	0.221392119661362	5.7195275395987	0.153207273562431	0.69548902313749	0.721678986351873
"hsa-let-7i-5p"	2.38429844494885	13.4527524891898	23.6381511357283	1.16259552689055e-06	3.47377940564887e-06
"hsa-miR-100-3p"	11.3317625878888	7.28567040532712	62.7256266478913	2.37603859498973e-15	4.36487090042557e-14
"hsa-miR-100-5p"	7.78370768258692	16.6764620856265	89.4228981157059	3.18824936553715e-21	1.23928723270159e-19
"hsa-miR-101-3p"	-4.36360176410458	13.332892872665	58.2435798644273	2.31591530622389e-14	3.58966872464703e-13
"hsa-miR-101-5p"	-5.91635917466361	5.25173035095701	57.4739900220026	3.42478389832821e-14	4.85340803877369e-13
"hsa-miR-103a-2-5p"	-2.29774027272038	2.87079651908562	6.84007674196216	0.00891350097845956	0.0140799251124712
"hsa-miR-103a-3p"	-2.11032267781629	13.0179449656888	20.8506004491765	4.96536573454685e-06	1.36067480902499e-05
"hsa-miR-106b-3p"	-1.65715047186293	8.4001289871871	6.59101708277856	0.0102494598643522	0.0160370097562103
"hsa-miR-106b-5p"	-2.12896726156488	8.85197264725355	10.7634841732719	0.00103522315143596	0.00188084499308512
"hsa-miR-107"	1.07682436004805	5.24073673624289	3.2586780174933	0.071046381548116	0.0932248816081099
"hsa-miR-10a-3p"	5.4957486666647	3.16312411811096	25.8663091351729	3.65900018243896e-07	1.18618568005864e-06
"hsa-miR-10a-5p"	3.08317221177236	12.7850702274698	30.735997715614	2.95629430904807e-08	1.26407067007573e-07
"hsa-miR-10b-5p"	8.10397837863516	10.6761328996025	16.2402197694014	5.57968825127913e-05	0.000120852636359583
"hsa-miR-1180-3p"	5.47108284016582	4.00756302314347	36.0457990878864	1.92733848359793e-09	9.9579154985893e-09
"hsa-miR-1185-1-3p"	6.38168064764041	5.41751639024611	42.6450683341549	6.5629686688912e-11	4.45922254763019e-10
"hsa-miR-1185-2-3p"	6.4108985939675	2.8255515924511	26.7231603199903	2.34790375835511e-07	7.76373509429423e-07
"hsa-miR-1185-5p"	5.02313853364	4.21388633361623	29.4043342227648	5.87461104953414e-08	2.34984441981366e-07
"hsa-miR-1197"	5.7368649315168	3.95569640008715	27.4580459255012	1.60539576171855e-07	5.79243620285751e-07
"hsa-miR-1226-3p"	-1.10401068299936	3.62430918729135	3.3214712329135	0.0683806101055992	0.0904447536330059
"hsa-miR-1247-5p"	5.16610273941091	2.02556901770913	4.36442006817423	0.036696972105072	0.0509851489190916
"hsa-miR-1248"	-3.08106245209028	2.50799502173611	5.58765230024753	0.0180875228636721	0.0264643402371132
"hsa-miR-1249-3p"	-1.29813847929571	5.08626222130465	6.7939604321363	0.00914667687865066	0.0144023864501928
"hsa-miR-1255a"	-2.22282242760314	2.94322959247307	5.84892304221186	0.0155865869970626	0.0232859853932019
"hsa-miR-125a-3p"	0.0224480620623061	4.75962908652115	0.00174268476992356	0.966701600899469	0.968654533426538
"hsa-miR-125a-5p"	0.961355419212628	12.5180400682476	2.94586683824193	0.0860974950007641	0.110920409143842
"hsa-miR-125b-1-3p"	10.9680417629704	9.55140074405949	117.331969206919	2.42824674085406e-27	2.40882076692723e-25
"hsa-miR-125b-2-3p"	9.08338906713989	6.40739897740921	49.0933760959967	2.44062999586647e-12	2.01758746324961e-11
"hsa-miR-125b-5p"	7.22435737213077	13.1526052348274	105.424083968681	9.86041248999144e-25	6.98680656433679e-23
"hsa-miR-126-3p"	-1.61978189140656	7.87821177985314	4.64804356745822	0.0310889612079498	0.0439319793707781
"hsa-miR-126-5p"	-1.71952692320906	9.46323530006352	5.37635632026425	0.0204114649655116	0.0295162875303025
"hsa-miR-1260a"	-3.4627815430128	6.63561789024125	38.0553465928309	6.87660157101252e-10	3.74812569145298e-09
"hsa-miR-1260b"	-4.06931211157295	5.26742961501509	42.5617410202044	6.84859382277023e-11	4.52920338145871e-10
"hsa-miR-127-3p"	4.84790813549852	13.0588617409763	27.8111108224988	1.33755755786224e-07	4.95095931865427e-07
