"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	5.94090763883278	2.51420173879215	21.4095464631352	3.70919744634816e-06	6.48432692263055e-06
"hsa-let-7a-3p"	0.659249000989235	5.19832088445895	2.38763700562616	0.122298366531121	0.137191844422499
"hsa-let-7a-5p"	1.39619761086803	15.6203537571688	16.5537705600482	4.72898628625142e-05	7.35449490621569e-05
"hsa-let-7b-3p"	0.97690803955286	6.58436058386545	5.70483135919977	0.0169182807135372	0.0206731032188376
"hsa-let-7b-5p"	1.80963762406683	12.249259292167	26.4404764742929	2.71785148263242e-07	5.49304160413894e-07
"hsa-let-7c-5p"	6.02792269716337	8.22889641510488	138.607251783993	5.36767373352084e-32	1.42839762130916e-30
"hsa-let-7d-3p"	-1.85667775887377	7.97879496931841	24.6130166583999	7.00767817200069e-07	1.33732185035392e-06
"hsa-let-7d-5p"	-0.843468215814398	10.5009432757915	6.93528778226582	0.00845114642977026	0.0104873034711398
"hsa-let-7e-3p"	2.66392033592559	3.10699004996765	14.976838288131	0.000108838912713618	0.000163428962977502
"hsa-let-7e-5p"	3.8468395210336	10.7320467644559	78.8451063978786	6.71756362868624e-19	4.07305440270976e-18
"hsa-let-7f-1-3p"	-0.358441551589154	3.82246562650265	0.451299518069709	0.501718479147221	0.527024455069121
"hsa-let-7f-2-3p"	-0.446789182985671	3.14629697382632	0.246931626642763	0.619243948528869	0.639262610658035
"hsa-let-7f-5p"	0.377591084200549	14.4064286733617	1.44367060084795	0.229546279839607	0.250461658412692
"hsa-let-7g-5p"	-1.10544001649342	12.8319396331961	12.9196799752962	0.000325145445043709	0.000456729232187498
"hsa-let-7i-3p"	-0.51297616374767	5.48664403704731	1.00239451388295	0.316731798467791	0.340167110910475
"hsa-let-7i-5p"	2.05768004169961	13.2118740983958	39.0273540069393	4.17908777600466e-10	1.07622744339045e-09
"hsa-miR-100-3p"	11.871489072865	7.81006637004578	123.212146083901	1.25308279228272e-28	2.06974709483939e-27
"hsa-miR-100-5p"	7.86688343974954	16.9175390847286	139.317841905531	3.75308558112333e-32	1.05748705491651e-30
"hsa-miR-101-3p"	-4.05248467798601	13.4082429345231	117.276641291596	2.49693859637237e-27	3.85817286342698e-26
"hsa-miR-101-5p"	-5.22722248248841	5.30065945999529	83.195612305917	7.43224986365402e-20	5.31350400700041e-19
"hsa-miR-103a-2-5p"	-2.42290334051114	2.89116375038901	6.73933428151324	0.00943098120038551	0.0116729715632678
"hsa-miR-103a-3p"	-2.34855452750712	13.0363192499174	47.0410522360019	6.95152948537297e-12	2.13447604070106e-11
"hsa-miR-106b-3p"	-2.41686228005607	8.27973044141106	29.4419942831626	5.76155486443086e-08	1.24877139369339e-07
"hsa-miR-106b-5p"	-3.31828992297856	8.77397541365239	51.459694815896	7.30821904903545e-13	2.48272122304112e-12
"hsa-miR-107"	3.32395665642568	7.01868392353995	66.2243748283276	4.02405401532552e-16	1.96685905442952e-15
"hsa-miR-10a-3p"	5.57769699618474	3.26260924614879	18.2625858163133	1.92450150024409e-05	3.08306427631077e-05
"hsa-miR-10a-5p"	4.75037878036953	14.4059885790999	53.7970563874393	2.2230553755442e-13	7.94659346929605e-13
"hsa-miR-10b-5p"	4.01575087090648	6.8066406514108	17.9863941489922	2.22489532749478e-05	3.54061415903654e-05
"hsa-miR-1180-3p"	4.46897635884997	3.23732127567154	27.8429955380224	1.31569524379351e-07	2.76411413060128e-07
"hsa-miR-1185-1-3p"	3.95533911134051	3.3471511611075	25.2670421227402	4.99165603911635e-07	9.7991936177735e-07
"hsa-miR-1185-5p"	5.06451435659964	4.29243295539554	52.9628414837166	3.3991843022509e-13	1.19721270645455e-12
"hsa-miR-1226-3p"	-2.10611850439585	3.40787177565901	12.8250962324963	0.000342000917436522	0.000479001284947643
"hsa-miR-1248"	-5.84826025419321	2.35257032156354	17.3034225082226	3.18612482792455e-05	5.02024273873638e-05
"hsa-miR-1249-3p"	-1.97534490795268	4.95660246479133	16.6085735913074	4.59428658285463e-05	7.16828427748328e-05
"hsa-miR-1255a"	-1.83473509808601	2.98943467018527	6.95686154939064	0.00834983738459427	0.0103884989797939
"hsa-miR-125a-3p"	0.353021303626575	4.96127850843103	0.707979202829167	0.400115484914493	0.423080170582874
"hsa-miR-125a-5p"	0.863253381531179	12.510787289158	5.30261594256126	0.0212934219670707	0.0257564371773406
"hsa-miR-125b-1-3p"	11.5682071886817	10.1582948125961	274.179395619689	1.39332869021968e-61	1.66851110653807e-59
"hsa-miR-125b-2-3p"	8.76396440831661	6.11525780046129	133.366596598268	7.51675754495298e-31	1.80026343201624e-29
"hsa-miR-125b-5p"	7.42562033818713	13.3961331449225	264.463872184587	1.82612196861525e-59	1.45785403827784e-57
"hsa-miR-126-3p"	-4.79745350990759	7.59348420373797	56.0259368369856	7.15212366496546e-14	2.69753325631374e-13
"hsa-miR-126-5p"	-5.65167816846103	9.19186279736222	87.2227319889754	9.69629270467222e-21	7.61397410743934e-20
"hsa-miR-1260a"	-4.61722652746859	6.64127166941119	71.8689409456219	2.29975401932621e-17	1.23773278118793e-16
"hsa-miR-1260b"	-3.64979267596136	5.33358753363729	50.3463571018463	1.28869100162885e-12	4.22796568342618e-12
"hsa-miR-127-3p"	5.37053657988187	13.5918181945256	63.4037533115907	1.68396848030548e-15	7.68210382920308e-15
"hsa-miR-127-5p"	6.88080377340352	5.72959492537417	91.6768549312404	1.02051547470952e-21	9.22314929029923e-21
"hsa-miR-1271-5p"	2.49549120115715	6.26984653897899	27.2900826175293	1.75107235191093e-07	3.63101150028284e-07
"hsa-miR-1273h-3p"	-8.81534605884986	4.79791226514467	105.2780119509	1.06147516419525e-24	1.12988134144339e-23
"hsa-miR-128-1-5p"	0.712881958802381	3.85404644619156	0.961713921514111	0.326755433951	0.350147321840109
"hsa-miR-128-3p"	-1.3691760345121	9.89749386657536	15.2308050013486	9.5138790043271e-05	0.000145132103282569
"hsa-miR-1285-3p"	-0.751633431844493	3.31962610123541	0.662162339752747	0.415797592436869	0.437729773136836
"hsa-miR-1294"	-2.63118778385108	3.05263975060558	12.0419719143297	0.000520159161531327	0.000715966202222718
"hsa-miR-1296-5p"	2.37533347268608	4.18303956801489	18.0047718632303	2.20351919600458e-05	3.51828564962065e-05
"hsa-miR-1301-3p"	-1.599265444583	6.14936468780494	15.0996305267657	0.000101983247007583	0.000154588529483013
"hsa-miR-1304-3p"	0.813689926094036	6.65214281388114	1.62104088689651	0.202946711827505	0.222962098544437
"hsa-miR-1306-5p"	-1.92089643117483	3.33134769993142	8.71325780589556	0.00315904167316233	0.00407865488260042
"hsa-miR-1307-3p"	-0.740119230680072	7.40884950332887	2.91335297874675	0.0878490617932082	0.0999517828953604
"hsa-miR-1307-5p"	0.802569841347071	8.88955906731215	4.28636147896225	0.0384193012333013	0.0453272051496338
"hsa-miR-130a-3p"	2.89143169518984	10.1362380494431	61.1850549198198	5.19544194345316e-15	2.20231565567616e-14
"hsa-miR-130b-3p"	0.964152400896043	8.81171696761426	7.03993413743043	0.00797119627574776	0.00994323702104994
"hsa-miR-130b-5p"	0.640480870807456	7.35584547426748	1.764406435976	0.184075844326988	0.203162049383934
"hsa-miR-132-3p"	-0.292456747575003	6.10379127506553	0.443934326999649	0.505229610459858	0.529551386018101
