"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-3p"	0	4.64546277688213	0	1	1
"hsa-let-7a-5p"	0	14.5574351728144	0	1	1
"hsa-let-7b-3p"	0	5.81407720923359	0	1	1
"hsa-let-7b-5p"	0	10.8656922507749	0	1	1
"hsa-let-7c-5p"	0	3.28744764226151	0	1	1
"hsa-let-7d-3p"	0	8.4413947504549	0	1	1
"hsa-let-7d-5p"	0	10.6880628993222	0	1	1
"hsa-let-7e-5p"	0	7.56145160827245	0	1	1
"hsa-let-7f-1-3p"	0	3.78598333405216	0	1	1
"hsa-let-7f-5p"	0	14.0591226555187	0	1	1
"hsa-let-7g-5p"	0	13.1116087731589	0	1	1
"hsa-let-7i-3p"	0	5.46465194725177	0	1	1
"hsa-let-7i-5p"	0	11.6673564565956	0	1	1
"hsa-miR-100-5p"	0	9.74248740224754	0	1	1
"hsa-miR-101-3p"	0	14.131426907738	0	1	1
"hsa-miR-101-5p"	0	6.07186003798562	0	1	1
"hsa-miR-103a-2-5p"	0	3.3528789063024	0	1	1
"hsa-miR-103a-3p"	0	13.5778599586705	0	1	1
"hsa-miR-106b-3p"	0	8.85122219812452	0	1	1
"hsa-miR-106b-5p"	0	9.41983144227516	0	1	1
"hsa-miR-107"	0	4.51431748555389	0	1	1
"hsa-miR-10a-5p"	0	10.4207061859969	0	1	1
"hsa-miR-10b-5p"	0	3.64479927506397	0	1	1
"hsa-miR-1226-3p"	0	3.88740260396928	0	1	1
"hsa-miR-1248"	0	3.06006282859671	0	1	1
"hsa-miR-1249-3p"	0	5.44739420270785	0	1	1
"hsa-miR-1255a"	0	3.44839921859027	0	1	1
"hsa-miR-125a-3p"	0	4.59620289755485	0	1	1
"hsa-miR-125a-5p"	0	11.7856309592256	0	1	1
"hsa-miR-125b-5p"	0	6.77650883434709	0	1	1
"hsa-miR-126-3p"	0	8.29160041621426	0	1	1
"hsa-miR-126-5p"	0	9.90363427077264	0	1	1
"hsa-miR-1260a"	0	7.3664088687831	0	1	1
"hsa-miR-1260b"	0	6.03175350368275	0	1	1
"hsa-miR-127-3p"	0	8.9417158332681	0	1	1
"hsa-miR-1271-5p"	0	4.40091993509552	0	1	1
"hsa-miR-1273h-3p"	0	5.6559889434463	0	1	1
"hsa-miR-128-3p"	0	10.2699681954947	0	1	1
"hsa-miR-1285-3p"	0	3.40907569284587	0	1	1
"hsa-miR-1294"	0	3.59421744832559	0	1	1
"hsa-miR-1301-3p"	0	6.58190761776474	0	1	1
"hsa-miR-1304-3p"	0	6.01633578431549	0	1	1
"hsa-miR-1306-5p"	0	3.78448157464365	0	1	1
"hsa-miR-1307-3p"	0	7.51863617510023	0	1	1
"hsa-miR-1307-5p"	0	8.28089046427722	0	1	1
"hsa-miR-130a-3p"	0	7.86756468211801	0	1	1
"hsa-miR-130b-3p"	0	8.07488528486305	0	1	1
"hsa-miR-130b-5p"	0	6.85361282448336	0	1	1
"hsa-miR-132-3p"	0	6.02003493230014	0	1	1
"hsa-miR-132-5p"	0	4.29032616475533	0	1	1
"hsa-miR-133a-3p"	0	3.01424714083048	0	1	1
"hsa-miR-134-5p"	0	3.76877045451257	0	1	1
"hsa-miR-136-3p"	0	3.32979605123015	0	1	1
"hsa-miR-139-5p"	0	3.75838181217932	0	1	1
"hsa-miR-140-3p"	0	13.3747384995497	0	1	1
"hsa-miR-140-5p"	0	7.03972166448227	0	1	1
"hsa-miR-141-3p"	0	6.40315792826632	0	1	1
"hsa-miR-142-3p"	0	12.4972236683155	0	1	1
"hsa-miR-142-5p"	0	14.6409525285867	0	1	1
"hsa-miR-143-3p"	0	16.4101821834293	0	1	1
"hsa-miR-143-5p"	0	5.88959589319191	0	1	1
"hsa-miR-144-3p"	0	5.92403684954511	0	1	1
"hsa-miR-144-5p"	0	8.13130526328482	0	1	1
