"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	7.99529952794663	4.09547353397821	26.6575651680659	2.42897875615442e-07	2.20312634549445e-06
"hsa-let-7a-3p"	2.76215627445197	6.58909225432089	11.7528775205189	0.000607492462487154	0.0017546011346696
"hsa-let-7a-5p"	0.867008223091961	15.1183165922658	1.12427330824039	0.289000157377031	0.343478347963046
"hsa-let-7b-3p"	1.39870803150098	6.71882663765654	3.16899822913329	0.0750484651188491	0.102645652027632
"hsa-let-7b-5p"	1.81411701823801	12.1016050439099	3.75777364427788	0.0525625213624407	0.0752765195135231
"hsa-let-7c-3p"	6.69011606900606	3.00812743591516	7.63052702027132	0.00573885309250622	0.0113677664705966
"hsa-let-7c-5p"	7.00084811996803	9.05501882959572	26.18746910728	3.09826526240894e-07	2.6259067879761e-06
"hsa-let-7d-3p"	-2.10104803855133	7.81063805976246	6.47711274154866	0.0109272343780224	0.0198638660395203
"hsa-let-7d-5p"	-1.52794341392457	10.1831682006262	3.05591908380231	0.0804434708631693	0.109734233341052
"hsa-let-7e-3p"	3.30803677742351	3.43817624672385	11.708612032572	0.000622115050193234	0.00177698055773427
"hsa-let-7e-5p"	3.68940602956701	10.3992746165912	13.9779309465141	0.000184969064478326	0.000641805411646271
"hsa-let-7f-1-3p"	1.56127451834628	4.72698688772873	4.69484411624304	0.0302532430913975	0.0468291217911752
"hsa-let-7f-2-3p"	3.0518591337004	5.25941515222138	9.40170665719753	0.00216783558026622	0.00502587890133469
"hsa-let-7f-5p"	0.15039977952312	14.1996568882483	0.0387357467052993	0.84397310271749	0.864027909118697
"hsa-let-7g-3p"	0.782830647309552	3.55226118918082	0.937562801950142	0.332905415788464	0.387639864780712
"hsa-let-7g-5p"	-1.36687652441203	12.6472718427009	3.01686612733289	0.0824025610672842	0.112110852820489
"hsa-let-7i-3p"	0.665257531581936	5.87836516794557	0.661967246098616	0.415866289381363	0.466383669436366
"hsa-let-7i-5p"	2.22089889226536	13.2286479051867	7.78343168432767	0.0052727543306806	0.01073233853922
"hsa-miR-1-3p"	5.5410534481665	5.16414318182231	5.77438863880748	0.0162613758240508	0.0272958808475139
"hsa-miR-100-3p"	11.7605213422672	7.70439796933521	43.6401256057008	3.9466344301353e-11	2.4098146093358e-09
"hsa-miR-100-5p"	7.57314950250983	16.3775029535289	32.4927680241587	1.19636905603981e-08	1.93288375616433e-07
"hsa-miR-101-3p"	-3.23852815874761	13.3425437293315	11.9234937959808	0.000554304256305287	0.0016469844856887
"hsa-miR-101-5p"	-2.53073058067972	5.39077948629088	5.15057803109123	0.023238636050896	0.0374279589978605
"hsa-miR-103a-2-5p"	-2.89779241170182	2.75101404425157	7.67213351248095	0.00560801092896577	0.0112215088287525
"hsa-miR-103a-3p"	-1.71534527132316	13.0246675259448	4.79510004075212	0.0285407990808101	0.0444445576047555
"hsa-miR-106a-5p"	5.12529009314641	6.58464503842598	4.21814298341993	0.0399939086864316	0.0597596843667201
"hsa-miR-106b-3p"	-3.07727655333657	8.07630955125722	11.8415444523644	0.000579237637715876	0.00169793245229214
"hsa-miR-106b-5p"	-2.68118898305235	8.69599768299526	8.073140043264	0.00449261970795028	0.00948034444493999
"hsa-miR-107"	3.67197951527785	7.2621661849785	6.91561282658932	0.00854463526746206	0.016020305646965
"hsa-miR-10a-3p"	6.13446765085697	3.64154924515038	7.95816426059936	0.00478709426371559	0.00997954731589096
"hsa-miR-10a-5p"	3.20458375876543	12.8424199715223	5.25058695749848	0.0219393691888607	0.035556908685395
