"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	6.17999294747861	2.44177020845351	6.8807005822098	0.00871314037570598	0.0167693376278468
"hsa-let-7a-3p"	0.921965431391579	5.22198076499889	2.35910788195698	0.124553400132885	0.173089968666044
"hsa-let-7a-5p"	0.379846436856134	14.8924862354302	0.24318819804023	0.621912853724558	0.668797636488715
"hsa-let-7b-3p"	0.782166800253916	6.3360698906209	1.81186560950709	0.178284594442453	0.225299253026613
"hsa-let-7b-5p"	0.905251067164983	11.4666125895718	1.48456082676717	0.223062299776592	0.27598269232563
"hsa-let-7c-5p"	7.44822115768936	9.29109301105062	33.9107608837977	5.76986892916805e-09	5.9540136822266e-08
"hsa-let-7d-3p"	-1.4877260834393	8.18419296852524	3.84371821489931	0.0499326740204108	0.0766371737338584
"hsa-let-7d-5p"	-0.959231733269041	10.549624303507	1.89478336127092	0.168663391039973	0.217557831527625
"hsa-let-7e-3p"	2.10592716642569	2.58193780253003	1.81285484613846	0.178166143373467	0.225299253026613
"hsa-let-7e-5p"	3.56028421551202	10.122845138048	16.210404316129	5.66819528228943e-05	0.000194453879234711
"hsa-let-7f-1-3p"	0.285390884096017	4.03739057265833	0.144045042036048	0.70429235406765	0.739584664482001
"hsa-let-7f-2-3p"	1.80667896624655	4.23569277650049	1.34625080622095	0.24593462682625	0.301207813158412
"hsa-let-7f-5p"	0.896855913221904	14.6592446587359	1.72047964652165	0.189631315634733	0.237039144543417
"hsa-let-7g-3p"	0.473949473554915	3.44528102344575	0.37721403223583	0.539098023342859	0.59423304845747
"hsa-let-7g-5p"	-1.41062653090047	12.8691253401392	3.91794573240091	0.0477732229800022	0.0740256011031983
"hsa-let-7i-3p"	0.200237372958127	5.70321515867637	0.0969362265194276	0.755537729251488	0.786342915637279
"hsa-let-7i-5p"	2.67502220484256	13.4939588665032	15.4219893822777	8.59819294549912e-05	0.000287266691297106
"hsa-miR-100-3p"	10.3492610166709	5.99622637648355	58.3581479178404	2.18489885443631e-14	8.15135341847394e-13
"hsa-miR-100-5p"	7.35245142879971	15.9463183061928	61.4930157423536	4.44316445051864e-15	2.15493475850154e-13
"hsa-miR-101-3p"	-3.88105838750229	13.6314825035807	23.3060470756136	1.38164932075518e-06	7.0536833743817e-06
"hsa-miR-101-5p"	-4.65298810346738	5.5555701353254	19.0334358054598	1.28447899431327e-05	5.41715054123422e-05
"hsa-miR-103a-2-5p"	-1.76839301114348	3.07760257941391	3.14117961517799	0.0763385778842743	0.110520030668278
"hsa-miR-103a-3p"	-2.23602219138245	13.2028622306401	8.95357110087082	0.00276927706954655	0.00596933057213368
"hsa-miR-106b-3p"	-0.997856486017952	8.69901934907338	1.96940669459423	0.160510852067597	0.209832245964378
"hsa-miR-106b-5p"	-1.97785882691588	9.08061574339271	5.51226675462845	0.0188835581492934	0.0329443370590191
"hsa-miR-107"	2.01689610388227	5.77405019913625	4.47580884512251	0.0343779268162872	0.0557635267755829
"hsa-miR-10a-5p"	0.409029968602912	10.7747493759784	0.238162450413398	0.625536451285977	0.671206147950661
"hsa-miR-10b-5p"	10.0837448633095	12.3555957238998	36.7321203802326	1.35527915543552e-09	1.64327597596557e-08
"hsa-miR-1180-3p"	5.04756249558119	3.41674132792314	17.6463885083219	2.66019924383946e-05	0.000105753822398536
"hsa-miR-1185-1-3p"	5.47669981440707	4.29451818779808	26.7680279549276	2.29401539793764e-07	1.48346329066634e-06
"hsa-miR-1185-5p"	4.82434770448086	3.78398881415821	24.395262752355	7.84613947757853e-07	4.37399729497194e-06
"hsa-miR-1197"	4.89793582595397	3.0335616233831	16.866560261918	4.01018962798397e-05	0.000145144923102405
"hsa-miR-1226-3p"	-1.41946024115905	3.65230910501625	3.77925472871809	0.051891768755779	0.0791431064357007
"hsa-miR-1248"	-5.97442900246829	2.61686043436783	8.01307769866647	0.00464407435671976	0.00925842055363362
"hsa-miR-1249-3p"	0.419325633538093	5.79228799202695	0.142532256454343	0.705776472233218	0.739584664482001
"hsa-miR-1255a"	-2.93034080834944	3.07749681242004	5.35904967939339	0.0206150044700062	0.0357081327426894
"hsa-miR-125a-3p"	-0.379900043265293	4.60877403737763	0.186650559612361	0.665719072052523	0.704964519531602
"hsa-miR-125a-5p"	0.721972792864343	12.2785701807777	0.823982304182437	0.364018400591639	0.41638897237487
"hsa-miR-125b-1-3p"	11.5544167792064	9.80940589784431	74.2339634501571	6.93861989628335e-18	8.41307662424357e-16
"hsa-miR-125b-2-3p"	7.76917912018943	4.86248346452926	47.7987357149346	4.72296504228492e-12	1.14531902275409e-10
"hsa-miR-125b-5p"	7.60443909756863	13.208338185415	71.3759557111022	2.95248251542351e-17	2.86390803996081e-15
"hsa-miR-126-3p"	-3.76938684891144	7.78218763095565	5.22528194666715	0.0222608372781003	0.0384217298216321
"hsa-miR-126-5p"	-3.47764161423468	9.40840263315473	10.3898713982852	0.00126708448419715	0.00304225730116644
"hsa-miR-1260a"	-2.47798767329584	6.96629708353276	9.89911674429538	0.00165358118189905	0.00381898511057637
"hsa-miR-1260b"	-2.38999320284682	5.64873775251318	10.3611629680207	0.00128694105536607	0.00307471138843617
"hsa-miR-1262"	2.90443686779695	2.49367957873049	5.44720997920552	0.0195996037287146	0.0340709957291275
"hsa-miR-127-3p"	5.5307596269151	13.3345919054053	32.0203083098044	1.52569240235245e-08	1.3727874727284e-07
"hsa-miR-127-5p"	7.13514817837068	5.65438718447485	48.2087712009628	3.8317053138606e-12	9.94585983989287e-11
"hsa-miR-1271-5p"	2.43193159483725	5.93456162252026	10.2428148762221	0.00137218033454681	0.00319955510699617
"hsa-miR-1273h-3p"	-8.86133945735931	5.1118563838899	39.5896456388409	3.13340244366317e-10	4.46970642699012e-09
"hsa-miR-128-1-5p"	0.7135749811043	3.74556423706584	0.788791104403872	0.374465919443971	0.427331696306649
"hsa-miR-128-3p"	-1.00150419939058	10.1205179855469	1.98496094819036	0.158868755296874	0.2082468819432
"hsa-miR-1285-3p"	-1.92159911800616	3.11615129484912	2.20132018744013	0.137892596218243	0.186218373731403
"hsa-miR-1294"	-3.0721306446156	3.18511196709127	8.17007303128294	0.00425871920914274	0.00860616173514262
"hsa-miR-1296-5p"	2.2247421695176	3.88858978657672	5.52264568398846	0.0187718477791122	0.03286767571433
"hsa-miR-1301-3p"	-2.03384242400015	6.23302215910143	6.11812479786846	0.0133802666719857	0.0244884125883512
"hsa-miR-1304-3p"	-0.78925806789132	5.91909184302274	0.950304346574338	0.329641840614428	0.387880134641906
"hsa-miR-1306-5p"	-1.22974789947527	3.5947035330151	0.898986626387305	0.343053579233289	0.399954293096502
