"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.91080209041654	3.65608398830817	38.6943673343023	4.9563728532135e-10	3.43455696307189e-09
"hsa-let-7a-3p"	-2.39748037030219	6.50440002241515	6.98719092227936	0.00820950970591354	0.0144252813403909
"hsa-let-7a-5p"	0.497529863080169	15.5744939231247	0.583751091034074	0.444845757694434	0.494653849596659
"hsa-let-7b-3p"	-2.76038927835779	6.17114184941233	16.9935918241277	3.75061912664612e-05	0.000112518573799384
"hsa-let-7b-5p"	-1.54805591400553	11.7210650801472	4.87131688518219	0.0273066548654804	0.0410852421829246
"hsa-let-7c-3p"	-7.27604251286301	3.2146013950503	8.0570615755433	0.00453266366146092	0.00851171954747622
"hsa-let-7c-5p"	-7.40866069102038	9.24541419118694	29.4717246036059	5.67384570205583e-08	2.60890849103876e-07
"hsa-let-7d-3p"	1.27896989452646	7.12258007423287	3.92268717157905	0.0476386759983788	0.0683330279626891
"hsa-let-7d-5p"	1.67713192697946	10.1586931195557	5.22182202885392	0.0223051688434522	0.0347283008575269
"hsa-let-7e-3p"	-6.9267284668403	2.97806324873312	33.9110074455709	5.76913777102785e-09	3.33931268628906e-08
"hsa-let-7e-5p"	-4.07979222221332	9.901005378269	7.01164514966062	0.00809812325277788	0.0143319303610314
"hsa-let-7f-1-3p"	-2.29271229418262	4.55718107244164	9.31228764340159	0.00227622096420241	0.00466625297661493
"hsa-let-7f-2-3p"	-2.94516036609069	5.43136002446936	7.79887102032989	0.00522788885749552	0.00952637525143628
"hsa-let-7f-5p"	1.13486543486251	15.0368074960306	2.61192517441896	0.106062932531734	0.138784475546844
"hsa-let-7g-3p"	1.15296219330228	4.65693182090471	1.72024118005339	0.189662002755956	0.233284263389826
"hsa-let-7g-5p"	3.00933095733384	14.0420503382493	17.1845996047911	3.39174872147804e-05	0.000103629223683285
"hsa-let-7i-3p"	2.43210773237868	7.72815987390369	10.8250375474857	0.0010013666351001	0.00220729009738163
"hsa-let-7i-5p"	-0.286826715997432	13.7191641318146	0.188918428963859	0.663818328180418	0.708456870856324
"hsa-miR-1-3p"	-8.32157421934066	5.45723776328906	8.50476868367237	0.00354216938713704	0.00692212840791453
"hsa-miR-100-3p"	-10.6856246981815	7.21159820063324	61.4955990012285	4.43733884074848e-15	1.81930892470687e-13
"hsa-miR-100-5p"	-11.8264204705929	16.1585501803304	50.8242506923348	1.01017854392e-12	1.61822971283996e-11
"hsa-miR-101-3p"	2.58197528197805	13.1891276352804	4.96932949252687	0.0258006474982865	0.0390582109820215
"hsa-miR-101-5p"	0.635107961161463	4.51385350854434	0.252672508968579	0.615199536646096	0.659429568692548
"hsa-miR-103a-3p"	0.16046435185303	12.0650092168729	0.0481329676144924	0.826344491934435	0.85233016778143
"hsa-miR-106a-5p"	-3.39519741401011	7.06028960693928	2.44189308206349	0.118133581001325	0.153355466629689
"hsa-miR-106b-3p"	4.07333522872318	8.94786422614292	23.6952172947392	1.12862667438922e-06	4.47809938547981e-06
"hsa-miR-106b-5p"	1.93071295383171	7.94396683870839	3.76503618310106	0.0523347258280944	0.0731496736006319
"hsa-miR-107"	-5.60867941764997	7.48371639092101	14.2650387848157	0.000158786950463922	0.000424582497979616
"hsa-miR-10a-3p"	-6.08221521063185	3.88405025483533	8.26994590337422	0.00403067073267885	0.00765671814856369
"hsa-miR-10a-5p"	-2.62489967293514	13.2750139029664	3.88765549987863	0.0486422818569218	0.068929735810886
"hsa-miR-10b-5p"	-6.70131856255635	12.750466693419	8.3578871414085	0.00384016822477907	0.007351606095686
"hsa-miR-1180-3p"	-4.44575671109821	3.75236484817519	25.5578631047689	4.29312940436695e-07	1.77497451004079e-06
"hsa-miR-1185-1-3p"	-7.58519800230889	4.22984011399337	50.4476588170258	1.22385718658964e-12	1.82465980546092e-11
"hsa-miR-1185-5p"	-7.32045114951592	3.83935920886352	46.1801731912106	1.07863007276917e-11	1.2341534786103e-10
"hsa-miR-1197"	-7.23011901000036	3.21963251301226	31.6212377807738	1.87369212772974e-08	9.31168208932354e-08
"hsa-miR-122-3p"	-5.23109311933096	3.47382051240429	3.59051347946749	0.0581102852216157	0.080309720025379
"hsa-miR-122-5p"	-2.34994978489995	6.89449128298835	0.832440104867542	0.361567894965566	0.41274107731568
"hsa-miR-124-3p"	-9.19631161041743	6.75995351445497	9.78111576003777	0.00176313290943312	0.00367568386203853
"hsa-miR-124-5p"	-6.89910257841371	2.90896478206033	5.31546029637389	0.0211370090803294	0.0332249471805816
"hsa-miR-1248"	2.69983425375956	3.73864893393195	3.38957616336709	0.0656098123187992	0.0889256960353972
"hsa-miR-1249-3p"	-0.993358072299462	2.65162431730134	2.11563250749041	0.145801804389758	0.183934583999388
"hsa-miR-125a-3p"	-4.4655214589435	3.47835484749775	23.0731387497969	1.55954291257057e-06	5.91700380108317e-06
"hsa-miR-125a-5p"	-4.15721571472608	11.1390409225284	21.443135066268	3.64478603165882e-06	1.28088194826867e-05
"hsa-miR-125b-1-3p"	-12.8811013052821	9.19703505163628	77.8403860850996	1.11712551631511e-18	2.64121080477435e-16
"hsa-miR-125b-2-3p"	-8.57915434564201	8.24341476498417	20.2527157457532	6.78570694606135e-06	2.286690285933e-05
"hsa-miR-125b-5p"	-10.7412192079	13.2595724812597	77.1179196608937	1.61049439315509e-18	2.64121080477435e-16
"hsa-miR-126-3p"	-5.10694750667396	7.99938809900926	10.9103950121426	0.000956261323829662	0.00211928185281168
"hsa-miR-126-5p"	-2.67044933099216	9.76991717998281	2.8803958417491	0.0896639776148569	0.119228856720296
"hsa-miR-1260a"	-0.421451870409223	3.58713786329802	0.468734080403716	0.493570127896258	0.543258395805277
"hsa-miR-1260b"	-0.469964175236443	3.05235248303477	0.353179640445783	0.552318708053999	0.601196469828689
"hsa-miR-127-3p"	-8.79260885566933	12.3827610284671	62.3364906175437	2.8951063010911e-15	1.29490209103347e-13
"hsa-miR-127-5p"	-8.16151498337248	5.13553124562765	55.9590343470566	7.39969177688256e-14	1.9028719630384e-12
"hsa-miR-1271-5p"	0.573303463158021	6.64904577728975	0.172546022725137	0.677858918735389	0.720316604790089
"hsa-miR-1273h-3p"	9.21634425001663	5.36088361000225	49.2235022472585	2.2839779815677e-12	3.21062047694659e-11
"hsa-miR-1277-5p"	-0.959753199320267	2.36272198807284	0.875866934284625	0.349336197170934	0.399705602344417
"hsa-miR-128-1-5p"	0.474903801704391	5.31184735687284	0.137147703458897	0.711133209071527	0.752424814759551
"hsa-miR-128-2-5p"	-5.90202407041003	2.20820272572402	4.78313762668362	0.0287397097833156	0.0429785325634993
"hsa-miR-128-3p"	-3.01951888998231	10.6742318349669	5.71949910992024	0.0167775160364282	0.0269756140193552
"hsa-miR-1285-3p"	-3.88529548857147	3.29049160924205	23.2312215060644	1.43646219285036e-06	5.52140155376859e-06
"hsa-miR-129-2-3p"	-6.4307159294573	3.70758035573839	9.385463810436	0.00218712712013496	0.00454036516078651
"hsa-miR-129-5p"	-3.59637338033955	3.48512884242187	6.10012658795101	0.0135172198524858	0.0222423818308462
"hsa-miR-1296-5p"	-5.48570346461228	4.52482757973463	43.6616093114645	3.90354610874897e-11	3.31128394052499e-10
"hsa-miR-1299"	4.45176289820385	2.77194565847632	2.99335298164732	0.0836068879867897	0.111475850649053
"hsa-miR-1301-3p"	-0.142997089417959	4.1197355607744	0.0442740634874603	0.833344544392015	0.857752125190108
"hsa-miR-1304-3p"	-0.130201956046163	4.98610391591854	0.0345592075397878	0.852522343696785	0.873835402289204
"hsa-miR-1306-5p"	-3.27829541461223	2.38692749759897	6.41707460234071	0.0113028202420768	0.0189794797238969
"hsa-miR-1307-3p"	-0.0367381105841033	6.88293261428514	0.0027953110884944	0.957834928464891	0.965686034435915
"hsa-miR-1307-5p"	-1.45424630318644	8.20552057348292	3.86630644688962	0.0492648252976702	0.0694506992735064
"hsa-miR-130a-3p"	-6.74889273415382	10.30652203668	32.0379803711318	1.51187629213607e-08	7.8299277445363e-08
"hsa-miR-130b-3p"	-2.93389993339015	8.62409729868605	8.04724868136825	0.00455728141438994	0.00852540857748993
"hsa-miR-130b-5p"	-4.32967468924571	6.73863331402066	16.4527478653725	4.98778327619488e-05	0.0001435081504028
"hsa-miR-132-3p"	-1.11755278602296	6.08377255379298	1.32936148363354	0.248918842265217	0.296532858098031
"hsa-miR-132-5p"	-4.44686848434665	5.01429726144837	12.1362392813902	0.00049451396053655	0.00116971571434607
"hsa-miR-133a-3p"	-9.57821166479553	9.75377605592564	13.463434019798	0.000243258113284941	0.000633243342519529
"hsa-miR-133a-5p"	-6.14706350921986	3.01300579239852	4.5894688521306	0.0321689816862718	0.0476721053904992
"hsa-miR-134-5p"	-9.90990666813378	5.63321932977169	54.0847999383455	1.92020961441896e-13	4.10757882736577e-12
"hsa-miR-135a-5p"	-7.99223743512945	5.03979359021089	7.33536198662066	0.00676110623879821	0.0121403805455793
"hsa-miR-136-3p"	-9.32846918215475	8.59928590488341	66.5075461906636	3.48556685239028e-16	2.14362361422002e-14
"hsa-miR-136-5p"	-8.793172870056	5.60732479704218	56.7424179651666	4.96802688487969e-14	1.4378054278593e-12
"hsa-miR-137"	-10.3797078855823	6.08508335132462	43.7423876701187	3.74570614917111e-11	3.29087040248605e-10
"hsa-miR-138-2-3p"	-5.74706758866729	2.11425730363524	4.70032600243509	0.0301568967268338	0.0448253570682846
"hsa-miR-138-5p"	-5.21133318999711	9.49949484648231	12.2439068486196	0.000466779917682111	0.00111605799976504
"hsa-miR-139-5p"	-5.55282761114256	4.1797613368674	8.60839806033857	0.00334616480940826	0.00658525234491546
"hsa-miR-140-3p"	-0.295977773827565	12.6450220473579	0.0655427039296939	0.797940727184491	0.828242273786434
"hsa-miR-140-5p"	-1.78916273884646	7.27340969706047	2.64614095453792	0.103801608303597	0.13618771009432
"hsa-miR-141-3p"	11.8172224723837	9.6325059522599	46.1175308617101	1.11367459712996e-11	1.23768184934699e-10
"hsa-miR-142-3p"	7.3704434599747	10.9048262187755	10.210586583485	0.0013963675290501	0.00301321414163443
"hsa-miR-142-5p"	9.70953124687359	15.7393013307752	12.5442661814546	0.000397423907352898	0.000972798817998138
"hsa-miR-143-3p"	-7.97855716587082	14.2549962853509	76.3796258021478	2.34053633387454e-18	2.87885969066569e-16
"hsa-miR-143-5p"	-8.60796742803612	5.17947550166357	44.780656442241	2.20389200718011e-11	2.21288748476043e-10
"hsa-miR-144-3p"	-4.61250127311688	5.30355802885892	3.75358822518151	0.0526942769548314	0.073443581478122
"hsa-miR-144-5p"	-2.06005483412457	4.05416453411595	1.21427959075482	0.270486213121575	0.31761149607593
"hsa-miR-145-3p"	-9.56533962134194	6.89126850333614	37.9903561934468	7.10951783203159e-10	4.72686861264803e-09
"hsa-miR-145-5p"	-10.5562790344299	9.42667082300894	68.9240007173356	1.02331858611858e-16	8.00077001854698e-15
"hsa-miR-1468-5p"	2.35471177092763	4.99017212053744	6.98043585430905	0.00824055372527743	0.0144283004727277
"hsa-miR-146a-3p"	-6.0764852657649	3.9522175523268	22.2495476423048	2.39415181400768e-06	8.85656159768256e-06
"hsa-miR-146a-5p"	1.84987351323365	13.0386427847208	4.34576832347011	0.0371010234983194	0.0546518070693807
"hsa-miR-146b-3p"	6.54368902093682	6.17537817638445	21.7320005151307	3.13517615321025e-06	1.11775845462279e-05
"hsa-miR-146b-5p"	8.27296089084738	13.5802319414561	20.7268450174386	5.29681959140047e-06	1.82240226501331e-05
"hsa-miR-147b"	-2.81855265407354	2.42798212194343	6.28335373739979	0.012187723827351	0.020326644484938
"hsa-miR-148a-3p"	-2.42506829052461	12.5939325722888	4.09434192129106	0.043026976776375	0.0624462317816417
"hsa-miR-148a-5p"	-2.02752648327355	6.918391920024	2.54447789412263	0.110680492669099	0.144442446666305
"hsa-miR-148b-3p"	-0.46682927277043	10.6572159427797	0.395216072935199	0.529570276148402	0.577713028525529
"hsa-miR-148b-5p"	-1.04250545197284	5.93499104332699	3.12959283926685	0.0768829399607054	0.102789147990943
"hsa-miR-149-5p"	-7.06807746167977	5.87813688731512	46.6418106580875	8.52223853432606e-12	1.02266862411913e-10
"hsa-miR-150-3p"	10.6256154118776	6.73127908471643	45.2062487544121	1.77338344034785e-11	1.85639287798116e-10
"hsa-miR-150-5p"	9.2644736556665	13.5758722478409	17.5059495414454	2.86410017624446e-05	8.86249865856775e-05
"hsa-miR-151a-3p"	1.40222937816891	12.7957335921518	4.0945355405299	0.0430220488374969	0.0624462317816417
"hsa-miR-151a-5p"	0.397081673912016	12.3881269613014	0.3085864454589	0.578548896929519	0.625595730306206
"hsa-miR-151b"	5.32629159212187	7.53269761258029	28.3493595122491	1.01280307952972e-07	4.52999195571473e-07
"hsa-miR-152-3p"	-3.82286935006595	7.37749016493306	24.2127315650876	8.62601671921e-07	3.4786887097142e-06
"hsa-miR-152-5p"	-5.89237773500146	4.84083965556583	41.1009437311776	1.44566515427259e-10	1.11135508734705e-09
"hsa-miR-153-3p"	-5.51099232349438	6.70798323247494	6.99191633661856	0.00818786443180695	0.0144252813403909
"hsa-miR-153-5p"	-4.71945837208446	2.35692592480203	3.90985283555557	0.0480038006904773	0.0683667704199154
"hsa-miR-154-5p"	-6.71654769965654	2.82314487234662	23.5674058188294	1.20613394580549e-06	4.70966588362142e-06
"hsa-miR-155-5p"	3.78592178670348	13.1727657843447	6.72758676455442	0.00949329517653812	0.0162177125932526
"hsa-miR-15a-5p"	2.09061380182035	11.6691386899114	3.41534372867736	0.0645929604324487	0.0880325111710935
"hsa-miR-15b-3p"	0.841946284460884	5.08721713038634	2.10969672715298	0.146368322414113	0.184177019508296
"hsa-miR-15b-5p"	-0.44614345172424	8.63844214367238	0.220725714819411	0.638487515605374	0.682904038430095
"hsa-miR-16-2-3p"	2.13426954706461	6.50300930577758	7.95445032030372	0.00479692755975907	0.00890599380906212
"hsa-miR-16-5p"	3.85187009833471	14.6261700262311	18.1004858418603	2.09547956869606e-05	6.52516422657255e-05
"hsa-miR-17-3p"	1.29103619536952	7.05887139597439	1.96829364924533	0.160629098003772	0.201092916584874
"hsa-miR-17-5p"	0.238341824561387	9.10235037431644	0.0616165298759341	0.803958954096179	0.832732221926989
"hsa-miR-181a-2-3p"	-0.312791196057966	8.64910697627558	0.1383773396987	0.709899514612293	0.752424814759551
"hsa-miR-181a-3p"	-1.06053761201746	9.99745268788079	1.36206879508997	0.243179262928182	0.290675858395782
"hsa-miR-181a-5p"	1.6482908292573	16.5214884719952	3.13511283988692	0.0766230842023106	0.102720864925168
"hsa-miR-181b-2-3p"	-2.32984727741445	2.7093611360367	3.78681161560436	0.0516579614130862	0.0724094501858644
"hsa-miR-181b-3p"	-2.40513763229364	4.35067829653801	10.0170594183487	0.00155096894098207	0.00331772486505729
"hsa-miR-181b-5p"	-1.51519107383826	12.0524963191941	2.40258480699174	0.121134950006222	0.156837882639635
"hsa-miR-181c-3p"	-2.23696003368283	5.09752028189282	11.6186429875777	0.000652940223464367	0.00152094225894535
"hsa-miR-181c-5p"	0.440082241267153	8.23258182982923	0.345905324770765	0.556440229156579	0.604345679348867
"hsa-miR-181d-5p"	-1.79080239659946	4.67009300593807	3.61308218664607	0.0573267820911712	0.0794500754615669
"hsa-miR-182-5p"	-3.68023196622265	11.1154897580567	3.38142479402323	0.0659350326340446	0.0891209781756867
"hsa-miR-183-3p"	-4.17948675873457	2.06897030668767	3.91120228896998	0.047965271487077	0.0683667704199154
"hsa-miR-183-5p"	-4.44156069007186	9.17192831335332	5.19315673601997	0.0226759911547377	0.0351167390502034
"hsa-miR-184"	-6.34751440015797	4.84863535185388	6.91826190092349	0.00853198634682062	0.0147974704335331
"hsa-miR-185-5p"	-1.09417227861805	6.23337967025032	1.78395560371223	0.181664350321966	0.22627559584407
"hsa-miR-186-5p"	2.17500605375549	13.3302764929182	6.77721981673858	0.00923285900866422	0.0158762169246563
"hsa-miR-187-3p"	-7.00657173523708	4.06972876621382	7.86634282764707	0.00503634107857173	0.00924582018901974
"hsa-miR-188-5p"	-1.9671065989739	3.50507624781658	2.68792865112481	0.101111176032482	0.13336916516885
"hsa-miR-18a-3p"	-1.69743420629787	4.41002066151924	2.25378739928012	0.133287826081311	0.169451189746783
"hsa-miR-18a-5p"	-2.44343893020874	6.75506026387556	5.10111917104944	0.0239104113749827	0.0367622574890359
"hsa-miR-18b-5p"	-6.51362321234948	6.14692271121722	5.70283449789303	0.0169375383512515	0.0270560677558953
"hsa-miR-190a-5p"	-4.36148577851257	4.71293584546088	21.2959591245878	3.935602394645e-06	1.37327402706762e-05
"hsa-miR-190b"	-3.5217727536123	5.17529300751386	4.05929363144587	0.043928871408032	0.0635676609786816
"hsa-miR-191-3p"	-1.02943589443961	2.88576201917674	1.594440362308	0.206692875361857	0.251715085836717
"hsa-miR-191-5p"	1.94606117395577	14.4896670614063	7.74644459485603	0.00538183917628348	0.00977071909495008
"hsa-miR-192-5p"	4.91204760087158	11.8001848761731	33.6323489585154	6.65762711412476e-09	3.76500291971194e-08
"hsa-miR-193a-3p"	-10.1790853346574	9.56695416094573	68.8343267610046	1.0709232558008e-16	8.00077001854698e-15
"hsa-miR-193a-5p"	-1.62820667826798	7.13632718048597	3.55287126152816	0.0594425072507625	0.0816919373390367
"hsa-miR-193b-3p"	-3.98470933772259	7.25798832125223	26.0609801070926	3.3080220688578e-07	1.41111202154683e-06
"hsa-miR-193b-5p"	-2.99124677308837	2.21815073249959	9.32824058564715	0.0022564890803799	0.00464515743743477
"hsa-miR-194-5p"	2.87479514900806	5.89346467749453	14.4837766355252	0.000141371859948311	0.000382170082937191
"hsa-miR-195-5p"	3.12374915777872	6.16857708133831	10.6121499852357	0.00112346982200107	0.00245665401077567
"hsa-miR-196a-5p"	-9.5792884948501	7.86954238506361	7.8683046859417	0.00503087977189593	0.00924582018901974
"hsa-miR-197-3p"	1.79886174331822	9.0161260757792	6.13391246849731	0.0132613089858508	0.021968229027066
"hsa-miR-1976"	6.65214762335656	3.07404277149054	28.3585727874254	1.00799433070478e-07	4.52999195571473e-07
"hsa-miR-199a-3p"	-8.46024801706117	12.6592688536699	56.4466227725179	5.77448187501255e-14	1.5783583791701e-12
"hsa-miR-199a-5p"	-9.65245426745523	11.2243592014323	44.0325237444461	3.22964594850228e-11	2.94316180664552e-10
"hsa-miR-199b-3p"	-8.36857007837742	11.3790396359232	54.3971908220759	1.63796854438257e-13	3.82760759147314e-12
"hsa-miR-199b-5p"	-5.73163267656561	8.45770727441074	18.8210179935555	1.43576187395969e-05	4.64733448676425e-05
"hsa-miR-19a-3p"	-0.903008945310863	8.13972163716706	0.589507777404975	0.442609521280391	0.494653849596659
"hsa-miR-19a-5p"	-3.53847466759821	3.863816326881	2.47687765348066	0.115531400788739	0.150374204201216
"hsa-miR-19b-3p"	0.813393193200384	10.3608973210735	0.582311882131904	0.445407561068657	0.494653849596659
"hsa-miR-200a-3p"	-1.77560469972177	6.33802964049094	0.883755576806895	0.347175116339952	0.39908915242817
"hsa-miR-200a-5p"	-4.66046601337324	3.03301721997578	3.90721987564995	0.0480790702546559	0.0683667704199154
"hsa-miR-200b-3p"	-2.85561989395943	7.43822622820513	2.79175875904447	0.0947501841463894	0.125652535310037
"hsa-miR-200c-3p"	5.71979717863025	4.93833166628943	32.8034847432573	1.01961896897228e-08	5.3941132552082e-08
"hsa-miR-202-5p"	-6.68556516649521	2.74609295246473	5.19151630654323	0.0226974045080583	0.0351167390502034
"hsa-miR-203a-3p"	-9.42344260857928	7.8793342443994	8.02525588259821	0.00461295082316823	0.0085968628977226
"hsa-miR-203a-5p"	-6.46862238592851	2.58729792284273	5.06660419525047	0.0243911205075584	0.0373016180863317
"hsa-miR-204-5p"	-10.373705792769	9.34144910301087	33.5741202441257	6.85993990302038e-09	3.83533003668866e-08
