"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-0.571085515454286	4.80481194374576	0.437210234170347	0.508472039055959	0.927776402353434
"hsa-let-7a-3p"	-0.552434508494557	7.34286154455697	0.474594996330243	0.49088081582391	0.927776402353434
"hsa-let-7a-5p"	-0.464265676723614	15.3487910035836	0.305759654839676	0.580293962671119	0.932182029363024
"hsa-let-7b-3p"	0.204794843995627	7.47875273485593	0.0652819056793371	0.798334441437683	0.955641720538704
"hsa-let-7b-5p"	-0.719946696697003	12.4403372396491	0.605173004688169	0.436611069538904	0.927776402353434
"hsa-let-7c-3p"	-2.99340990008663	3.57255841447986	2.62541115669157	0.105165260571059	0.507246091240584
"hsa-let-7c-5p"	-0.897314763851433	10.1471484432028	0.479595437987427	0.488605623745091	0.927776402353434
"hsa-let-7d-3p"	0.758444925658113	6.96568580079013	0.903271011026312	0.341906144433159	0.856527763889255
"hsa-let-7d-5p"	0.515293647933667	9.57125235442174	0.339276606903409	0.560247076001541	0.932182029363024
"hsa-let-7e-3p"	0.253944741122005	4.3761579279974	0.123623281927238	0.725137495169844	0.942290969659209
"hsa-let-7e-5p"	0.0967905200622342	11.3805006079702	0.0116033635459161	0.914218668878921	0.990054566057481
"hsa-let-7f-1-3p"	-0.703068793282154	5.24903038651229	0.708527730518488	0.399933003350753	0.90825906368442
"hsa-let-7f-2-3p"	-1.73570851835144	5.8809872951445	2.65228531618335	0.103401148034195	0.507246091240584
"hsa-let-7f-5p"	0.12892020302656	14.5545615612512	0.0237324636327685	0.877567596217663	0.990054566057481
"hsa-let-7g-3p"	-1.11115228908344	3.71306185339855	1.26721115194203	0.260290518583824	0.744986485587787
"hsa-let-7g-5p"	-0.43372893966062	11.7553183023467	0.262745939503604	0.608239902757982	0.932182029363024
"hsa-let-7i-3p"	-0.398331106234088	6.05555870880116	0.272761904929519	0.60148505175327	0.932182029363024
"hsa-let-7i-5p"	0.118046691034803	14.1708940028805	0.0204220451924471	0.886364639976058	0.990054566057481
"hsa-miR-1-3p"	-9.73693626249502	5.69479596850065	9.14700161855548	0.00249125963125989	0.278641524878869
"hsa-miR-100-3p"	-0.435543066053256	8.53784630126007	0.20302501209369	0.652290143533361	0.932182029363024
"hsa-miR-100-5p"	0.132505327360919	17.6356530860536	0.0158366040805049	0.89985575212671	0.990054566057481
"hsa-miR-101-3p"	-1.42575377485084	10.8116760898049	1.80470650486487	0.179144541237486	0.628107666474371
"hsa-miR-101-5p"	-3.82271633439549	3.40924602221456	5.48613284810322	0.019167894971461	0.293499226189371
"hsa-miR-103a-3p"	-0.530682204402287	11.9247851411269	0.369481108030211	0.543287244634855	0.932182029363024
"hsa-miR-106a-5p"	-9.62411045566938	7.13550808990691	6.43500491329058	0.0111892848165467	0.292448223485117
"hsa-miR-106b-3p"	1.45837368113251	6.83660340443137	2.68681897316056	0.10118162703715	0.501778272857704
"hsa-miR-106b-5p"	0.590543248463566	7.1974821132966	0.423336977084169	0.515276636686275	0.927776402353434
"hsa-miR-107"	-3.06167174759033	7.868366411039	4.06816780110923	0.0436986487753384	0.337103861981182
"hsa-miR-10a-3p"	-1.15292054810673	4.59342331265706	0.493334523539723	0.482443608542542	0.927776402353434
"hsa-miR-10a-5p"	-0.603538286422624	13.983290476206	0.170815913533033	0.679387695254209	0.932182029363024
"hsa-miR-10b-5p"	-2.27668859489528	13.2491534483388	0.862437627373538	0.353057436836931	0.863276859727479
"hsa-miR-1180-3p"	-0.186025988155337	4.9874058886732	0.0571697240322511	0.81102655968024	0.963582567862372
"hsa-miR-1185-1-3p"	0.797616699612143	6.05798871069886	0.997961137996362	0.317804356223545	0.846848434531351
"hsa-miR-1185-2-3p"	1.28039257801181	3.1902152176306	2.41661260760273	0.12005428355979	0.545293287944468
"hsa-miR-1185-5p"	-0.0901268807199696	5.15969256252609	0.013709436756604	0.906790870476055	0.990054566057481
"hsa-miR-1197"	0.359758981629879	4.70033721881271	0.173347113861474	0.677154093450734	0.932182029363024
"hsa-miR-122-3p"	-7.54668679188289	3.65389387665697	5.42653720291928	0.0198329683378912	0.293499226189371
"hsa-miR-122-5p"	-6.67803363241732	6.82041509174414	4.78690197658063	0.0286769611267642	0.301154862407908
"hsa-miR-1226-3p"	0.635582810338193	2.88517026046279	0.413656479069746	0.520119431124459	0.927776402353434
"hsa-miR-124-3p"	-9.73298115672047	7.0023200947666	7.01846855230251	0.00806732007581576	0.278641524878869
"hsa-miR-124-5p"	-6.89880841623455	3.10991726680198	5.00599926254279	0.0252596175090144	0.296090189624858
"hsa-miR-1247-5p"	5.2162551708798	2.0170304334858	3.9398232884341	0.0471557307515883	0.342055002168238
"hsa-miR-1249-3p"	1.29257014963148	3.9189885429945	3.01619071329087	0.0824368927919577	0.440267361504302
"hsa-miR-125a-3p"	0.0466075677737767	4.77042358402265	0.00418069179930036	0.948446089468341	0.990054566057481
"hsa-miR-125a-5p"	0.433779168025589	12.7482362285312	0.237144259529487	0.62627633218965	0.932182029363024
"hsa-miR-125b-1-3p"	-0.070885763675901	10.6135016154461	0.00702904343694399	0.933184128984067	0.990054566057481
"hsa-miR-125b-2-3p"	-2.09354049049729	8.80132896252489	1.87510737942553	0.170891269512514	0.615208570245052
"hsa-miR-125b-5p"	-0.482119922433497	14.4341949378976	0.256261719099257	0.612700115135179	0.932182029363024
"hsa-miR-126-3p"	-2.32644691973547	8.4678240848112	2.33500411439972	0.12649465624334	0.548896454770206
"hsa-miR-126-5p"	-2.37354034963673	10.0167609179734	2.52613789722304	0.111973980320412	0.528343246948739
"hsa-miR-1260a"	0.223419945112916	4.10479441173691	0.0948044403015982	0.758155916955661	0.943870191178695
"hsa-miR-1260b"	-1.10987644941865	3.07272654913213	1.68586348362875	0.194147151824898	0.650727695082072
"hsa-miR-127-3p"	0.16107101939535	13.9627637949476	0.0331360242740857	0.855556804167128	0.990054566057481
"hsa-miR-127-5p"	-0.155115882570603	6.53472462592474	0.0319383485938012	0.858163034140493	0.990054566057481
"hsa-miR-1271-5p"	0.837161827772202	6.9562225148162	0.392893372802652	0.530782429777245	0.932182029363024
"hsa-miR-1277-5p"	-0.53146225923604	2.77523278224229	0.0920327707235424	0.761608641761172	0.943870191178695
"hsa-miR-128-1-5p"	-1.30034844623564	4.62957680268648	1.32922302846909	0.248943488855344	0.737776857234695
"hsa-miR-128-2-5p"	-3.82859030026634	2.43050339351603	2.04464229379834	0.152742883101935	0.593983180481542
