"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-8.13604832993129	4.15083524603537	40.3601770108752	2.11202410251614e-10	2.32322651276775e-09
"hsa-let-7a-3p"	-3.17455378142073	6.91846137808169	9.9609457923921	0.00159895891388333	0.00398558231736435
"hsa-let-7a-5p"	-0.679279571538203	15.3434309059756	0.796890859529299	0.372024580157064	0.4439727300931
"hsa-let-7b-3p"	-2.9278654981658	6.67275049119333	15.99863987974	6.33880064111989e-05	0.000209636151922004
"hsa-let-7b-5p"	-1.81287901036003	12.1367009600339	4.55154860354345	0.0328889873224923	0.0551053893549043
"hsa-let-7c-3p"	-7.65985261544648	3.68946954491988	7.00744620101065	0.00811713851409367	0.0161703625516984
"hsa-let-7c-5p"	-6.49322448747056	9.84747133474056	17.1653853692705	3.42623009423748e-05	0.00011793689984246
"hsa-let-7d-3p"	-0.152334774593956	6.57113652561969	0.0491225504379926	0.824597195824753	0.855684673789785
"hsa-let-7d-5p"	0.579243702725165	9.67818666668868	0.568948228240927	0.450677165384268	0.518278740191908
"hsa-let-7e-3p"	-4.39003553456811	3.47619063384699	24.1338317196248	8.98675118254189e-07	3.98885622663701e-06
"hsa-let-7e-5p"	-5.52305658182336	10.4174284520347	32.395133003746	1.25801157639676e-08	7.95692322070948e-08
"hsa-let-7f-1-3p"	-2.74267947185654	4.97165613872069	9.62503762517845	0.00191942517667989	0.00466937086250013
"hsa-let-7f-2-3p"	-2.98678447294259	5.94875468360765	5.60089790939499	0.0179512749561429	0.0325567925727896
"hsa-let-7f-5p"	0.923169186901844	15.194552498646	1.34428578976417	0.246279572400262	0.312324470261987
"hsa-let-7g-3p"	0.900571395913844	4.7808573821552	0.987782627123257	0.320284924321079	0.390516076401123
"hsa-let-7g-5p"	3.24906469121599	14.4793146505616	15.1933685756953	9.70436130409125e-05	0.000314769667940396
"hsa-let-7i-3p"	0.148126373221048	6.38359060955111	0.0487542651203636	0.825245298042322	0.855684673789785
"hsa-let-7i-5p"	-1.34163381656161	13.730359350985	3.06599579340116	0.0799461661133508	0.116201425639505
