"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-7.99529952794663	4.0954735339782	26.6575651680669	2.42897875615321e-07	2.20312634549335e-06
"hsa-let-7a-3p"	-2.76215627445197	6.58909225432089	11.7528775205227	0.000607492462485904	0.00175460113466599
"hsa-let-7a-5p"	-0.867008223091961	15.1183165922658	1.12427330821856	0.289000157381712	0.343478347968609
"hsa-let-7b-3p"	-1.39870803150098	6.71882663765654	3.16899822913466	0.0750484651187863	0.102645652027546
"hsa-let-7b-5p"	-1.81411701823801	12.1016050439099	3.75777364427887	0.0525625213624094	0.0752765195134783
"hsa-let-7c-3p"	-6.69011606900606	3.00812743591516	7.63052702026983	0.00573885309251097	0.011367766470606
"hsa-let-7c-5p"	-7.00084811996803	9.05501882959572	26.1874691072831	3.09826526240385e-07	2.62590678797179e-06
"hsa-let-7d-3p"	2.10104803855133	7.81063805976246	6.47711274155122	0.0109272343780066	0.019863866039509
"hsa-let-7d-5p"	1.52794341392457	10.1831682006262	3.05591908380407	0.0804434708630822	0.109734233340933
"hsa-let-7e-3p"	-3.30803677742351	3.43817624672385	11.7086120325737	0.000622115050192694	0.00177698055773272
"hsa-let-7e-5p"	-3.68940602956701	10.3992746165912	13.9779309465166	0.000184969064478084	0.000641805411645432
"hsa-let-7f-1-3p"	-1.56127451834628	4.72698688772873	4.69484411624424	0.0302532430913764	0.0468291217911425
"hsa-let-7f-2-3p"	-3.0518591337004	5.25941515222138	9.40170665719799	0.00216783558026568	0.00502587890133344
"hsa-let-7f-5p"	-0.15039977952312	14.1996568882483	0.038735746707772	0.843973102712574	0.864027909113665
"hsa-let-7g-3p"	-0.782830647309552	3.55226118918082	0.937562801950297	0.332905415788424	0.387639864780665
"hsa-let-7g-5p"	1.36687652441203	12.6472718427009	3.01686612733084	0.0824025610673887	0.112110852820632
"hsa-let-7i-3p"	-0.665257531581936	5.87836516794557	0.661967246098758	0.415866289381313	0.466383669436309
"hsa-let-7i-5p"	-2.22089889226536	13.2286479051867	7.78343168434068	0.0052727543306426	0.0107323385391426
"hsa-miR-1-3p"	-5.5410534481665	5.16414318182231	5.77438863880604	0.0162613758240641	0.0272958808475362
"hsa-miR-100-3p"	-11.7605213422672	7.70439796933521	43.6401256057038	3.94663443012924e-11	2.40981460932516e-09
"hsa-miR-100-5p"	-7.57314950250983	16.3775029535289	32.4927680239791	1.19636905615036e-08	1.93288375634292e-07
"hsa-miR-101-3p"	3.23852815874761	13.3425437293315	11.9234937959787	0.000554304256305896	0.00164698448569051
"hsa-miR-101-5p"	2.53073058067972	5.39077948629088	5.15057803109116	0.0232386360508969	0.037427958997862
"hsa-miR-103a-2-5p"	2.89779241170182	2.75101404425157	7.67213351248199	0.00560801092896253	0.0112215088287576
"hsa-miR-103a-3p"	1.71534527132316	13.0246675259448	4.79510004075547	0.0285407990807544	0.0444445576046687
