"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	4.8959819812557	0	1	1
"hsa-let-7a-3p"	0	7.49722408534532	0	1	1
"hsa-let-7a-5p"	0	15.442491084724	0	1	1
"hsa-let-7b-3p"	0	7.25851243272893	0	1	1
"hsa-let-7b-5p"	0	12.5855382436483	0	1	1
"hsa-let-7c-3p"	0	4.26557426139297	0	1	1
"hsa-let-7c-5p"	0	10.4578311438765	0	1	1
"hsa-let-7d-3p"	0	6.41588296403648	0	1	1
"hsa-let-7d-5p"	0	9.16094760139522	0	1	1
"hsa-let-7e-3p"	0	4.11855605990945	0	1	1
"hsa-let-7e-5p"	0	11.1996939063646	0	1	1
"hsa-let-7f-1-3p"	0	5.45761986727437	0	1	1
"hsa-let-7f-2-3p"	0	6.41784198372099	0	1	1
"hsa-let-7f-5p"	0	14.3938304733755	0	1	1
"hsa-let-7g-3p"	0	4.02451486832629	0	1	1
"hsa-let-7g-5p"	0	11.850882271965	0	1	1
"hsa-let-7i-3p"	0	6.1073458241638	0	1	1
"hsa-let-7i-5p"	0	14.0080691594561	0	1	1
"hsa-miR-1-3p"	0	6.61983070147399	0	1	1
"hsa-miR-100-3p"	0	8.60944439090144	0	1	1
"hsa-miR-100-5p"	0	17.5239870507723	0	1	1
"hsa-miR-101-3p"	0	11.2831562074858	0	1	1
"hsa-miR-101-5p"	0	4.15194869601483	0	1	1
"hsa-miR-103a-3p"	0	12.0638922860249	0	1	1
"hsa-miR-106a-5p"	0	8.07171629230295	0	1	1
"hsa-miR-106b-3p"	0	5.8235915829756	0	1	1
"hsa-miR-106b-5p"	0	6.76061380594567	0	1	1
"hsa-miR-107"	0	8.64255732719386	0	1	1
"hsa-miR-10a-3p"	0	4.9798147946725	0	1	1
"hsa-miR-10a-5p"	0	14.1989045750565	0	1	1
"hsa-miR-10b-5p"	0	13.9229890220134	0	1	1
"hsa-miR-1180-3p"	0	4.93808181716341	0	1	1
"hsa-miR-1185-1-3p"	0	5.50589814619191	0	1	1
"hsa-miR-1185-5p"	0	5.08950826826004	0	1	1
"hsa-miR-1197"	0	4.37639849045924	0	1	1
"hsa-miR-122-3p"	0	4.50951132863622	0	1	1
"hsa-miR-122-5p"	0	7.7427835601189	0	1	1
"hsa-miR-124-3p"	0	7.93791755251103	0	1	1
"hsa-miR-124-5p"	0	3.91840837588717	0	1	1
"hsa-miR-1249-3p"	0	3.12019495785936	0	1	1
"hsa-miR-125a-3p"	0	4.62765625807157	0	1	1
"hsa-miR-125a-5p"	0	12.4231819004093	0	1	1
"hsa-miR-125b-1-3p"	0	10.5458664606814	0	1	1
"hsa-miR-125b-2-3p"	0	9.43710154654507	0	1	1
"hsa-miR-125b-5p"	0	14.5943415045471	0	1	1
"hsa-miR-126-3p"	0	9.14395759041302	0	1	1
"hsa-miR-126-5p"	0	10.699865553524	0	1	1
"hsa-miR-1260a"	0	3.91738604686745	0	1	1
"hsa-miR-1260b"	0	3.37208352050021	0	1	1
"hsa-miR-127-3p"	0	13.7550771305686	0	1	1
"hsa-miR-127-5p"	0	6.46135804619656	0	1	1
"hsa-miR-1271-5p"	0	6.4536968782284	0	1	1
"hsa-miR-1277-5p"	0	2.79552155455526	0	1	1
"hsa-miR-128-1-5p"	0	5.0529153243559	0	1	1
"hsa-miR-128-2-5p"	0	3.07138441618763	0	1	1
"hsa-miR-128-3p"	0	11.6617364769308	0	1	1
"hsa-miR-1285-3p"	0	4.39161376352959	0	1	1
"hsa-miR-129-2-3p"	0	4.7927330888841	0	1	1
"hsa-miR-129-5p"	0	4.44162920596058	0	1	1
"hsa-miR-1296-5p"	0	5.80119263111474	0	1	1
"hsa-miR-1301-3p"	0	4.31400130937332	0	1	1
"hsa-miR-1304-3p"	0	5.18902103742322	0	1	1
"hsa-miR-1306-5p"	0	3.21770553273413	0	1	1
"hsa-miR-1307-3p"	0	7.0788678423134	0	1	1
"hsa-miR-1307-5p"	0	9.02970518889753	0	1	1
"hsa-miR-130a-3p"	0	11.547259738428	0	1	1
"hsa-miR-130b-3p"	0	9.62511891459812	0	1	1
"hsa-miR-130b-5p"	0	7.87909966422144	0	1	1
"hsa-miR-132-3p"	0	6.70737652329196	0	1	1
"hsa-miR-132-5p"	0	6.1156788236592	0	1	1
"hsa-miR-133a-3p"	0	10.941347787552	0	1	1
"hsa-miR-133a-5p"	0	4.02500772327845	0	1	1
"hsa-miR-134-5p"	0	6.98413902640509	0	1	1
"hsa-miR-135a-5p"	0	6.19081460785442	0	1	1
"hsa-miR-136-3p"	0	9.98421534905243	0	1	1
"hsa-miR-136-5p"	0	6.96822238256816	0	1	1
"hsa-miR-137"	0	7.34637999610128	0	1	1
"hsa-miR-138-2-3p"	0	2.94904095313322	0	1	1
"hsa-miR-138-5p"	0	10.6588135511652	0	1	1
"hsa-miR-139-5p"	0	5.27319156987888	3.5527136788005e-15	0.999999952442374	1
"hsa-miR-140-3p"	0	12.7966606200082	0	1	1
"hsa-miR-140-5p"	0	8.02442238417346	0	1	1
"hsa-miR-142-3p"	0	4.4256014123005	0	1	1
"hsa-miR-142-5p"	0	6.8262269364938	0	1	1
"hsa-miR-143-3p"	0	15.5961214197024	0	1	1
"hsa-miR-143-5p"	0	6.45400530531481	0	1	1
"hsa-miR-144-3p"	0	6.39199428646363	0	1	1
"hsa-miR-144-5p"	0	4.79481636623437	0	1	1
"hsa-miR-145-3p"	0	8.24826712626654	0	1	1
"hsa-miR-145-5p"	0	10.8095300600236	0	1	1
"hsa-miR-1468-5p"	0	3.54626376318858	0	1	1
"hsa-miR-146a-3p"	0	5.10678165263368	0	1	1
"hsa-miR-146a-5p"	0	11.8442469435107	0	1	1
"hsa-miR-146b-5p"	0	6.27517678603509	0	1	1
"hsa-miR-147b"	0	3.21836716232184	0	1	1
"hsa-miR-148a-3p"	0	13.4866515261915	1.81898940354586e-12	0.999998923893769	1
"hsa-miR-148a-5p"	0	7.71613261075583	0	1	1
"hsa-miR-148b-3p"	0	10.9886376883403	0	1	1
"hsa-miR-148b-5p"	0	6.58908872466006	0	1	1
"hsa-miR-149-5p"	0	7.2181478327385	0	1	1
"hsa-miR-150-5p"	0	5.16063558424383	0	1	1
"hsa-miR-151a-3p"	0	11.9959504872657	0	1	1
"hsa-miR-151a-5p"	0	12.2747417229212	0	1	1
"hsa-miR-151b"	0	3.38585584439171	0	1	1
"hsa-miR-152-3p"	0	8.6483166868383	0	1	1
"hsa-miR-152-5p"	0	6.15508001540941	0	1	1
"hsa-miR-153-3p"	0	7.84938262894128	0	1	1
"hsa-miR-153-5p"	0	3.22188717444444	0	1	1
"hsa-miR-154-5p"	0	3.95176962337926	0	1	1
"hsa-miR-155-5p"	0	10.2247014111671	0	1	1
"hsa-miR-15a-5p"	0	10.1807681332334	0	1	1
"hsa-miR-15b-3p"	0	4.70306456788332	0	1	1
