"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.244118120393054	3.82830875560204	0.0189052235265414	0.890638542973394	0.987995876059832
"hsa-let-7a-3p"	-0.0469908258414828	5.87791154076692	0.00138379786800691	0.970325990138851	0.987995876059832
"hsa-let-7a-5p"	0.425891480122528	15.489166273329	0.146336898754498	0.702060819394893	0.987995876059832
"hsa-let-7b-3p"	0.251168984641826	7.13019053016302	0.0466943474255856	0.828918569576045	0.987995876059832
"hsa-let-7b-5p"	0.878127622679683	12.6527207987473	0.587226174077841	0.443493748959079	0.987995876059832
"hsa-let-7c-5p"	-0.775543320591044	10.5577705528574	0.316066561883247	0.573981141694352	0.987995876059832
"hsa-let-7d-3p"	-0.146862508916217	7.34738520117553	0.0155941039924854	0.900621437942132	0.987995876059832
"hsa-let-7d-5p"	0.0316205429513547	10.1456402985637	0.000767606709018764	0.977896864603067	0.987995876059832
"hsa-let-7e-3p"	0.688706547489741	3.62809610511181	0.166166816327918	0.683541193441131	0.987995876059832
"hsa-let-7e-5p"	0.304786597677669	11.5463322115236	0.0676079766952853	0.794851941358678	0.987995876059832
"hsa-let-7f-1-3p"	-0.130425910109795	4.37079138390423	0.00991027266986766	0.920701310952782	0.987995876059832
"hsa-let-7f-2-3p"	-2.03736734204216	4.5250802500322	1.16630162723512	0.280162461696807	0.987995876059832
"hsa-let-7f-5p"	-0.732560522637026	14.964651914854	0.485227773589713	0.48606384375906	0.987995876059832
"hsa-let-7g-3p"	-1.26986608108308	3.36333300620356	0.71699876104467	0.397130137938026	0.987995876059832
"hsa-let-7g-5p"	-0.0374563827186203	12.0448270575817	0.0011741831173353	0.972664753549357	0.987995876059832
"hsa-let-7i-3p"	-0.214589220600533	5.91169312748226	0.0331810473508956	0.855459787286876	0.987995876059832
"hsa-let-7i-5p"	-0.455805281658585	14.4439389981563	0.187831417602411	0.664727671800413	0.987995876059832
"hsa-miR-100-3p"	-0.422302934203174	7.18720305368862	0.121660540997375	0.727240430970759	0.987995876059832
"hsa-miR-100-5p"	0.773716224699967	17.9470901996388	0.438317787433334	0.507935507178742	0.987995876059832
"hsa-miR-101-3p"	0.447555299019337	10.9295836936402	0.113914900452016	0.735730353158263	0.987995876059832
"hsa-miR-103a-3p"	-0.131619854591774	11.6128698782678	0.014453774505057	0.904305823925757	0.987995876059832
"hsa-miR-106b-3p"	-0.728936779878702	7.9091455013065	0.407075640788658	0.523457538869935	0.987995876059832
"hsa-miR-106b-5p"	-0.766509892239629	7.52512141575427	0.35293842260068	0.552454454994445	0.987995876059832
"hsa-miR-107"	1.14790315009647	7.45556426101864	0.616074531232478	0.432509766233527	0.987995876059832
"hsa-miR-10a-3p"	3.69777571615178	4.14037425027412	2.27915227120876	0.13112352699877	0.987995876059832
"hsa-miR-10a-5p"	3.74554814002865	14.4161945299572	6.04632570793456	0.0139352656757875	0.377071894756602
"hsa-miR-10b-5p"	-0.476751702601884	13.8001520853102	0.06944658834027	0.792144256982195	0.987995876059832
"hsa-miR-1180-3p"	-0.324654097668604	4.44149919786551	0.0379791324402614	0.845485047715074	0.987995876059832
"hsa-miR-1185-1-3p"	-0.872857340672249	5.30530719658736	0.262828167863907	0.608183789403595	0.987995876059832
"hsa-miR-1185-2-3p"	-0.703636897763548	2.89719988880016	0.148398025530875	0.70007098714185	0.987995876059832
"hsa-miR-1185-5p"	-0.982070407548862	4.62533241961348	0.318186387056818	0.57269960372697	0.987995876059832
"hsa-miR-1197"	-0.245249047652987	4.14432501409402	0.017408067966957	0.895032036408294	0.987995876059832
"hsa-miR-122-5p"	5.22176938503031	2.15868361408726	3.97094080680628	0.0462919014364515	0.575520936777505
"hsa-miR-1226-3p"	0.995480703323162	3.57023566432044	0.395951845956035	0.529187332663755	0.987995876059832
"hsa-miR-1233-3p"	1.63888195861114	2.31581047310081	0.576625546536681	0.447638046967327	0.987995876059832
"hsa-miR-1249-3p"	-2.46211452476182	5.44905439766899	2.5129992090849	0.112910859075001	0.911210441657901
"hsa-miR-1257"	2.71028941525334	2.97246239671664	1.68464786714071	0.194308003337826	0.987995876059832
"hsa-miR-125a-3p"	0.428826874911264	4.71442423377173	0.0993350373347806	0.752629079108263	0.987995876059832
"hsa-miR-125a-5p"	0.788155644098871	13.2921130373216	0.439537929111452	0.507345561636365	0.987995876059832
"hsa-miR-125b-1-3p"	-0.456879946216867	10.9872782438298	0.162995812026224	0.686413189848888	0.987995876059832
"hsa-miR-125b-2-3p"	1.18592679688863	7.09280584886092	0.746055896522941	0.387727837487036	0.987995876059832
"hsa-miR-125b-5p"	0.883916726623745	15.2438316802594	0.571574938820959	0.449633755538489	0.987995876059832
"hsa-miR-126-3p"	4.12683685092816	8.51715790297612	3.26394842167053	0.0708184141183633	0.721548932711385
"hsa-miR-126-5p"	3.46455757441152	9.74899733997385	3.62467995597632	0.0569285205029634	0.609002777473562
"hsa-miR-1260a"	-0.411740809129267	5.01828965058376	0.105400370913395	0.745442776679023	0.987995876059832
"hsa-miR-1260b"	0.351339036675669	4.2714219840454	0.0690591444701933	0.792711621744497	0.987995876059832
"hsa-miR-1262"	-0.981983307873493	2.93870856068334	0.406914832964603	0.523539582466036	0.987995876059832
"hsa-miR-1269b"	4.92487517469722	2.03770356030421	2.91677656779025	0.0876628233106511	0.775478821594221
"hsa-miR-127-3p"	-0.639811955652749	14.4160563844836	0.214832386323906	0.643005909462518	0.987995876059832
"hsa-miR-127-5p"	-1.55871425036718	6.35047457810298	1.13594831963709	0.286510098736174	0.987995876059832
"hsa-miR-1271-3p"	0.541181988041803	3.19325796638609	0.0616224252602855	0.80394976690646	0.987995876059832
"hsa-miR-1271-5p"	1.1451899879964	7.77159862051969	0.596832115943073	0.439789276404725	0.987995876059832
"hsa-miR-128-1-5p"	-1.04265978131978	3.87889468416601	0.570826076040901	0.449930842395954	0.987995876059832
"hsa-miR-128-3p"	-0.0953277177572612	9.59142633651433	0.007072266349887	0.932979494485697	0.987995876059832
"hsa-miR-1285-3p"	1.90651567939884	3.14925703243885	0.496734824042204	0.480938336324644	0.987995876059832
"hsa-miR-1296-5p"	0.511134770300249	5.10021196068482	0.159906760539837	0.689242374563322	0.987995876059832
"hsa-miR-1301-3p"	1.09270085025216	5.59649342654165	0.61051092029777	0.43459550446278	0.987995876059832
"hsa-miR-1304-3p"	0.456052100685455	5.78023123075458	0.110433268478167	0.739651404023333	0.987995876059832
"hsa-miR-1306-3p"	5.18718316739644	2.14052357756964	4.25363153999248	0.0391664919266791	0.545957160190072
"hsa-miR-1306-5p"	1.55621539535835	4.17119511100357	0.622612898457236	0.43007797068582	0.987995876059832
"hsa-miR-1307-3p"	0.452047254441261	7.44845663148746	0.150486225324116	0.698071136393329	0.987995876059832
"hsa-miR-1307-5p"	0.130534565992427	9.33393179748968	0.0119769536131571	0.912854088574159	0.987995876059832
"hsa-miR-130a-3p"	-0.410752421217227	10.2323532508039	0.125856090649954	0.72276788384834	0.987995876059832
"hsa-miR-130b-3p"	-0.420422309108817	9.65191519791526	0.130348658762557	0.718070811177262	0.987995876059832
"hsa-miR-130b-5p"	-0.455465637566358	8.42651649154464	0.155937640161527	0.69292451137308	0.987995876059832
"hsa-miR-132-3p"	-0.293390789273904	6.83710428603706	0.0443518207904319	0.833200411343807	0.987995876059832
"hsa-miR-132-5p"	0.797312847531862	4.31530843893903	0.341919216338614	0.558723503260031	0.987995876059832
"hsa-miR-133a-3p"	0.641740211709634	2.75509753138121	0.0867076976428329	0.768405119360492	0.987995876059832
"hsa-miR-134-3p"	-1.48364970098543	2.52972616258146	0.533800316996676	0.465013494818436	0.987995876059832
"hsa-miR-134-5p"	-0.608941468973295	7.06629328123182	0.205519954186848	0.650301711621943	0.987995876059832
"hsa-miR-1343-3p"	3.11322395418125	4.90944686865859	3.12017799834648	0.0773283361912075	0.729402793215992
"hsa-miR-136-3p"	-0.99129312054003	9.24195272654917	0.422372645793061	0.515755508224856	0.987995876059832
"hsa-miR-136-5p"	-1.90536062104085	7.36332783288791	2.04746572401583	0.152459787128834	0.987995876059832
"hsa-miR-137"	-1.65193835271779	4.57836696170332	0.981115387530219	0.321923590014781	0.987995876059832
"hsa-miR-138-5p"	2.03211743494456	8.00480264361957	1.10406053087856	0.293376711350061	0.987995876059832
"hsa-miR-140-3p"	0.809726947651907	11.0076636062672	0.39678595213644	0.528753810519488	0.987995876059832
"hsa-miR-140-5p"	-0.565028869272996	5.43683956541577	0.179869484085953	0.671485427841263	0.987995876059832
"hsa-miR-142-3p"	-14.7281981061931	10.3274480001113	23.2713483891754	1.40680175282709e-06	0.000647128806300463
"hsa-miR-142-5p"	-11.1628015157145	12.2501531029671	20.5613638538344	5.7749947780157e-06	0.00132824879894361
"hsa-miR-143-3p"	-0.542294496315783	13.3932235508666	0.209783631623282	0.646937044171268	0.987995876059832
"hsa-miR-143-5p"	-1.08011978436941	4.69774602172601	0.612359253675397	0.433900889808477	0.987995876059832
"hsa-miR-145-3p"	-0.42454422197163	5.65657900299702	0.0929873043194771	0.760413222925538	0.987995876059832
"hsa-miR-145-5p"	0.150771348323847	6.43069297240452	0.0150286852232213	0.902430555485689	0.987995876059832
