"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0.632752716631397	3.94885673159957	0.565133195976131	0.452199361981289	0.596189158822699
"hsa-let-7a-3p"	1.21573673373479	7.01346150245976	3.76158490565532	0.052442847437812	0.121077726112183
"hsa-let-7a-5p"	-0.0876290321024765	15.4712495797223	0.0291852242698951	0.864352064491541	0.908799215746381
"hsa-let-7b-3p"	0.176278693708965	7.18861321206025	0.163212798194351	0.686215633140679	0.774134364656114
"hsa-let-7b-5p"	0.0655811786601158	12.4133750595145	0.0139065290906046	0.906126333573121	0.932175139877072
"hsa-let-7c-3p"	6.4084023669364	3.30571322334831	18.4066124716676	1.78437685530321e-05	0.000168674114057907
"hsa-let-7c-5p"	0.136472268483632	10.8486211016735	0.0385518121996711	0.844339238692731	0.894321265507523
"hsa-let-7d-3p"	0.373664881541253	7.67734643049783	0.713771054157803	0.398194748729588	0.539177213820334
"hsa-let-7d-5p"	0.257142053653209	10.4369086896235	0.36627910163379	0.545039495516379	0.677237903345415
"hsa-let-7e-3p"	1.56121227010431	4.87037823192172	3.50655835703855	0.0611263129736619	0.133748706282718
"hsa-let-7e-5p"	0.260205701144057	11.9433979100699	0.193675755629322	0.659874765154721	0.757758998909618
"hsa-let-7f-1-3p"	1.00782476239363	5.23168125184787	4.52105470071466	0.0334801859286392	0.0830374908428131
"hsa-let-7f-2-3p"	0.286023704482395	5.30452959891138	0.0885199037003179	0.766067291936113	0.83616495263615
"hsa-let-7f-5p"	-0.665596986596278	14.9240086430314	3.10472899629113	0.0780652224863429	0.159635414145542
"hsa-let-7g-3p"	-0.314097079547807	3.67653033793118	0.262981727090984	0.608079028912559	0.720207076797144
"hsa-let-7g-5p"	0.17846132582387	12.3729685919346	0.162431325980265	0.686927847899722	0.774134364656114
"hsa-let-7i-3p"	-0.287693787746812	5.8972638570726	0.374218009098959	0.540714021250926	0.673874936932124
"hsa-let-7i-5p"	-0.776628349450086	14.2692357721653	3.50633275939009	0.0611346382010826	0.133748706282718
"hsa-miR-100-3p"	0.347079906069684	7.9723653398312	0.474567756764701	0.490893258129396	0.626267969514192
"hsa-miR-100-5p"	-0.453308004661955	17.2623837256089	0.383434371935437	0.535770925582628	0.66937963520423
"hsa-miR-101-3p"	0.291848958106164	10.9927347725897	0.476010287008881	0.490235072227107	0.626267969514192
"hsa-miR-101-5p"	1.45260479687927	3.30379620431001	3.05015936638531	0.0807292209051218	0.163086047070428
"hsa-miR-103a-3p"	0.512989461169929	12.3155643921849	1.38461022005304	0.239317417444334	0.378794239396441
"hsa-miR-106b-3p"	-0.392402148641531	7.97931411134228	0.871131927261883	0.350642133854225	0.496247765708946
"hsa-miR-106b-5p"	0.54553329608099	8.29928221537434	1.1294289175009	0.287897184584673	0.437583411908862
"hsa-miR-107"	-1.58076499338685	5.96755570900434	6.08946670980552	0.0135990126653383	0.0407970379960149
"hsa-miR-10a-3p"	3.9582421936972	4.58015174608035	7.52569717967571	0.00608250105636733	0.0210160898568278
"hsa-miR-10a-5p"	3.43246504471404	14.3702098256059	12.3548807381914	0.00043983508642331	0.00224854467651101
"hsa-miR-10b-3p"	-0.257029549554217	2.58975154105801	0.0275857257524699	0.868086508310915	0.908799215746381
"hsa-miR-10b-5p"	0.118636400333758	13.8874225628212	0.00334673901843985	0.953867308416461	0.961544308886613
"hsa-miR-1180-3p"	0.612001239445734	5.35433227515955	1.37893615697711	0.240282441621841	0.378794239396441
"hsa-miR-1185-1-3p"	-1.09292447425008	4.92417917455678	2.21367591387124	0.13679238057432	0.247411489775214
"hsa-miR-1185-5p"	-2.05560499799906	3.90135838819001	5.7132337912994	0.0168374951785503	0.0476586727935238
"hsa-miR-1197"	-0.723046878540563	3.81207666047647	0.704701815048317	0.401208311935441	0.540337000751763
"hsa-miR-1226-3p"	0.474928353872684	3.40411896728635	0.489917929038956	0.483963916702449	0.626267969514192
