"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.44021585603192	2.58815692261256	8.18278440458369	0.00422897977389381	0.0117203153733628
"hsa-let-7a-3p"	-0.323718213460672	5.87434458180626	0.16590401516109	0.683777994093027	0.765894519942536
"hsa-let-7a-5p"	-0.79626092943719	15.1422345372578	0.86139950976758	0.353347344904216	0.474718732073531
"hsa-let-7b-3p"	-2.22171036486366	6.2198299181489	8.26215821129811	0.00404799758700246	0.0112832116649206
"hsa-let-7b-5p"	-1.26408355616946	11.7674020984833	2.29615109586692	0.12969502794101	0.21322741881827
"hsa-let-7c-5p"	-5.14613871783946	9.63391153062109	16.6107138582184	4.58910503444475e-05	0.00018394346625667
"hsa-let-7d-3p"	1.297003817828	8.3787225260567	2.42319326666374	0.119551008168224	0.199938755039961
"hsa-let-7d-5p"	1.09405714758785	11.0451881343755	1.82061561288849	0.177240016139862	0.273762445311571
"hsa-let-7e-3p"	0.667471602239392	4.02879201443045	0.203944480633661	0.651555637820927	0.741794564185797
"hsa-let-7e-5p"	-0.143326438499961	11.6566960256781	0.0242145243565801	0.876340309750357	0.917980670040871
"hsa-let-7f-1-3p"	0.454687255642163	4.7769017819532	0.242250158550331	0.622585634511717	0.717301715821125
"hsa-let-7f-2-3p"	-0.721805434011948	4.87195219432178	0.225764134787789	0.634682603135203	0.724284852989584
"hsa-let-7f-5p"	-0.296748108273904	15.3489788149279	0.155453381440111	0.693377451468146	0.77485729023514
"hsa-let-7g-3p"	0.0226403194675922	3.99597958675038	0.000524461915974328	0.981729136224675	0.989893203885587
"hsa-let-7g-5p"	1.00590961927332	12.9669549960889	1.55653491824572	0.21217329694996	0.317915363078902
"hsa-let-7i-3p"	-0.0394861672599286	6.17507239784407	0.00199582452938252	0.964366638310893	0.978489162302894
"hsa-let-7i-5p"	-1.01365025691071	14.4061076745714	1.79663591212568	0.180119729347913	0.277327202329326
"hsa-miR-100-3p"	-10.7700008470437	6.41663332357516	51.2603833542781	8.08917364170516e-13	1.783295098285e-11
"hsa-miR-100-5p"	-10.5324248187387	16.3543494456523	96.290131467475	9.92233833422846e-23	4.8123340921008e-20
"hsa-miR-101-3p"	0.598882840571857	11.2093013377086	0.559491036843156	0.454465384252742	0.561031885227283
"hsa-miR-101-5p"	1.8484681877784	3.4643001444465	1.59520854444239	0.206583553730295	0.312127799249823
"hsa-miR-103a-3p"	1.21902900241675	12.7799883353583	2.2571470294402	0.132998881255619	0.215733971267475
"hsa-miR-106b-3p"	-1.57110630328035	7.6606281098118	4.03762330929647	0.044496445502504	0.0873715630312325
"hsa-miR-106b-5p"	-0.451849978746839	7.70806347924916	0.2784172684668	0.597740476324148	0.695213743446551
"hsa-miR-107"	-1.69681815744297	6.32750562788738	2.85025578182587	0.0913594005606097	0.157846309390794
