"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.3216469599951	2.53140747477399	6.1954748049569	0.0128077359202737	0.0262639647985359
"hsa-let-7a-3p"	-1.03210241558682	5.35034024326009	1.53365071124652	0.215565363920811	0.293458730715726
"hsa-let-7a-5p"	-0.0474757980103984	15.2749167958	0.00335563569024089	0.95380610006594	0.957747447586874
"hsa-let-7b-3p"	-2.07599722242425	6.06113556192	11.4207508328482	0.000726283384289126	0.00181945218950781
"hsa-let-7b-5p"	-0.868924231771747	11.6764999802174	1.22757542766118	0.267879078333078	0.34997105395128
"hsa-let-7c-5p"	-6.16976867463393	9.47862579849227	25.3479834589356	4.78652506427666e-07	2.52853389265049e-06
"hsa-let-7d-3p"	-0.577990311424822	6.99803322098951	0.670243558612363	0.412966704315233	0.490713492169201
"hsa-let-7d-5p"	0.130986316281379	10.1679752306389	0.0408002281985134	0.839924023082156	0.870369030315411
"hsa-let-7e-3p"	-3.09269419612851	2.57343802480614	2.4000597334952	0.121330617385084	0.179230030544532
"hsa-let-7e-5p"	-5.32546399754822	10.1998437240234	30.3759922381536	3.55905837419306e-08	2.08397875886485e-07
"hsa-let-7f-1-3p"	-1.01899845135014	3.8817192977673	1.80413543219735	0.179213344253703	0.249563568215758
"hsa-let-7f-2-3p"	-1.09594201174598	4.61399517787387	0.426102702607968	0.513907515468771	0.582188933607978
"hsa-let-7f-5p"	0.551698315231859	15.6690366295921	0.653442377962165	0.418884621669086	0.492924760608174
"hsa-let-7g-3p"	1.6914611540714	4.9387439233727	4.89580653847281	0.0269219952648779	0.0482807737960541
"hsa-let-7g-5p"	3.55917950463157	14.9619531144521	18.4881642425663	1.70962703621692e-05	6.75511170407661e-05
"hsa-let-7i-3p"	0.738273734317311	6.4700058643773	1.41444272420287	0.23432027359271	0.31285618946719
"hsa-let-7i-5p"	-1.51445352330553	13.9868249999833	5.20294926372344	0.0225485991110967	0.0412542738060494
"hsa-miR-1-3p"	5.89006647577877	2.6084839290892	8.96601603056751	0.00275047697893266	0.00648898937748191
"hsa-miR-100-3p"	-10.5160642196995	6.17821405502636	53.0791917469206	3.20368304460788e-13	5.86141797846843e-12
"hsa-miR-100-5p"	-10.7008624215691	16.1235980669875	46.9885103065403	7.14040770175699e-12	9.91496612301113e-11
"hsa-miR-101-3p"	4.30311275134211	14.2232315720601	22.1101639496195	2.57443055999235e-06	1.16932079640774e-05
"hsa-miR-101-5p"	4.15277431044713	5.25874980071346	13.3420086248051	0.000259526216015395	0.000733312447578384
"hsa-miR-103a-3p"	1.25708447140133	12.5775305652126	2.97310499442983	0.0846592190930537	0.133585650906572
"hsa-miR-106a-5p"	7.65347336554974	5.02827607826647	33.0293525398703	9.07779774723998e-09	6.12751347938698e-08
"hsa-miR-106b-3p"	0.860605634896942	8.77812195403829	1.5116729941074	0.218883979703243	0.29714417356362
"hsa-miR-106b-5p"	0.948051321398651	8.43379368222504	1.44414103097076	0.229470405382686	0.308502601740443
"hsa-miR-107"	-2.11960653407923	5.93711914308625	4.65227126039279	0.0310124877111389	0.0545277234815855
"hsa-miR-10a-5p"	2.00219117576494	12.6674284771483	3.43462113810023	0.0638432264951644	0.104470734264814
"hsa-miR-10b-5p"	-7.62975105596153	12.5337448580935	17.7502893933465	2.51879175547578e-05	9.00097642030316e-05
"hsa-miR-1180-3p"	-5.05150257209279	3.55866061195254	17.9356645955187	2.28498925211031e-05	8.28734907854935e-05
"hsa-miR-1185-1-3p"	-8.64651129956011	4.40858191805972	36.3667389823877	1.63469212374755e-09	1.25488238758832e-08
"hsa-miR-1185-5p"	-8.04565451087337	3.87403914001471	36.3455983205123	1.65252001657721e-09	1.25488238758832e-08
"hsa-miR-1197"	-7.12740856949712	3.11517490491279	24.3842323213575	7.8911934520637e-07	3.99491668510725e-06
"hsa-miR-1248"	6.75904907409281	3.26681267736371	17.9632011854771	2.2521699853997e-05	8.26983212350333e-05
"hsa-miR-1249-3p"	-2.58926976759708	5.22428317749718	4.23909616177204	0.0395031919693065	0.0680799691385921
"hsa-miR-1255a"	1.5409274585181	2.35623157314042	0.506010769297642	0.476870881598447	0.549192531888259
"hsa-miR-125a-3p"	-2.46753119494825	3.70326293012433	5.61842431133089	0.017772620396405	0.0344123247516049
"hsa-miR-125a-5p"	-0.558399153263185	12.5543537322793	0.476534856790636	0.489996090719172	0.560324941387101
"hsa-miR-125b-1-3p"	-14.3774251605742	10.0026888334154	77.6939028088603	1.20312162345834e-18	1.05773524780409e-16
"hsa-miR-125b-2-3p"	-4.08289874590514	5.13495812498656	18.6062027086299	1.60696844598385e-05	6.40153003891927e-05
