"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	-6.17999294747861	2.4417702084535	6.88070058220957	0.00871314037570712	0.016769337627849
"hsa-let-7a-3p"	-0.921965431391579	5.22198076499889	2.35910788195711	0.124553400132875	0.17308996866603
"hsa-let-7a-5p"	-0.379846436856134	14.8924862354302	0.243188198041935	0.621912853723336	0.668797636487401
"hsa-let-7b-3p"	-0.782166800253916	6.33606989062089	1.81186560950716	0.178284594442445	0.225299253026606
"hsa-let-7b-5p"	-0.905251067164983	11.4666125895718	1.4845608267679	0.223062299776476	0.275982692325487
"hsa-let-7c-5p"	-7.44822115768936	9.29109301105062	33.9107608837951	5.76986892917585e-09	5.95401368223466e-08
"hsa-let-7d-3p"	1.4877260834393	8.18419296852524	3.84371821489939	0.0499326740204084	0.0766371737338547
"hsa-let-7d-5p"	0.959231733269041	10.549624303507	1.89478336127019	0.168663391040056	0.217557831527732
"hsa-let-7e-3p"	-2.10592716642569	2.58193780253003	1.81285484613846	0.178166143373467	0.225299253026606
"hsa-let-7e-5p"	-3.56028421551202	10.122845138048	16.2104043161285	5.66819528229104e-05	0.000194453879234673
"hsa-let-7f-1-3p"	-0.285390884096017	4.03739057265833	0.144045042036058	0.70429235406764	0.739584664482025
"hsa-let-7f-2-3p"	-1.80667896624655	4.23569277650049	1.34625080622088	0.245934626826261	0.301207813158426
"hsa-let-7f-5p"	-0.896855913221904	14.6592446587359	1.72047964652529	0.189631315634265	0.237039144542832
"hsa-let-7g-3p"	-0.473949473554915	3.44528102344575	0.377214032235875	0.539098023342835	0.594233048457443
"hsa-let-7g-5p"	1.41062653090047	12.8691253401392	3.91794573239483	0.0477732229801753	0.0740256011034665
"hsa-let-7i-3p"	-0.200237372958127	5.70321515867637	0.0969362265194551	0.755537729251455	0.786342915637244
"hsa-let-7i-5p"	-2.67502220484256	13.4939588665032	15.4219893822651	8.59819294555653e-05	0.000287266691297003
"hsa-miR-100-3p"	-10.3492610166709	5.99622637648355	58.3581479178405	2.18489885443614e-14	8.15135341847328e-13
"hsa-miR-100-5p"	-7.35245142879971	15.9463183061928	61.4930157440363	4.44316444672147e-15	2.15493475665991e-13
"hsa-miR-101-3p"	3.88105838750229	13.6314825035807	23.3060470755901	1.38164932077205e-06	7.05368337446782e-06
"hsa-miR-101-5p"	4.65298810346738	5.5555701353254	19.0334358054599	1.28447899431322e-05	5.41715054123403e-05
"hsa-miR-103a-2-5p"	1.76839301114348	3.07760257941392	3.14117961517805	0.0763385778842715	0.110520030668274
"hsa-miR-103a-3p"	2.23602219138245	13.2028622306401	8.95357110085797	0.00276927706956602	0.00596933057217565
"hsa-miR-106b-3p"	0.997856486017952	8.69901934907338	1.96940669459444	0.160510852067575	0.20983224596435
"hsa-miR-106b-5p"	1.97785882691588	9.08061574339271	5.5122667546278	0.0188835581493004	0.0329443370590313
"hsa-miR-107"	-2.01689610388227	5.77405019913625	4.47580884512249	0.0343779268162875	0.0557635267755834
"hsa-miR-10a-5p"	-0.409029968602912	10.7747493759784	0.238162450416681	0.625536451283594	0.671206147948104
"hsa-miR-10b-5p"	-10.0837448633095	12.3555957238998	36.7321203802324	1.3552791554357e-09	1.64327597596579e-08
"hsa-miR-1180-3p"	-5.04756249558119	3.41674132792313	17.6463885083222	2.66019924383908e-05	0.000105753822398521
"hsa-miR-1185-1-3p"	-5.47669981440707	4.29451818779808	26.7680279549281	2.2940153979371e-07	1.48346329066599e-06
"hsa-miR-1185-5p"	-4.82434770448086	3.7839888141582	24.3952627523557	7.84613947757541e-07	4.3739972949702e-06
"hsa-miR-1197"	-4.89793582595397	3.03356162338309	16.8665602619184	4.01018962798309e-05	0.000145144923102373
"hsa-miR-1226-3p"	1.41946024115905	3.65230910501625	3.77925472871824	0.0518917687557742	0.0791431064356934
"hsa-miR-1248"	5.97442900246829	2.61686043436784	8.01307769866639	0.00464407435671995	0.00925842055363299
"hsa-miR-1249-3p"	-0.419325633538093	5.79228799202695	0.142532256454345	0.705776472233217	0.739584664482025
"hsa-miR-1255a"	2.93034080834944	3.07749681242004	5.35904967939348	0.0206150044700052	0.0357081327426876
"hsa-miR-125a-3p"	0.379900043265291	4.60877403737763	0.18665055961237	0.665719072052516	0.704964519531594
"hsa-miR-125a-5p"	-0.721972792864343	12.2785701807777	0.823982304180447	0.364018400592218	0.416388972375532
"hsa-miR-125b-1-3p"	-11.5544167792064	9.80940589784431	74.2339634501487	6.93861989631267e-18	8.41307662427911e-16
"hsa-miR-125b-2-3p"	-7.76917912018943	4.86248346452926	47.7987357149355	4.72296504228282e-12	1.14531902275358e-10
"hsa-miR-125b-5p"	-7.60443909756863	13.208338185415	71.3759557109626	2.95248251563234e-17	2.86390804016337e-15
"hsa-miR-126-3p"	3.76938684891144	7.78218763095565	5.22528194666689	0.0222608372781035	0.0384217298216377
"hsa-miR-126-5p"	3.47764161423468	9.40840263315473	10.3898713982836	0.00126708448419823	0.00304225730116902
"hsa-miR-1260a"	2.47798767329584	6.96629708353276	9.8991167442955	0.00165358118189894	0.00381898511057613
"hsa-miR-1260b"	2.38999320284682	5.64873775251319	10.3611629680211	0.0012869410553658	0.00307471138843554
"hsa-miR-1262"	-2.90443686779695	2.49367957873049	5.44720997920557	0.0195996037287141	0.0340709957291267
"hsa-miR-127-3p"	-5.5307596269151	13.3345919054053	32.0203083098064	1.52569240235086e-08	1.37278747272789e-07
"hsa-miR-127-5p"	-7.13514817837068	5.65438718447485	48.2087712009637	3.83170531385887e-12	9.94585983988537e-11
"hsa-miR-1271-5p"	-2.43193159483725	5.93456162252025	10.2428148762224	0.00137218033454659	0.00319955510699565
"hsa-miR-1273h-3p"	8.86133945735931	5.1118563838899	39.5896456388418	3.13340244366172e-10	4.46970642698805e-09
"hsa-miR-128-1-5p"	-0.7135749811043	3.74556423706584	0.788791104403905	0.374465919443961	0.427331696306638
"hsa-miR-128-3p"	1.00150419939058	10.1205179855469	1.98496094819107	0.158868755296799	0.208246881943102
"hsa-miR-1285-3p"	1.92159911800616	3.11615129484913	2.20132018744014	0.137892596218244	0.186218373731449
"hsa-miR-1294"	3.0721306446156	3.18511196709127	8.17007303128316	0.00425871920914223	0.0086061617351416
"hsa-miR-1296-5p"	-2.2247421695176	3.88858978657671	5.52264568398844	0.0187718477791124	0.0328676757143304
"hsa-miR-1301-3p"	2.03384242400015	6.23302215910143	6.11812479786854	0.0133802666719851	0.0244884125883501
"hsa-miR-1304-3p"	0.78925806789132	5.91909184302274	0.950304346574391	0.329641840614414	0.387880134641929
"hsa-miR-1306-5p"	1.22974789947527	3.5947035330151	0.898986626387284	0.343053579233294	0.399954293096509
"hsa-miR-1307-3p"	0.674531280471968	7.45910278699976	0.854120903459055	0.355389162121303	0.410099458637248
"hsa-miR-1307-5p"	-0.598916380518258	8.7318317892125	0.690783339499696	0.405898065667699	0.458882428552061
"hsa-miR-130a-3p"	-2.33892624175743	9.41800718204779	8.48723772517151	0.00357646404813411	0.00744457108731779
"hsa-miR-130b-3p"	-1.38668331304952	8.95586128041193	4.05867734706479	0.0439449069993948	0.0687525157893757
"hsa-miR-130b-5p"	-1.42616871481795	7.74858883169111	3.85610887066882	0.0495651531879986	0.0763146009402517
"hsa-miR-132-3p"	-0.580616665125729	6.43921673587293	0.947729416056114	0.330297929086838	0.387880134641929
"hsa-miR-132-5p"	0.890417607685176	4.16758771229664	1.91572121362912	0.166329119474843	0.215118994520797
"hsa-miR-133a-3p"	1.34898740942719	2.85056123960263	0.745749115731679	0.387825432253362	0.440504296587543
"hsa-miR-134-3p"	-5.7527185221945	2.17916388877211	6.35419782122036	0.0117103879783227	0.0217606826417107
"hsa-miR-134-5p"	-3.48594698777971	6.06469336653729	11.5698267446103	0.000670306637042696	0.00168444932106584
"hsa-miR-136-3p"	-6.34167996776492	8.22279359566876	38.2548850035598	6.20814687147753e-10	8.13770603423405e-09
"hsa-miR-136-5p"	-5.7396383448781	6.79511477158596	44.8364414875823	2.1419893395601e-11	3.99563396033326e-10
"hsa-miR-137"	-8.03945093300176	3.86257525809784	32.4720573808406	1.20918690892479e-08	1.17291130165705e-07
"hsa-miR-138-5p"	-6.93118714726305	4.91930708706075	22.8013465928198	1.79639793052474e-06	8.98198965262371e-06
"hsa-miR-139-5p"	6.78938019375213	3.24820094623216	17.7326097062385	2.5423089145543e-05	0.000101902464756928
"hsa-miR-140-3p"	3.30221000718034	12.9021495059002	18.3780147968304	1.81135962844688e-05	7.50862751963022e-05
"hsa-miR-140-5p"	1.82352700940864	6.72463598120006	4.75151594525332	0.0292724956844707	0.0486204123526311
"hsa-miR-141-3p"	4.12239915379772	5.92699550008992	14.2238819032727	0.000162297645587598	0.000482910172453896
"hsa-miR-142-3p"	1.41940444673312	12.2517945727032	0.655733944345139	0.41807007366341	0.471544152852916
"hsa-miR-142-5p"	1.6374807495502	14.3517404567746	0.852013891000439	0.355983241415013	0.410099458637248
"hsa-miR-143-3p"	2.96874134190738	15.9635917041634	9.10042419177444	0.00255550221318657	0.00555793082240129
"hsa-miR-143-5p"	0.956722613066965	5.74778207912409	1.36019153935438	0.243504288911428	0.298986278789982
"hsa-miR-144-3p"	9.12002487087037	5.35915736293181	44.2662001149084	2.86622573275918e-11	4.85933909419847e-10
"hsa-miR-144-5p"	7.82503857406835	7.55696812744761	43.2210147713267	4.88927229328637e-11	7.41030331951215e-10
"hsa-miR-145-3p"	3.11257671807758	8.28746377416545	7.56432380163222	0.00595349872633769	0.0117375889523324
"hsa-miR-145-5p"	2.946177614742	8.54887972193577	10.2180159919903	0.00139075378076518	0.0032273472902924
"hsa-miR-1468-5p"	0.20595361567918	3.12341385932552	0.0209131065279982	0.885015922769949	0.907468758019926
"hsa-miR-146a-5p"	0.309055055213367	9.92460315611776	0.172476332615702	0.677920324941865	0.716321040515914
"hsa-miR-146b-3p"	0.333315229027843	5.09724810955361	0.144588132117232	0.703761731061968	0.739584664482025
"hsa-miR-146b-5p"	1.31189063183866	10.9724424907494	1.45989942507359	0.226946123948495	0.280073460852469
"hsa-miR-148a-3p"	1.95091730953966	15.536681626431	2.40783770647795	0.120729023091676	0.168742294522948
"hsa-miR-148a-5p"	-0.191334846330398	8.69648397016748	0.0162471208319594	0.898573010781775	0.919425970947597
"hsa-miR-148b-3p"	1.29720942500971	11.5547238583649	3.46878073857978	0.062537390608577	0.0919110134701813
"hsa-miR-148b-5p"	-0.0900084390869687	6.97836008478922	0.021505216112244	0.883410994497077	0.907468758019926
"hsa-miR-149-5p"	-7.74437513874999	5.60978632324175	44.7558693326025	2.23196889531403e-11	4.00927746010114e-10
"hsa-miR-150-5p"	7.07494214528032	10.3109638157612	14.4058038941711	0.000147347474886006	0.00044387282807275
"hsa-miR-151a-3p"	-2.78071353272048	11.2140011716246	16.0130246356835	6.29082153160343e-05	0.000213360030966969
"hsa-miR-151a-5p"	-2.44572085040788	11.7175285097006	11.9381715941578	0.000549954255310325	0.00142635194559095
"hsa-miR-151b"	-1.84755259169344	3.4258248543493	4.55445514511083	0.0328332089349921	0.0537976565319973
"hsa-miR-152-3p"	-3.85159647650185	6.87696129906909	29.9721168090649	4.38303890834788e-08	3.41654286523814e-07
"hsa-miR-152-5p"	-5.55325171319702	4.33356892999079	25.7119374870865	3.96367670614628e-07	2.37427720827667e-06
"hsa-miR-154-3p"	-3.55504435469415	2.31590753531221	8.00771611670952	0.00465784456718856	0.00925842055363299
"hsa-miR-154-5p"	-3.602708606821	3.47771632533017	6.72176742997396	0.00952431953477867	0.0182580829026389
"hsa-miR-155-5p"	-3.15466199380647	8.58734015821256	15.4111581446052	8.64761586172422e-05	0.000287266691297003
"hsa-miR-15a-3p"	-1.81608786950697	2.36053600625593	1.20198834328447	0.272924634420883	0.328457686585926
"hsa-miR-15a-5p"	3.24543561440504	11.068285824122	17.0853298483813	3.5737294247559e-05	0.000132309829847833
"hsa-miR-15b-3p"	1.00477963000367	6.98940410576378	2.15817710352644	0.141812840251883	0.188953921764185
"hsa-miR-15b-5p"	2.91722265124989	10.7866308145489	14.5078465219498	0.000139576959485524	0.000428448261711895
"hsa-miR-16-1-3p"	-1.96654290778483	3.03428253874016	1.58761488876389	0.207667230903418	0.258916727475984
"hsa-miR-16-2-3p"	1.08347941660469	7.05318424967395	1.99364859604576	0.157959908850567	0.207616682364567
"hsa-miR-16-5p"	2.62335678249445	13.884660400163	8.20003626078096	0.00418895525349813	0.00853631637792686
"hsa-miR-17-3p"	-0.0516351392294199	7.75318107766168	0.00648164063963463	0.935832727162703	0.953527043432586
