"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	1.66593156511566	4.55482510678685	0.992452163162319	0.31914378205483	0.892695026114492
"hsa-let-7a-3p"	1.86610320205344	7.11812305592936	2.63367551161521	0.104619274632387	0.569593828554109
"hsa-let-7a-5p"	0.363099774028034	15.4046117195838	0.0876753528409608	0.767153529788032	0.964996214255843
"hsa-let-7b-3p"	0.525295509585856	7.17540144978093	0.248950641276346	0.617814934228311	0.964996214255843
"hsa-let-7b-5p"	0.669830747328988	12.4488141176258	0.270130335471208	0.603244355572666	0.964996214255843
"hsa-let-7c-3p"	7.40062789396825	3.72970983609041	4.83624341641914	0.0278675379386901	0.369056583512383
"hsa-let-7c-5p"	-0.140880812925758	10.6550730032451	0.00686341260427525	0.933974218195661	0.990024876274279
"hsa-let-7d-3p"	-0.745173695789797	6.85872205377779	0.488851287087497	0.484440166875781	0.949502727076531
"hsa-let-7d-5p"	-0.74495251103665	9.60178234941202	0.39975289399176	0.527216900275665	0.964996214255843
"hsa-let-7e-3p"	1.09334718826517	3.89945935383362	0.461252170192341	0.497039350551903	0.9595179028422
"hsa-let-7e-5p"	-0.0388369408684476	11.3085893775663	0.000878064766993703	0.976360418472356	0.995668069261707
"hsa-let-7f-1-3p"	1.36896624658934	5.18328362485057	1.41798708927242	0.23373500260618	0.797146669528766
"hsa-let-7f-2-3p"	1.48937387616037	6.12861717951494	0.528114766156615	0.467400531013444	0.947757173065332
"hsa-let-7f-5p"	-0.72213258393882	14.8393078156992	0.389594504619254	0.532512624332017	0.964996214255843
"hsa-let-7g-3p"	0.423083616280797	3.99570259695101	0.119466158676971	0.729614206173973	0.964996214255843
"hsa-let-7g-5p"	-0.00719522921089443	11.9584867410313	3.74468027075636e-05	0.995117472227552	0.99572261845432
"hsa-let-7i-3p"	0.303003733863387	6.09266490787095	0.0966926568944597	0.755835265733254	0.964996214255843
"hsa-let-7i-5p"	-0.485241874142319	14.3284698111817	0.180248873186486	0.671159450061357	0.964996214255843
"hsa-miR-1-3p"	9.85952249444201	6.04059379634762	6.29511945592004	0.0121070857708903	0.329364273026672
"hsa-miR-100-3p"	1.35276389204952	8.30155568556491	1.18273690470329	0.276799519705501	0.843402637662645
"hsa-miR-100-5p"	0.284614296270702	17.5185292503779	0.0424214747317819	0.836818453014572	0.964996214255843
"hsa-miR-101-3p"	0.892001116780991	11.1191660501132	0.396549246340186	0.528876772351834	0.964996214255843
"hsa-miR-101-5p"	2.46120698080258	3.76024853703326	1.30031285937855	0.254156084153337	0.824744908841956
"hsa-miR-103a-3p"	0.582015798588851	11.9749070171844	0.220184026507582	0.638899735179024	0.964996214255843
"hsa-miR-106a-5p"	10.2446426250926	7.48735448224074	4.3767249158165	0.0364329377188255	0.384005294441259
"hsa-miR-106b-3p"	-2.24998084986701	7.21898577858116	4.35810942190813	0.0368331608953861	0.384005294441259
"hsa-miR-106b-5p"	-0.901015681406395	7.27697525898571	0.605558191631977	0.436465148035927	0.944290323310993
"hsa-miR-107"	2.13789175371369	8.25557838855882	1.15346228184775	0.28282554394868	0.845027539846665
"hsa-miR-10a-3p"	4.31056558167308	4.46245378506175	2.18320455971162	0.1395236836009	0.637488635998445
"hsa-miR-10a-5p"	3.2100600031887	13.7066876709218	2.23699999279938	0.134742178125829	0.63416933360192
"hsa-miR-10b-5p"	0.250722880134615	13.9764497976633	0.00920636623285986	0.923560433576963	0.989994794909396
"hsa-miR-1180-3p"	0.505213799264391	4.85789337613294	0.238476469666887	0.625308660473268	0.964996214255843
"hsa-miR-1185-1-3p"	0.0252110301233403	5.59409465623996	0.000655580031731162	0.979572958577621	0.995668069261707
"hsa-miR-1185-5p"	0.213774189451411	5.10717022970999	0.0528718026971964	0.818139408827717	0.964996214255843
"hsa-miR-1197"	0.370472773610741	4.35108022451403	0.132543065050468	0.715809737702599	0.964996214255843
"hsa-miR-122-3p"	7.66885262898667	3.96540567328406	3.63673562003243	0.0565176466115809	0.495395883491363
"hsa-miR-122-5p"	10.9963883370676	7.15891274656651	4.4944375644079	0.03400529816005	0.384005294441259
"hsa-miR-124-3p"	11.1927460143035	7.35345453242541	5.69724671579589	0.0169915469196588	0.329364273026672
"hsa-miR-124-5p"	7.02043506318734	3.39843533213333	3.33410660787428	0.0678572489522083	0.508657498613888
"hsa-miR-1249-3p"	-3.21636566346451	5.0953930263519	5.12072195925278	0.0236417788051159	0.340719753367846
"hsa-miR-125a-3p"	0.300609729214112	4.61434261484551	0.0716154791181873	0.788999004863466	0.964996214255843
"hsa-miR-125a-5p"	-0.212521149778934	12.6093065775956	0.0283471776426722	0.866295196187558	0.965778648465234
"hsa-miR-125b-1-3p"	-0.544926327075052	10.8957598647427	0.197126026574232	0.65705070418221	0.964996214255843
"hsa-miR-125b-2-3p"	3.42415799149868	8.93369033101364	2.72343660052355	0.0988849053252232	0.550609131924539
"hsa-miR-125b-5p"	0.111678789159081	14.6606009818615	0.00734821343212388	0.931687634910317	0.990024876274279
"hsa-miR-126-3p"	4.46780145732986	8.59648296806688	2.55825927253536	0.109719333303404	0.57809111095342
"hsa-miR-126-5p"	4.12829392691363	10.1621550386195	3.47390397013	0.0623440099081035	0.508657498613888
"hsa-miR-1260a"	-1.27405671114255	4.60121939934993	1.56719815449578	0.210614376573473	0.764452181637051
"hsa-miR-1260b"	-0.646192194736829	3.70992349294367	0.361830873512769	0.547491169372242	0.964996214255843
"hsa-miR-1262"	-1.90700445331598	2.65326252930503	1.62424389386321	0.202501051085767	0.750172700492571
"hsa-miR-127-3p"	-0.833254833986159	14.2488936264277	0.527228452087911	0.467774412074151	0.947757173065332
"hsa-miR-127-5p"	-0.442535087207619	6.75118946664611	0.179187258709277	0.672072629834414	0.964996214255843
"hsa-miR-1271-5p"	-0.401456676780139	6.72163625262281	0.0604899381327435	0.80572324244792	0.964996214255843
"hsa-miR-1277-5p"	1.05404251442852	2.62422047037375	0.387925520604472	0.533391856588254	0.964996214255843
"hsa-miR-128-1-5p"	1.06914382597634	4.85793094475475	0.515366037804384	0.4728251203731	0.947757173065332
"hsa-miR-128-2-5p"	6.0235288508848	2.61169923315258	2.95570483887016	0.0855749857924723	0.508657498613888
"hsa-miR-128-3p"	2.27309817766734	11.2554436593859	1.47058707603241	0.225253089175746	0.793252277273347
"hsa-miR-1285-3p"	2.9251219920166	3.91982029443442	3.61922859068046	0.0571153505535729	0.495395883491363
"hsa-miR-129-2-3p"	4.12030707827758	4.28683528264389	2.41676090882423	0.120042915986806	0.605601626423909
"hsa-miR-129-5p"	7.58321246928632	3.89689192008243	7.45114024243336	0.00633962754040303	0.304414986539709
"hsa-miR-1296-5p"	1.18501441164045	5.54085552082873	1.10289927558511	0.293630713840148	0.855678847903901
"hsa-miR-1301-3p"	-0.469510460589354	4.60182188837355	0.184625731868835	0.667427731686243	0.964996214255843
"hsa-miR-1304-3p"	-0.192392992763541	5.36617235403837	0.0324260664291329	0.857095736140887	0.965464162549504
