"logFC"	"logCPM"	"LR"	"PValue"	"FDR2"
"hsa-let-7a-2-3p"	0	3.62541115210246	0	1	1
"hsa-let-7a-3p"	0	5.92851759745921	0	1	1
"hsa-let-7a-5p"	0	15.3308432570143	0	1	1
"hsa-let-7b-3p"	0	6.99796906071546	0	1	1
"hsa-let-7b-5p"	0	12.1662516215212	0	1	1
"hsa-let-7c-5p"	0	10.8974268861523	0	1	1
"hsa-let-7d-3p"	0	7.41016084168962	0	1	1
"hsa-let-7d-5p"	0	10.1574021321764	0	1	1
"hsa-let-7e-3p"	0	3.39561963459234	0	1	1
"hsa-let-7e-5p"	0	11.4860856736457	0	1	1
"hsa-let-7f-1-3p"	0	4.43107521970688	0	1	1
"hsa-let-7f-2-3p"	0	5.26295134567928	0	1	1
"hsa-let-7f-5p"	0	15.3851464592464	0	1	1
"hsa-let-7g-3p"	0	3.89834296176218	0	1	1
"hsa-let-7g-5p"	0	12.1190805105559	0	1	1
"hsa-let-7i-3p"	0	6.06297230598437	0	1	1
"hsa-let-7i-5p"	0	14.7558767157459	0	1	1
"hsa-miR-100-3p"	0	7.51287267687174	0	1	1
"hsa-miR-100-5p"	0	17.4972056381957	0	1	1
"hsa-miR-101-3p"	0	10.6785855661731	0	1	1
"hsa-miR-103a-3p"	0	11.7545779967231	0	1	1
"hsa-miR-106b-3p"	0	8.2943880627064	0	1	1
"hsa-miR-106b-5p"	0	7.90139337176729	0	1	1
"hsa-miR-107"	0	6.8206856009625	0	1	1
"hsa-miR-10a-5p"	0	11.2929821229856	0	1	1
"hsa-miR-10b-5p"	0	13.9808846060241	0	1	1
"hsa-miR-1180-3p"	0	4.70490866055712	0	1	1
"hsa-miR-1185-1-3p"	0	5.73359975401908	0	1	1
"hsa-miR-1185-5p"	0	5.13324083532274	0	1	1
"hsa-miR-1197"	0	4.28714919641095	0	1	1
"hsa-miR-1249-3p"	0	6.31680503983756	0	1	1
"hsa-miR-125a-3p"	0	4.58695893880363	0	1	1
"hsa-miR-125a-5p"	0	12.8876707468229	0	1	1
"hsa-miR-125b-1-3p"	0	11.3521001739187	0	1	1
"hsa-miR-125b-2-3p"	0	6.34314776727916	0	1	1
"hsa-miR-125b-5p"	0	14.7477960104134	0	1	1
"hsa-miR-126-3p"	0	5.05573569944814	0	1	1
"hsa-miR-126-5p"	0	6.89576750664482	0	1	1
"hsa-miR-1260a"	0	5.33528136539538	0	1	1
"hsa-miR-1260b"	0	4.15619621307914	0	1	1
"hsa-miR-1262"	0	3.43640933989997	0	1	1
"hsa-miR-127-3p"	0	14.8452187288647	0	1	1
"hsa-miR-127-5p"	0	7.1507474715424	0	1	1
"hsa-miR-1271-5p"	0	7.0986673734502	0	1	1
"hsa-miR-128-1-5p"	0	4.3317338419411	0	1	1
"hsa-miR-128-3p"	0	9.6916120937228	0	1	1
"hsa-miR-1296-5p"	0	4.91038985823028	0	1	1
"hsa-miR-1301-3p"	0	4.99157815714045	0	1	1
"hsa-miR-1304-3p"	0	5.6240198060393	0	1	1
"hsa-miR-1306-5p"	0	3.14670964007728	0	1	1
"hsa-miR-1307-3p"	0	7.25207333991654	0	1	1
"hsa-miR-1307-5p"	0	9.30507564235401	0	1	1
"hsa-miR-130a-3p"	0	10.5828542632421	0	1	1
"hsa-miR-130b-3p"	0	9.88856891039046	0	1	1
"hsa-miR-130b-5p"	0	8.68858434064934	0	1	1
"hsa-miR-132-3p"	0	7.01191858504984	0	1	1
"hsa-miR-132-5p"	0	3.868548671948	0	1	1
"hsa-miR-134-3p"	0	3.18437113037047	0	1	1
"hsa-miR-134-5p"	0	7.43023998670466	0	1	1
"hsa-miR-136-3p"	0	9.77085775733824	0	1	1
"hsa-miR-136-5p"	0	8.28708461609092	0	1	1
"hsa-miR-137"	0	5.29270720481336	0	1	1
"hsa-miR-138-5p"	0	6.44614510230166	0	1	1
"hsa-miR-140-3p"	0	10.4995148676521	0	1	1
"hsa-miR-140-5p"	0	5.70090110027777	0	1	1
"hsa-miR-142-3p"	0	11.5568814419024	0	1	1
"hsa-miR-142-5p"	0	13.4794794272602	0	1	1
"hsa-miR-143-3p"	0	13.8281806313833	0	1	1
"hsa-miR-143-5p"	0	5.33669555625082	0	1	1
"hsa-miR-145-3p"	0	6.04198535625764	0	1	1
"hsa-miR-145-5p"	0	6.46131326466462	0	1	1
"hsa-miR-1468-5p"	0	3.18437113037047	0	1	1
"hsa-miR-146a-5p"	0	9.96282890186995	0	1	1
"hsa-miR-146b-3p"	0	5.1031491200928	0	1	1
"hsa-miR-146b-5p"	0	10.2590051960589	0	1	1
"hsa-miR-148a-3p"	0	14.3984082299761	0	1	1
"hsa-miR-148a-5p"	0	9.11449184246793	0	1	1
"hsa-miR-148b-3p"	0	10.9003348222169	0	1	1
"hsa-miR-148b-5p"	0	7.29310399151055	0	1	1
"hsa-miR-149-5p"	0	7.15610029128932	0	1	1
"hsa-miR-150-5p"	0	4.39619883229499	0	1	1
"hsa-miR-151a-3p"	0	12.4938037374533	0	1	1
"hsa-miR-151a-5p"	0	12.9347317067905	0	1	1
"hsa-miR-151b"	0	4.3677982828934	0	1	1
"hsa-miR-152-3p"	0	8.27876989420066	0	1	1
"hsa-miR-152-5p"	0	5.73091950356225	0	1	1
"hsa-miR-154-3p"	0	3.32102649663239	0	1	1
"hsa-miR-154-5p"	0	4.67051883213031	0	1	1
"hsa-miR-155-5p"	0	9.96272703044994	0	1	1
"hsa-miR-15a-3p"	0	3.14670964007728	0	1	1
"hsa-miR-15a-5p"	0	8.72659669969721	0	1	1
"hsa-miR-15b-3p"	0	6.58296721904418	0	1	1
"hsa-miR-15b-5p"	0	8.74918763617387	0	1	1
"hsa-miR-16-1-3p"	0	3.98431683104315	0	1	1
"hsa-miR-16-2-3p"	0	6.54446741957746	0	1	1
"hsa-miR-16-5p"	0	12.1367436558353	0	1	1
"hsa-miR-17-3p"	0	8.02292538282387	0	1	1
"hsa-miR-17-5p"	0	9.27015421526869	0	1	1
"hsa-miR-181a-2-3p"	0	8.50582109821338	0	1	1
"hsa-miR-181a-3p"	0	10.343362691509	0	1	1
"hsa-miR-181a-5p"	0	15.2859042650679	0	1	1
"hsa-miR-181b-3p"	0	5.61725085265472	0	1	1
"hsa-miR-181b-5p"	0	12.825445853633	0	1	1
"hsa-miR-181c-3p"	0	6.3717787921384	0	1	1
"hsa-miR-181c-5p"	0	8.4500067264121	0	1	1
"hsa-miR-181d-5p"	0	5.37819233188139	0	1	1
"hsa-miR-182-5p"	0	11.5251363223133	0	1	1
"hsa-miR-183-3p"	0	3.81598718416704	0	1	1
"hsa-miR-183-5p"	0	9.43534540504431	0	1	1
"hsa-miR-185-3p"	0	3.23128351178917	0	1	1
"hsa-miR-185-5p"	0	5.57297356656667	0	1	1
"hsa-miR-186-5p"	0	12.564333485642	0	1	1
"hsa-miR-187-3p"	0	2.83080784904548	0	1	1
"hsa-miR-188-5p"	0	4.35353464972855	0	1	1
"hsa-miR-18a-3p"	0	6.2733778062307	0	1	1
"hsa-miR-18a-5p"	0	7.38253597461906	0	1	1
"hsa-miR-190a-5p"	0	4.50461501461418	0	1	1
"hsa-miR-190b"	0	3.40580231629586	0	1	1
"hsa-miR-191-3p"	0	4.45145276002502	0	1	1
"hsa-miR-191-5p"	0	14.1638316297811	0	1	1
"hsa-miR-192-5p"	0	9.83735578836506	0	1	1
"hsa-miR-193a-3p"	0	9.52833340351368	0	1	1
"hsa-miR-193a-5p"	0	6.91220543345629	0	1	1
"hsa-miR-193b-3p"	0	7.89299137918961	0	1	1
"hsa-miR-193b-5p"	0	3.43640933989997	0	1	1
"hsa-miR-194-5p"	0	5.1037835724898	0	1	1
"hsa-miR-195-5p"	0	3.97643162177578	0	1	1
"hsa-miR-196b-5p"	0	4.13110065500334	0	1	1
"hsa-miR-197-3p"	0	8.35808560981222	0	1	1
"hsa-miR-199a-3p"	0	13.5023478076459	0	1	1
"hsa-miR-199a-5p"	0	11.3820479487886	0	1	1
"hsa-miR-199b-3p"	0	12.3894852240125	0	1	1
"hsa-miR-199b-5p"	0	10.8111778392361	0	1	1
"hsa-miR-19a-3p"	0	8.15957668969271	0	1	1
"hsa-miR-19b-3p"	0	9.82999181785325	0	1	1
"hsa-miR-200a-3p"	0	5.12786017384982	0	1	1
"hsa-miR-200b-3p"	0	8.00244163180229	0	1	1
"hsa-miR-200b-5p"	0	2.83080784904548	0	1	1
"hsa-miR-204-5p"	0	10.0144088271722	0	1	1
"hsa-miR-20a-3p"	0	2.83080784904548	0	1	1
"hsa-miR-20a-5p"	0	8.76819863342331	0	1	1
"hsa-miR-20b-5p"	0	3.63418412860957	0	1	1
"hsa-miR-21-3p"	0	11.8983488053489	0	1	1
"hsa-miR-21-5p"	0	15.6015792145125	0	1	1
"hsa-miR-210-3p"	0	9.30895199206961	0	1	1
"hsa-miR-210-5p"	0	6.33762954983789	0	1	1
"hsa-miR-2110-3p"	0	3.75219650806341	0	1	1
"hsa-miR-2116-3p"	0	3.18437113037047	0	1	1
"hsa-miR-212-3p"	0	4.61126863957199	0	1	1
"hsa-miR-212-5p"	0	4.66469505589723	0	1	1
"hsa-miR-214-3p"	0	7.78706919652055	0	1	1
"hsa-miR-214-5p"	0	6.90013690115168	0	1	1
"hsa-miR-218-1-3p"	0	5.8586104781455	0	1	1
"hsa-miR-218-5p"	0	6.26028050870758	0	1	1
"hsa-miR-22-3p"	0	16.2677693246858	0	1	1
"hsa-miR-22-5p"	0	7.078682382276	0	1	1
"hsa-miR-221-3p"	0	13.4764840300385	7.27595761418343e-12	0.999997847787538	1
"hsa-miR-221-5p"	0	10.1792363266363	0	1	1
"hsa-miR-222-3p"	0	13.883627454987	0	1	1
"hsa-miR-222-5p"	0	5.67409613715107	0	1	1
"hsa-miR-223-3p"	0	2.93671427299207	0	1	1
"hsa-miR-224-3p"	0	4.04972813806934	0	1	1
"hsa-miR-224-5p"	0	9.49926289465389	0	1	1
"hsa-miR-2277-5p"	0	3.18437113037047	0	1	1
"hsa-miR-23a-3p"	0	10.7066045533979	0	1	1
"hsa-miR-23a-5p"	0	4.03097473776809	0	1	1
"hsa-miR-23b-3p"	0	9.83542506375702	0	1	1
"hsa-miR-24-2-5p"	0	7.26894011508039	0	1	1
"hsa-miR-24-3p"	0	9.4280813095079	0	1	1
"hsa-miR-25-3p"	0	11.8736974414628	0	1	1
"hsa-miR-25-5p"	0	5.49958601509103	0	1	1
"hsa-miR-2682-3p"	0	3.51484919883696	0	1	1
"hsa-miR-2682-5p"	0	4.20119302777496	0	1	1
"hsa-miR-26a-2-3p"	0	5.03288481255301	0	1	1
"hsa-miR-26a-5p"	0	14.2063667726564	0	1	1
"hsa-miR-26b-3p"	0	5.78939991447761	0	1	1
