"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"EC_1"	0.223660301799467	0.0959854404913539	0.56098273673233	0.0725737458191549	0.00903100601235107	0.0377667691453427	0
"SMC_Fib_2"	0.830326880390264	0	0	0.0825189965258374	0.0158136868417425	0.0457750691637505	0.0255653670784052
"EC_3"	0.251814022191703	0	0.58172058371088	0.12298569246255	0.0156251588689881	0	0.0278545427658798
"SMC_Fib_4"	0.714775679667531	0.109029303036415	0.00322093413662158	0.171441090138652	0.0015329930207798	0	0
"EC_5"	0.263589897399509	0	0.674085223361941	0.0376986296779665	0	0.0246262495605832	0
"EC_6"	0.141488619540693	0.00785130963427074	0.738707023291243	0.042445429341914	0.00603710670146358	0.0634705114904156	0
"EC_7"	0.366348638947468	0	0.45954764673931	0.147633712168778	0	0	0.0264700021444436
"EC_8"	0.299251078001501	0	0.546106570147154	0.0892614456144778	0	0.0453648253764463	0.0200160808604211
"EC_9"	0.237447966488403	0.150066104364651	0.438600786026949	0.125050047948622	0	0.00973011794470794	0.0391049772266665
"Macr_10"	0.00958853133176163	0.0971544352891799	0.0468201324109865	0	0	0.846436900968072	0
"Macr_11"	0	0.0468885573641424	0.0315410947178018	0.0230531856314209	0.0379471119647598	0.860570050321875	0
"SMC_Fib_12"	0.770481407453398	0.0332189604181558	0	0.196299632128446	0	0	0
"EC_13"	0.183610810535272	0.0125163520167484	0.628586083693951	0.0705991663546745	0.0374197718539533	0	0.0672678155454011
"SMC_Fib_14"	0.657985614732162	0	0.214642073467511	0.0467208605083801	0	0.0806514512919469	0
"SMC_Fib_15"	0.699865007745349	0	0.0353786451060244	0.23229483529138	0	0.0324615118572466	0
"T_16"	0.0620186334663902	0.66343395334694	0.0584840085361771	0	0.0133278025567259	0.0967704941608601	0.105965107932907
"SMC_Fib_17"	0.684904558977921	0.0692675988792751	0.094699551834211	0.00674179238104565	0	0.0718812347704224	0.0725052631571245
"T_18"	0	0.706897629689734	0.0639226094202458	0	0	0.0438286748874816	0.185351086002538
"NK_19"	0	0.901903338831215	0.0117775297661157	0.0844278251572831	0	0	0.00189130624538576
"T_20"	0.0562829405609211	0.682830912103481	0.0984659421650224	0	0.0738086073839413	0.0874693219826011	0.0011422758040328
"SMC_Fib_21"	0.736846719071837	0	0	0.111305350915832	0.0171750197910877	0.127225294283736	0.0074476159375071
"T_22"	0.0765908563252735	0.716594784030854	0	0	0.0600432899573892	0.117723931839476	0.0290471378470072
"T_23"	0.0450663284403224	0.714828360412941	0.0688780274762792	0	0.0333050491622952	0.0909284893916339	0.0469937451165281
"SMC_Fib_24"	0.48035593250532	0	0	0.44010826351107	0.00561122686782587	0	0.0739245771157837
"NK_25"	0	0.837889630830689	0	0.162110369169311	0	0	0
"EC_26"	0.133044192657975	0	0.479182156237014	0.342591292345977	0.00107777420229713	0.0441045845567365	0
"T_27"	0	0.734874374910265	0	0.0590120442787	0.00262918582027481	0.157257100975962	0.0462272940147974
"Macr_28"	0	0	0	0.192619453935691	0.0188041706955498	0.788576375368759	0
"Neut_29"	0.00259715891989392	0	0.0515407929974151	0.0628462303951332	0.718993920671782	0.0998041897181163	0.0642177072976598
"SMC_Fib_30"	0.480713452243014	0	0	0.454452255586081	0.00781320757908088	0	0.0570210845918232
"SMC_Fib_31"	0.469387490534631	0	0.031623842975387	0.416427312134782	0.0583744709251058	0	0.0241868834300947
"SMC_Fib_32"	0.484222701754544	0.0508514619393954	0	0.370660263454826	0	0.022351468715515	0.0719141041357195
"Neut_33"	0.0113550828244751	0.127357021654979	0.0900348386261785	0.091248663778738	0.625618628665627	0.054385764450002	0
"NK_34"	0.0200059119798167	0.806863711595878	0	0.14310797310936	0.0300224033149456	0	0
"SMC_Fib_35"	0.508733161044839	0.00183771969511746	0	0.432327064349529	0.0391415475971556	0	0.0179605073133594
"Neut_36"	0.037201318010797	0.112706192295133	0.0124745627682501	0.137921189882888	0.683319630916637	0.0163771061262947	0
"B_37"	0	0.173018335051633	0.0657156347468844	0.101216419451585	0	0	0.660049610749898
"B_38"	0	0.260531126323581	0.0377083257747642	0.0985866122502537	0.0351002632327917	0	0.56807367241861
"B_39"	0	0.226658721938763	0.0399286237289827	0.106865283192552	0.0175094145011287	0	0.609037956638573
"B_40"	0.0750008173484182	0.286632587718883	0	0.199391907959287	0	0.177347022453894	0.261627664519518
