"V1"	"V2"	"V3"	"V4"	"V5"
"EC_1"	0.621220519983406	0.0977990383990963	0.195299255067431	0.0750747572969152	0.0106064292531513
"SMC_Fib_2"	0.0470046319935326	0	0.859200971959707	0.076518468683174	0.0172759273635863
"EC_3"	0.700625937863574	0	0.280657827486935	0	0.0187162346494907
"SMC_Fib_4"	0	0.164661633623434	0.833195781014617	0	0.00214258536194869
"EC_5"	0.714274348292876	0.00468682811047304	0.223001669878271	0.0580371537183805	0
"EC_6"	0.804712780453259	0.00509623861481175	0.0772047868629916	0.105259968375594	0.00772622569334358
"EC_7"	0.528565671516212	0	0.42755736524963	0.0438769632341574	0
"EC_8"	0.567223916460655	0.038625092731648	0.307162615267437	0.08698837554026	0
"EC_9"	0.510344058263104	0.168903504995488	0.261907763740208	0.058844673001201	0
"Macr_10"	0.0440319653556377	0.150509879459683	0	0.805458155184679	0
"Macr_11"	0.0434819513017029	0.0869125451622638	0	0.829860342163241	0.0397451613727922
"SMC_Fib_12"	0	0.0750840271355828	0.924915972864417	0	0
"EC_13"	0.701814236384573	0.0456580839236449	0.174997999871674	0.0336522797543203	0.0438774000657874
"SMC_Fib_14"	0.136611262756693	0.0505969615911133	0.68395947615032	0.128832299501873	0
"SMC_Fib_15"	0.105686561638501	0	0.852646730805796	0.041666707555703	0
"T_NK_16"	0.0484492614195263	0.749099655333361	0.0496409199100293	0.138190252918274	0.0146199104188092
"SMC_Fib_17"	0.07110936686043	0.0863886982757042	0.694054035117007	0.148447899746859	0
"T_NK_18"	0.063097748942706	0.83618996290726	0	0.100712288150033	0
"T_NK_19"	0.0543967404367115	0.945603259563289	0	0	0
"T_NK_20"	0.0820892299909623	0.704632731935035	0.0264360536695296	0.115677345904591	0.0711646384998828
"SMC_Fib_21"	0.0457249482251647	0.0121377504312296	0.819116345845231	0.105908196767793	0.0171127587305826
"T_NK_22"	0	0.728296281398055	0.0736954669688597	0.141354445497081	0.0566538061360051
"T_NK_23"	0.0583578212698758	0.764515799528418	0.0182450944778242	0.125060143194938	0.0338211415289442
"SMC_Fib_24"	0	0	0.920926914981483	0.0697646048335748	0.00930848018494208
"T_NK_25"	0	1	0	0	0
"EC_26"	0.639522603782089	0	0.236780094835	0.120829739155345	0.00286756222756562
"T_NK_27"	0	0.781412584755248	0.00635676180648047	0.208418333790969	0.00381231964730338
"Macr_28"	0	0	0	0.974135098420385	0.025864901579615
"Neut_29"	0.0188502720132358	0.0299190597717517	0.00577785258824259	0.163790287151217	0.781662528475553
"SMC_Fib_30"	0.0376740241042768	0	0.888882186962018	0.0614995294159833	0.0119442595177218
"SMC_Fib_31"	0.0584525651842543	0	0.859778528570282	0	0.0817689062454638
"SMC_Fib_32"	0.0261345913544922	0.0219788764635357	0.850364599417458	0.101521932764514	0
"Neut_33"	0.0660335876199731	0.14429654730149	0.0257069305407339	0.112168077392601	0.651794857145201
"T_NK_34"	0.0101074358348614	0.882533345375575	0.0521811514120089	0.0189979580058813	0.0361801093716729
"SMC_Fib_35"	0	0.0173466960130288	0.930939886802794	0	0.0517134171841769
"Neut_36"	0	0.123588352356484	0.0833400263476993	0.0775583090452452	0.715513312250571
"B_37"	0.206330024140914	0.730787802047367	0	0.0628821738117183	0
"B_38"	0.0733812417877351	0.711596485564841	0	0.131918652148736	0.0831036204986878
"B_39"	0.0984269547087813	0.762094893782332	0	0.0879770920946988	0.0515010594141876
"B_40"	0	0.455030498288373	0.214736952550598	0.330232549161029	0
