"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"hsa-let-7a-2-3p"	11.392360162888	16.1276163698315	2.26756580017919e-05	0	0	0
"hsa-let-7a-3p"	123.054087440109	109.259273998122	51.1272785516141	40.0986647985684	14.6908438262694	38.1236667430969
"hsa-let-7a-5p"	35478.668733003	70521.8311846878	20853.5588228366	25711.2065810166	17099.995925415	53210.8236322416
"hsa-let-7b-3p"	132.229186334449	183.776123636264	22.6963202431396	30.1384930161211	36.3777498576451	22.8113644431245
"hsa-let-7b-5p"	4558.36383618378	7332.51221015516	1915.00207457928	2053.11417550175	1310.79241649521	1917.26342222746
"hsa-let-7c-5p"	1119.18642633909	586.42714949237	59.2826753610328	20.1062710227419	4.64242818943246	8.39084749316695
"hsa-let-7d-3p"	174.787176634838	161.139352512713	395.038087763531	114.882573383329	253.65150922712	192.422368025156
"hsa-let-7d-5p"	1127.22544719943	1165.33563874833	1967.51279792185	1062.62212920854	1228.43353775228	1359.10855262655
"hsa-let-7e-3p"	25.180890743341	18.3081155870872	15.9767981613569	0.852615144646085	1.03383746215448	0
"hsa-let-7e-5p"	3357.92602938588	3902.46547296	2387.7816228527	80.6137173132355	154.87826742169	10.1526660765638
"hsa-let-7f-1-3p"	32.6957534357579	22.8828967199943	26.95185233888	8.71646269620297	7.56131008982942	7.78231683756864
"hsa-let-7f-2-3p"	33.9546693760609	28.6011955262021	25.4727463692855	13.696261018751	4.63261687240093	11.5744381020871
"hsa-let-7f-5p"	22342.2976011425	31638.3586019677	32206.1719268347	40460.5216759209	13694.5293342472	41212.7944401287
"hsa-let-7g-3p"	8.18075117042346	6.97309169095032	14.3791183452212	48.9291545550853	4.49805779926509	30.1589218476061
"hsa-let-7g-5p"	4466.88430926942	5027.768404764	7865.10132194206	40743.685755883	6705.21784211393	28150.4129778036
"hsa-let-7i-3p"	47.5341456667273	67.4598262260207	55.3222153763402	164.367363797406	24.4289072614319	337.604924294783
"hsa-let-7i-5p"	13596.5147890781	23965.0422284475	13039.4128225414	9317.36230026725	2335.52670613133	11609.7398210427
"hsa-miR-100-3p"	211.419907104954	325.775589747738	0	0	0	0
"hsa-miR-100-5p"	106236.845121033	332674.90816632	135.134162325645	49.7015935430585	410.088508466798	32.7419582128255
"hsa-miR-101-3p"	1681.68237071773	1462.56238067921	2298.95884758757	23238.5428998958	13562.8148122908	16746.3916750311
"hsa-miR-101-5p"	7.73814958319333	1.7734685492163	7.0925982126579	57.1252242811343	48.696357398073	28.4463330114307
"hsa-miR-103a-3p"	4596.85150261206	4036.99593351969	8030.60021992667	5433.22864808279	8710.13834835338	4184.28650547917
"hsa-miR-106a-5p"	0.0902160911292573	0.0391724800287474	2.67223654514836	25.7234129500578	4.33696979500807	25.5020481659392
"hsa-miR-106b-3p"	192.561923041902	168.071518779458	90.7855791042731	471.648345646015	323.07798627004	763.922308037657
"hsa-miR-106b-5p"	253.687279532182	150.529613302728	183.733178855605	446.984046154998	478.546493569276	426.327010097589
"hsa-miR-107"	32.9498984858692	65.7584171921514	29.0316937136109	14.3403841812037	17.9901887614092	8.16633298324409
"hsa-miR-10a-3p"	18.1643169768092	12.8247334242888	0	1.32048373795973	0.172306243692413	0.317199089444789
"hsa-miR-10a-5p"	21539.790000896	16972.6249689987	970.821209189037	3804.20228262574	1043.76147693799	3036.2043270806
"hsa-miR-10b-5p"	1094.4436370109	568.771547864348	14.8707313017458	16.2306022170113	6.17616680374	155.355737413566
"hsa-miR-1180-3p"	33.4996987218905	33.7278337731009	2.03628346611645	0.764422398806382	0.290820157738739	0.535688732882254
"hsa-miR-1185-1-3p"	19.8299080234928	61.0857969782479	0	0	0.51638601340055	0
"hsa-miR-1185-5p"	9.08220129465096	37.5578766855095	0	0	0.861527638370154	0
"hsa-miR-1197"	8.88744554682233	16.7045034419986	0	0	0.172306243692413	0
"hsa-miR-1226-3p"	5.58713621393389	6.42846172798923	28.3703630374601	2.49042222518473	9.13224165597365	1.46356479752459
"hsa-miR-1249-3p"	11.9109614014245	14.4573251325754	164.561187175494	7.47125661425846	30.6705042170658	3.21122758733787
"hsa-miR-125a-3p"	47.6439824975656	34.4878111965589	10.1814173305823	3.70675327900793	15.8521457789667	0.182472329890436
"hsa-miR-125a-5p"	7072.17611080442	9453.0329563668	7939.47116145714	5996.92464468996	2726.22567156596	181.615046152578
"hsa-miR-125b-1-3p"	561.566127237827	2372.87376457035	0	0	0.195567879847463	0
"hsa-miR-125b-2-3p"	298.519411254791	106.432758489112	4.79303114273118	4.26307039553788	0.172306243692413	2.1382933148745
"hsa-miR-125b-5p"	4611.11791265132	28447.9032724725	30.5441712182592	142.224204795759	77.7101910872086	13.7827652612395
"hsa-miR-126-3p"	17729.1678081875	54.6482574562474	16.2902354195366	9.24338616571812	271.382423317849	12.5949915852327
"hsa-miR-126-5p"	59280.9857379109	193.389290104679	32.6259696661292	21.1685637608309	854.427829980057	207.882927892201
"hsa-miR-1260a"	16.7650765025522	17.852223408283	20.9778890395633	39.1026613468355	110.951611170153	8.90054170721521
"hsa-miR-1260b"	6.3067248008924	8.63883244730069	16.1833603209914	9.62411230645795	48.1953472540132	6.74799707000858
"hsa-miR-127-3p"	2655.62247423206	26925.788916281	9.92964942298965	6.11537683493584	321.178637757511	29.611974626376
"hsa-miR-127-5p"	11.8068188767999	120.21591756354	0	0	0.391135759694926	0.134726759554353
"hsa-miR-1271-5p"	136.708603398645	191.330711134095	69.2335409197743	142.386845299594	15.1629780856677	139.615725693164
"hsa-miR-1273h-3p"	0	0	8.14511770976829	24.88921186269	39.5457127193013	67.2827170490947
"hsa-miR-1277-5p"	8.84354642552087	0	0	0	0.195567879847463	1.93682416845
